Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
好久,认清,南汇,0.7641,0.6844,0.6841
多重,饭,终于,0.7705,0.4699,0.4678
胃口,一点,浪费,0.7831,0.548,0.5418
一天,开心,敲开,0.852,0.8473,0.7746
吃起,嗨,起来,0.8433,0.7567,0.656
觉得,没有,最后,0.759,0.7278,0.6823
饭,吃,的,0.684,0.6634,0.232
老板,年夜饭,加油,0.7483,0.6718,0.4805
老师,半身不遂,在,0.8258,0.4176,0.1326
小伙,重要,搭,0.7791,0.5897,0.4386
今天天气,天天,不错,0.9523,0.8346,0.7769
不可思议,幸福,妄加评论,0.827,0.794,0.7818
相爱,很,可能,0.9181,0.7622,0.5552
回家,不能,减肥,0.8255,0.5242,0.4832
凄凄惨惨,拨云见日,可期,0.8971,0.8678,0.7816
疲惫,累,身心,0.8973,0.8027,0.553
吃吃喝喝,走走停停,。,0.8082,0.6919,0.3739
还要,回家,金鱼,0.7096,0.6032,0.5493
星巴克,粉丝,巴克,0.8003,0.5386,0.5305
空空,加班,回家,0.6582,0.6499,0.6003
比肩,过客,同行,0.7204,0.7112,0.7095
回家,跨,工作,0.9125,0.5741,0.2857
孤独,风景,显得,0.8173,0.7984,0.6971
真心,能比,曾经,0.8795,0.7713,0.7649
继续,没有,机会,0.8516,0.8047,0.6979
相知,相伴,联系,0.8362,0.68,0.6078
坚强,我会,路途,0.8539,0.7932,0.4871
医院,拔牙,跳高,0.8829,0.8397,0.2836
简单,爱人,转发,0.8188,0.7582,0.4981
得不到,流眼泪,痛狠,0.8435,0.8221,0.8075
害怕,攀登,距离,0.8215,0.7288,0.5256
喜怒哀乐,读本,社会,0.782,0.6784,0.6631
学,成绩,许许多多,0.7577,0.582,0.4585
天长,悲伤,地久天长,0.8129,0.7914,0.7435
蜘蛛网,成长,其实,0.8093,0.7648,0.7219
处女,男生,说不出,0.8327,0.8044,0.7895
怕黑,语录,》，,0.87,0.7566,0.6471
声音,翻唱,话筒,0.8248,0.7135,0.6269
斯蒂芬森,三天,讨说法,0.7381,0.7379,0.5917
融为一体,结婚,影楼,0.824,0.7798,0.6003
分手,几率,研究,0.7098,0.5986,0.4562
孤独,干涸,睡大觉,0.8051,0.8022,0.7945
领悟,真的,生命,0.8508,0.8124,0.6936
健康,聪明,把握,0.8203,0.7557,0.6912
凡事,半途而废,结果,0.7294,0.5428,0.5175
不畏,一辈子,路人,0.8436,0.8076,0.7749
想要,放下,不再,0.814,0.7605,0.7587
牧羊曲,白头偕老,少林寺,0.8606,0.808,0.6839
美的,处女座,爱情,0.842,0.8407,0.8294
不已,钻戒,痛苦,0.8217,0.8099,0.5423
不败,嫉妒,他妈的,0.8214,0.8165,0.7621
苍白,童话,承诺,0.8831,0.8665,0.7615
真爱,伤害,只是,0.8433,0.8097,0.7684
坚强,脸上,疼痛,0.8129,0.7744,0.6136
从来没,打天下,救世主,0.8231,0.8163,0.785
不爽,荷花,父命,0.8454,0.7384,0.6664
学校,精神,云淡风,0.8951,0.3813,0.3485
衣服,惊艳,推荐,0.8281,0.7546,0.5552
十里,归来,出征,0.8619,0.8454,0.7064
我,做人,短信,0.7412,0.74,0.719
出游,不亦乐乎,海豚,0.8,0.7454,0.5999
航,多难,真美,0.6784,0.6553,0.565
越来越,相爱,简单,0.8539,0.8201,0.8131
作业本,方程,上眼,0.8983,0.5268,0.3893
长发,扎起,绑住,0.8903,0.8433,0.6345
善良,读懂,每个,0.7931,0.6993,0.576
越来越,小气,爱错,0.8616,0.825,0.766
丑儿,回敬,一句,0.8549,0.6964,0.6801
艺伎,每一件,遇见,0.8316,0.7847,0.6309
深刻,过眼烟云,文字,0.7719,0.7352,0.6495
相亲,自己,货色,0.8106,0.671,0.426
放不下,口袋,漏斗,0.8442,0.7987,0.6807
旅店,别错过,果真,0.7354,0.3617,0.3506
大千世界,要强,力所能及,0.8484,0.8294,0.8245
不修边幅,长久,遇到,0.8846,0.7785,0.7251
钢琴,伤心,爷爷奶奶,0.8135,0.7457,0.5385
交心,掩藏着,痘,0.8662,0.7537,0.4843
珍惜,将来,不管,0.7822,0.7711,0.7046
幸福,你好,不理,0.8373,0.5942,0.5576
粉笔,接招,黑板,0.7297,0.6514,0.6429
光头,掉头发,如果说,0.8849,0.8761,0.6598
自己,有时候,安慰,0.7972,0.7433,0.6956
日久生情,了解,沟通,0.8521,0.7778,0.758
没想到,车牌,出事,0.7612,0.6899,0.6449
一瞬间,心要,暖,0.8494,0.8246,0.7528
贪多,未来,我们,0.8155,0.7284,0.7106
一站,黄鹤楼,祈福,0.8135,0.7033,0.5551
聚散无常,抓不住,其实,0.8992,0.8907,0.7686
买不起,经典笑话,城堡,0.828,0.8172,0.7203
掩饰,不得不,泪水,0.8582,0.822,0.7923
谈恋爱,承诺,一个多,0.8604,0.7077,0.6195
血液,酸甜苦辣,台山,0.5884,0.483,0.4378
精神,直路,豁达,0.8032,0.7867,0.7703
发现自己,一小块,撒哈拉沙漠,0.8632,0.8436,0.8359
魅力,画师,不过,0.7778,0.6598,0.5866
祝福,问候,沉甸甸,0.8547,0.7405,0.7166
永远,因为,空间,0.7353,0.7,0.6704
穷小子,看得起,转发,0.8622,0.846,0.5504
卡钳,制动,前后,0.7294,0.6861,0.67
车厢,座,呼吁,0.7448,0.7169,0.5347
天伦乐,真诚,元旦节,0.8589,0.8037,0.7683
错过,永远,不了,0.7859,0.7319,0.6898
影子,受苦,对不起,0.8482,0.7284,0.6809
摇滚,裸奔,，《》、,0.8699,0.795,0.763
用品店,逛,其实,0.8871,0.5906,0.3868
随意,事业,交友,0.7982,0.7908,0.7811
半秒,課,作,0.385,0.3477,0.2725
懂,你,错,0.7311,0.7021,0.5571
一直,恶狠狠,飞机,0.7743,0.7654,0.6635
恐怖片,黑人,吓,0.7649,0.7175,0.6631
改变,为什么,漫长,0.8176,0.7703,0.6436
连衣裙,水墨画,眼前一亮,0.9388,0.8175,0.6909
至关,反差,享受,0.7657,0.7602,0.625
巅峰,围棋,电影,0.7988,0.6846,0.5438
欺负,世间,没有,0.838,0.803,0.7133
一直,误会,感受,0.7806,0.7635,0.688
华丽,一点点,一场,0.8095,0.7662,0.7004
曲曲折折,不期而遇,惊喜,0.8365,0.7612,0.7164
瞧不起,三十年,》。,0.8355,0.8281,0.5748
包容,你,任性,0.7702,0.7219,0.702
不在乎,天秤座,地位,0.8467,0.791,0.6169
打游戏,容易,同学,0.7892,0.7848,0.7373
看不见,进入,离开,0.8394,0.563,0.5022
皮肤,辛辣,其他,0.8189,0.6566,0.3479
天秤座,手机,痛恨,0.826,0.7796,0.728
缘起,灭,去,0.8016,0.5199,0.3214
从来不,上套,糖果,0.8664,0.7643,0.7249
每天,因为,理由,0.8172,0.7337,0.5859
唯美,电脑前,走过,0.7809,0.5807,0.4788
黑衣人,结束,痛苦,0.8182,0.5348,0.5328
婉约,色泽,古典,0.864,0.775,0.7317
眼眶,这条,走,0.728,0.6528,0.5203
平凡人,伤心,不要,0.8641,0.8543,0.7326
蔬菜,肉类,多喝水,0.7492,0.5128,0.4497
悟性,静下心来,是因为,0.8271,0.7964,0.7211
赤裸裸,勾引,酱紫,0.8553,0.8457,0.8419
不要脸,车展,法兰克福,0.8054,0.735,0.6583
丑小鸭,别忘了,感冒,0.8541,0.7279,0.5854
法拉利,这款,曝光,0.7385,0.6745,0.6632
教益,三年级,不如,0.7533,0.7335,0.4866
耳机线,什么,小球,0.8911,0.7541,0.7529
心甘情愿,爱情,傻瓜,0.8657,0.8652,0.8561
