Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
中科院,剃刀,环球时报,0.7237,0.365,0.3613
有点,东西,喵,0.7395,0.7196,0.6814
聪明,自己,要以,0.8362,0.7809,0.5791
挂号,现金,。。。。,0.9294,0.1445,0.1389
手术室,牙,出差,0.9232,0.4106,0.1504
营养液,脸上,打完,0.7105,0.6747,0.4386
住院,健康,学生手册,0.8626,0.5137,0.266
抽血,医院,一下,0.8955,0.8781,0.2126
生病,健康,新年,0.8837,0.7105,0.3948
哮喘病,健康,公认,0.7716,0.7001,0.536
儿童哮喘,儿童,读懂,0.8547,0.6434,0.5365
医院,味道,的,0.934,0.0704,0.0294
护士,针,肥嘟嘟,0.8327,0.3807,0.2601
双眼皮,单眼皮,双眼,0.9651,0.96,0.8241
出生证明,上海市人民政府,房间,0.5983,0.4649,0.3925
快乐,从何而来,而来,0.8839,0.8596,0.583
中科院,湖南卫视,音乐,0.6168,0.5484,0.5273
基层医院,糖尿病,老年,0.9371,0.831,0.5268
生命,脆弱,什么,0.6748,0.6267,0.5163
聚焦,奉贤,城,0.7569,0.7358,0.5325
一切,以马内利,先来,0.7618,0.6349,0.3892
病房,医生,试问,0.9209,0.9048,0.1235
乐观,一直,来日方长,0.6944,0.6409,0.4558
心痛,孩子,那么,0.6599,0.5737,0.305
急诊,医生,炸药,0.9374,0.8847,0.1526
一大,痛,存款,0.737,0.6533,0.5049
甜酒,味道,妈妈,0.8641,0.7867,0.6702
熬夜,不会,机会,0.7794,0.7595,0.7177
心灵鸡汤,干活,急需,0.7949,0.5413,0.5251
公路,滨,三三,0.7591,0.5958,0.5081
笔芯,反手,二连,0.8426,0.7412,0.6982
知识,对不起,受洗,0.7162,0.5782,0.4962
心愿,贴,便利,0.8741,0.6928,0.5932
好听,十一年,布丁,0.8868,0.8111,0.7948
综艺,选秀,达人,0.8029,0.801,0.6951
夜班,考试,每个,0.9094,0.2213,0.2182
医事,伤,事件,0.6576,0.5562,0.3674
不值,值得,还是,0.8783,0.8184,0.5697
电视剧,拍成,王爷,0.781,0.7616,0.6858
瘦成,腿,一根,0.8829,0.7975,0.7767
瓜子,蚂蚁,搬,0.7917,0.7567,0.6075
一大早,平时,早就,0.8444,0.6975,0.6765
住宿费,跟上,明码标价,0.6475,0.5551,0.473
渴求,自己,生活,0.8073,0.7806,0.7009
上有老下有小,只能,在,0.7784,0.5964,0.3102
越来越少,哀叹,垃圾桶,0.8456,0.7494,0.6846
参观,小别墅,住,0.7781,0.6288,0.61
一次,来,每月,0.4393,0.4334,0.3961
医院,化验,只要,0.864,0.743,0.1687
公立医院,一针,多喝水,0.9304,0.7675,0.4094
一点,没,问题,0.6796,0.6652,0.3945
一念,流年,累,0.8245,0.7797,0.7673
医生,大碍,没什么,0.8731,0.7298,0.3125
回家,晚上,折磨,0.9247,0.4429,0.3593
千金,喜得,恭喜,0.8502,0.846,0.8309
无话不说,争吵,冲动,0.8762,0.7939,0.7878
其实,干嘛,个人,0.7737,0.7459,0.5884
生化危机,期待,重置,0.8906,0.7333,0.6228
玩命,再也,这么,0.9074,0.7458,0.7003
医院,一直,在,0.9327,0.2101,0.01
夜班,招聘网,考点,0.7771,0.5681,0.3662
老中医,吃饭,开水,0.7052,0.3901,0.3769
检查,正常,宝贝,0.7622,0.6419,0.4043
上有老下有小,体验,陪夜,0.7557,0.7264,0.629
感觉,飞过来,直接,0.8029,0.7513,0.751
聋子,下去,变成,0.7522,0.6678,0.6039
配药,呵呵,来,0.7078,0.2611,0.1386
看病,单程,冲绳,0.8551,0.2889,0.2719
手术,加油,了,0.9419,0.2913,0.1227
夜班,六道轮回,在,0.8122,0.4321,0.0462
难受,自己,关心,0.7837,0.7269,0.5949
医院,阳光,的,0.9505,0.118,0.0512
医院,小姐姐,人大,0.9002,0.2179,0.1533
科,挂,好汉,0.5759,0.3198,0.2618
复查,稳住,上海,0.8936,0.3347,0.1428
医院,疗,湿疹,0.9107,0.6636,0.6189
学分,考试,才能,0.9077,0.7342,0.5464
膝盖,什么,紫,0.6889,0.5564,0.5415
生病,医生,知不知道,0.8921,0.8732,0.293
没关系,感觉,不幸,0.8003,0.7624,0.7213
可爱,非常,参与,0.7609,0.7165,0.6489
老王,欢迎,第七位,0.7878,0.7323,0.6873
可爱,了解,下次,0.8289,0.7573,0.3428
医院,心疼,花,0.9088,0.5189,0.0623
出炉,原创,喜欢,0.7967,0.7844,0.6589
检查,一点点,查完,0.8449,0.363,0.2053
