Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
台风,中心,什么,0.75,0.6392,0.5982
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
纯真,最美,温暖,0.8849,0.8792,0.8738
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
奶,新,年度,0.7164,0.6266,0.3338
点评,：,我,0.6444,0.4666,0.4125
云,秋,魔,0.7343,0.73,0.7002
老师,一,家家,0.8778,0.2323,0.2131
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
有则改之,办公,销售,0.7533,0.6034,0.5944
电驴,飞,小,0.8883,0.8026,0.5448
我们,那些,还,0.7363,0.7303,0.5925
绚丽多彩,多彩,世界,0.9313,0.9092,0.7152
温暖,慈祥,中,0.8241,0.7628,0.6563
坚强,支撑,那么,0.8203,0.7989,0.4786
知己知彼,售后,书柜,0.7079,0.6299,0.5778
汽车集团,销售量,领略,0.7605,0.5851,0.5491
点评,：,我,0.6444,0.4666,0.4125
办事,小时,三分,0.7448,0.6555,0.4024
优秀,销售,人员,0.7754,0.6546,0.4697
回校,乏,砖,0.7889,0.584,0.2992
公司,晚上,出门,0.7336,0.6242,0.4102
两万步,每天,英语,0.8699,0.8515,0.7038
闹钟,没有,六点,0.7786,0.7611,0.7022
奶茶,喝,女生,0.8445,0.4885,0.1542
第一天,没有,犯困,0.753,0.6922,0.6552
努力,结果,要,0.8826,0.6867,0.5878
点评,：,我,0.6444,0.4666,0.4125
下班,五点,感觉,0.8952,0.7008,0.4361
有志者事竟成,百分之,标书,0.8782,0.7473,0.4576
嫉恨,知足,不求,0.8008,0.7891,0.7871
同事,感恩,市场,0.7472,0.7362,0.716
一分收获,一分耕耘,收获,0.9382,0.9361,0.7979
一年,眼镜,结束,0.7212,0.6199,0.4317
冷漠,抱持,频率,0.8529,0.8472,0.5202
燥热,冰箱,。。。,0.8714,0.722,0.6396
学习,仿真技术,路线,0.8111,0.4227,0.2411
挥之不去,记忆,的,0.827,0.8071,0.3861
特质,自己,世间,0.8007,0.7623,0.7474
上海,早安,，,0.8307,0.5755,0.3819
航空航天,空航,客户,0.7709,0.7698,0.4677
物流,过年,配合,0.7594,0.6186,0.5741
