Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
学术,遗传学,呕心,0.8255,0.7486,0.2801
大酒店,菜,好好,0.808,0.4035,-0.0133
故园,岁月如梭,有,0.7543,0.4264,0.2667
珍惜,宝贵,前行,0.821,0.7437,0.6468
转眼,年头,纪念,0.7662,0.747,0.4859
不想,距离,上海,0.7796,0.7503,0.6842
堵,飘飘,高速,0.7134,0.7116,0.6858
挣扎,这个,上,0.7345,0.5654,0.5569
爷爷,天气,不错,0.4805,0.3001,0.2858
扫墓,踏青,？”“,0.7669,0.7229,0.4504
一步之遥,淡淡的,愈合,0.6734,0.6082,0.5107
此地,思念,此景,0.7986,0.7901,0.7114
真的,有用,维护,0.8103,0.6043,0.4351
智慧,箴言,高升,0.8502,0.8387,0.6665
妈妈,小蝌蚪,找,0.7913,0.7718,0.6607
首歌,撰文,头皮,0.736,0.6423,0.5866
路况,天路,非常,0.8355,0.7004,0.6538
天晴,爸爸,二周,0.8899,0.8281,0.8176
海葬,婆婆,我们,0.4987,0.362,0.3165
哭出,出来,又,0.5453,0.4931,0.3411
逝者如斯,依旧,花,0.772,0.7117,0.4603
奶奶,您,来看,0.6214,0.5005,0.3392
好像,暖暖的,歌曲,0.729,0.7076,0.5856
水煮蛋,吃出,活生生,0.8166,0.7115,0.6009
没见,祭奠,每年,0.6819,0.6477,0.5191
脑袋,曾经,下来,0.7074,0.6438,0.3704
剧本,晚上,勾勒,0.6984,0.6695,0.6385
吐血,堵死,半小时,0.913,0.3488,0.2632
发烧,疼痛,一言不合,0.8865,0.8407,0.3392
烧烤,不减,返,0.8259,0.1811,0.0325
晒太阳,情绪,不用,0.7611,0.7059,0.5528
候光,拍,负伤,0.6984,0.6682,0.6076
海城,资讯,一枝春,0.8335,0.7381,0.6993
差不多,了,废,0.6582,0.5136,0.3641
好看,夕阳,树叶,0.8392,0.7995,0.7858
魅力,照片,捂,0.8373,0.7466,0.6905
森林公园,国家森林公园,清香,0.8947,0.8893,0.3192
花季,睡,惊醒,0.8197,0.7275,0.5507
烧烤,开业,摊开,0.8693,0.2116,0.1665
三八节,偷笑,补过,0.9166,0.8262,0.6501
春天,渐近,渐,0.8416,0.826,0.6078
秋游,出来,啦,0.8502,0.7091,0.5193
三生,嘻嘻,十里,0.8417,0.7749,0.6405
公园,游园,世外桃源,0.7747,0.579,0.4218
露营,同学,基地,0.793,0.4422,0.434
森林公园,公园,溜,0.9679,0.9476,0.2891
谈笑风生,不动情,俗人,0.8898,0.884,0.8267
秋天,味道,的,0.8966,0.7933,0.3901
天云,两日,接到,0.7546,0.6966,0.4319
群芳,一年一度,开幕,0.8239,0.5483,0.2868
逛公园,公园,余兴,0.9561,0.935,0.0769
有趣,活动,项目,0.6208,0.5906,0.4565
怀里,风天,搞笑,0.8443,0.828,0.6908
谁,划艇,落水,0.6793,0.6106,0.5944
风和日丽,梅花香,日丽,0.9358,0.8735,0.8604
海湾,花展,美,0.8072,0.8002,0.7371
秘密,明白,知道,0.8226,0.8178,0.7662
森林公园,公园,森林,0.9775,0.9139,0.486
国家森林公园,森林公园,值得,0.9244,0.9143,0.2292
很美,风景,还是,0.8551,0.7994,0.4931
逛公园,烧烤,男人,0.8689,0.2517,0.2301
森林公园,国家森林公园,小小的,0.9247,0.9004,0.2365
日落,出发,芽庄,0.6329,0.6061,0.5995
千百度,总理,寻,0.643,0.6005,0.5918
加班,公司,新鲜空气,0.9086,0.7282,0.57
点评,星星,：,0.5504,0.5301,0.4917
没开,去,梅花,0.7703,0.6901,0.3928
烧烤,开心,骑马,0.915,0.1762,0.1498
排队,确认,游乐场,0.4393,0.3892,0.317
国家森林公园,特色旅游,上次,0.8917,0.6553,0.1493
春游,看不到,不到,0.8674,0.7438,0.739
美的,晚上,灯光,0.7384,0.7382,0.7311
怎么,你,走,0.8168,0.7142,0.5958
宝贝,荷花,着,0.8278,0.7534,0.5637
养生,老年,龙舟,0.8841,0.7577,0.5922
漂亮,其实,只是,0.8281,0.7737,0.77
公司,团建,参加,0.7692,0.7067,0.5539
保养,养车,赏梅,0.7849,0.7572,0.7276
森林公园,森林,一日游,0.9214,0.4811,0.3939
拍出来,超级,视,0.8613,0.743,0.5237
小姐姐,引来,走到,0.8473,0.6211,0.446
休息天,九连,拍,0.7888,0.7799,0.6434
春暖花开,上班,游山玩水,0.7775,0.6314,0.5217
蹲坑,奇怪,姿势,0.8156,0.7661,0.6663
一天,凌乱,狂风,0.8642,0.8519,0.7813
兜兜风,出门,不下雨,0.9225,0.8793,0.7187
帐篷,团建,排排站,0.6921,0.5734,0.551
练出,麒麟,臂,0.8473,0.7285,0.6665
独一无二,一直,宠,0.8379,0.7518,0.6496
大人,围着,元宝,0.7946,0.7516,0.7359
阳光,好多,空气,0.8495,0.7956,0.7924
幸福,国庆,一家子,0.7989,0.7933,0.7603
胖,哪里,了,0.8171,0.6372,0.4811
感觉,朋友圈,什么,0.7652,0.7329,0.7079
出差,下来,醉,0.8103,0.6758,0.5959
好,东西,卖,0.724,0.6361,0.628
新年快乐,快乐,盛开,0.9245,0.8723,0.8198
完美,一天,美的,0.9119,0.9006,0.8709
博物馆,公园,颇深,0.6862,0.6607,0.1098
阳光,抓住,享受,0.7848,0.766,0.6997
亦正亦邪,什么,工作,0.7333,0.6849,0.5911
加油,美好,噢,0.847,0.8308,0.7178
房车,初体验,体验,0.8138,0.8027,0.6837
奉贤,来,第一次,0.6492,0.5879,0.5619
宝宝,幸福,的,0.85,0.571,0.2548
春游,一次,快乐,0.7857,0.662,0.6007
公园,防晒,拍片,0.8547,0.3393,0.1785
最近,新,方向,0.8353,0.6906,0.684
好,地方,发现,0.6438,0.6355,0.6159
外景,辛苦,这个,0.8384,0.7872,0.4923
剪短,头发,气头,0.837,0.8191,0.7963
眼中,矫正,别试,0.7485,0.7386,0.6685
马术,小王子,第一节,0.7484,0.7283,0.6768
小伙伴,一天,小伙,0.8676,0.8542,0.8458
森林公园,公园,海湾,0.9606,0.9069,0.3464
蓝天白云,信用,第一届,0.782,0.7401,0.6749
小手,郊游,唱唱,0.7488,0.7281,0.6918
老公,孩子,她们,0.8269,0.8161,0.7636
好多,暴晒,小时,0.6815,0.6751,0.4444
夏令营,自信,营地,0.7605,0.6563,0.5847
公园,晒太阳,去,0.9085,0.325,0.1259
一整天,太阳,奋战,0.909,0.7259,0.536
可爱,不吃,？？？,0.8316,0.7879,0.7368
森林公园,梅花,展览,0.8968,0.3023,0.2247
完满,精英赛,参与,0.7932,0.7365,0.5989
挺不错,好好,不错,0.9256,0.8694,0.8524
嫣然一笑,韶华,桃李,0.9437,0.8722,0.8321
长距离,公里,完成,0.7807,0.7114,0.4872
船游,鸟岛,光线,0.7684,0.6495,0.434
植物学家,诺,调研,0.6922,0.5554,0.5177
挑战赛,中欧,小时,0.8426,0.7004,0.4741
森林公园,森林,中国女排,0.9127,0.4916,0.2677
一直,公路,墓碑,0.745,0.5028,0.4447
露营,欢乐,孩子,0.8136,0.6222,0.6079
好去处,去处,踏青,0.8576,0.7667,0.6039
郊野,夜宿,宝宝,0.7384,0.6656,0.6087
团建,五点,清晨,0.84,0.7393,0.6759
看起来,想买,很远,0.7661,0.6364,0.5817
红杉树,红杉,初冬,0.9466,0.8912,0.8398
返程,只得,明媚,0.7609,0.6104,0.5852
一路,上海,乡下,0.8651,0.7805,0.6136
森林公园,森林,外滩,0.7914,0.3809,0.3599
梅园,宝宝,今,0.6787,0.5895,0.4977
停歇,小时,不停,0.8834,0.8826,0.8412
暖暖的,惬意,好,0.8898,0.8531,0.6915
国家森林公园,门票,清香,0.8733,0.527,0.2708
趣味,运动会,运动,0.8714,0.8345,0.8221
烧烤,游戏,憧憬,0.875,0.2691,0.1545
铁路,上海浦东,上海,0.8747,0.8271,0.8183
森林公园,艳丽,展出,0.8639,0.3507,0.254
趣味,运动会,运动,0.8714,0.8345,0.8221
断奶,尿片,弟弟,0.7768,0.693,0.6901
出游,腿,围观,0.8408,0.528,0.5007
别离,很美,舍,0.8914,0.533,0.4718
老师,嘻嘻,被,0.872,0.363,0.1999
好爽,草莓,口吃,0.8766,0.8313,0.8103
出门,冷天,，,0.8235,0.612,0.3502
小鬼,公主,款,0.7645,0.7059,0.5216
掩不住,稚嫩,秋风,0.8853,0.8668,0.7825
十六届,展览会,蜡,0.669,0.6685,0.5482
秋高气爽,阳光明媚,高气,0.9491,0.9111,0.8308
再来,短暂,假期,0.7625,0.758,0.6796
弯儿,集体,遛,0.7243,0.7203,0.5934
金鸡湖,马拉松,半程,0.7234,0.6591,0.5096
挺不错,好好,不错,0.9256,0.8694,0.8524
同学聚会,聚会,很,0.9632,0.7273,0.6881
安全感,比不上,多一点,0.8779,0.8047,0.7313
慧,爱,慈,0.7607,0.7602,0.6129
离不开,一直,原来,0.8472,0.7824,0.7386
五福,老树,人家,0.8387,0.7867,0.6628
公园,散步,赞不绝口,0.7516,0.4625,0.3717
阳光明媚,九宫,别的,0.8665,0.7398,0.6575
公园,烧烤,不累,0.8621,0.2594,0.166
点评,星星,：,0.5504,0.5301,0.4917
修得,天地,梅花,0.7961,0.745,0.7278
开心,付出,所有,0.8621,0.7937,0.6923
微笑,阴险,鼓掌,0.8201,0.7526,0.7216
老年,老年人,好,0.804,0.7842,0.6075
森林公园,公园,盛开,0.9581,0.9073,0.2203
