Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
累,快乐,并,0.8201,0.7482,0.4409
点评,：,我,0.6444,0.4666,0.4125
碌碌,结束,终于,0.5989,0.5806,0.5449
点评,：,我,0.6444,0.4666,0.4125
百里,我,之一,0.7892,0.6951,0.6128
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
职员,忙碌,疯狂,0.7899,0.6719,0.5507
酒店,夜宿,），,0.8522,0.3093,0.0973
南港,气势如虹,参观,0.6526,0.6219,0.4097
干完,未知数,出差,0.7623,0.5419,0.4535
咖啡,一杯,阳光明媚,0.8338,0.5131,0.2612
点评,：,我,0.6444,0.4666,0.4125
再见,晒晒,敬酒,0.5958,0.5629,0.4899
不会,勇气,生活,0.8017,0.789,0.6985
海之滨,浦东,田园,0.7981,0.7296,0.5551
一阵风,自己,匆匆,0.7987,0.7364,0.4452
第一次,次年,会,0.4452,0.3829,0.3824
店,大闸蟹,所以,0.8265,0.4447,0.2508
点评,：,我,0.6444,0.4666,0.4125
走,心累,了,0.8111,0.685,0.4759
酒店,阳台,阳台门,0.891,0.742,0.4961
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
房间,豪华,担心,0.7954,0.6828,0.3692
住,小木屋,终于,0.6526,0.6138,0.5967
培训中心,代言,企业,0.7893,0.7148,0.667
油菜花,油菜,走,0.9655,0.9431,-0.0203
长肉,毛毛,快,0.8823,0.805,0.3646
房车,本命年,了,0.7206,0.6495,0.5592
白发苍苍,一季,不住,0.8178,0.7713,0.6995
爱到深处,回忆,形同陌路,0.9032,0.8072,0.6912
强大,自己,很苦,0.7864,0.7661,0.6764
点评,星星,：,0.5504,0.5301,0.4917
酒店,海景房,景房,0.9073,0.6876,0.6637
回来,对不住,渴死,0.7808,0.7478,0.6257
真的,发自肺腑,练,0.8143,0.793,0.5842
一日千里,力量,面对,0.8178,0.7792,0.6245
回馈,感受,爱,0.8204,0.7864,0.6796
安全感,以至于,长大,0.87,0.8117,0.7289
度假区,迎新,万事如意,0.6144,0.5504,0.4712
老师,谭盾,可爱,0.9081,0.2837,0.2821
圣诞,呢,要,0.901,0.6764,0.5866
工作日,说不上来,离开,0.8456,0.4945,0.3496
酒店,花园,臭美,0.7528,0.5695,0.2371
酒店,遛弯,工作人员,0.9132,0.1426,0.0702
睡到,继续,这个,0.7831,0.6925,0.6888
住,一次,足以,0.7887,0.5675,0.5303
星光,眼睛,就是,0.8304,0.7936,0.7156
打卡,迪士尼,楼下,0.6465,0.5228,0.5168
迪士尼,同游,开心,0.7054,0.6684,0.586
娃,陪伴,奇,0.7408,0.7196,0.6541
一天,迪士尼,顺利,0.7803,0.751,0.7296
下雨,今晚,烟火,0.8525,0.837,0.8329
酒店,乐园,、,0.9224,0.4789,0.0473
姐弟俩,一晚,住,0.8226,0.6486,0.4066
点亮,心中,奇,0.8313,0.7831,0.6192
见面,感受一下,圣诞,0.79,0.7453,0.7259
做客,圣诞礼物,去,0.6501,0.5467,0.3865
蓝天,。。。,拍,0.8455,0.5975,0.5948
下雨天,潮湿,不过,0.8988,0.8454,0.5667
奇妙,一天,的,0.8728,0.8667,0.4733
董店,贩,哈哈哈哈,0.898,0.3619,0.3226
期待,明天,迪士尼,0.852,0.8314,0.6818
旅,迪士尼,绝对,0.6963,0.6179,0.5086
童真,童话世界,这个,0.8601,0.86,0.7445
米奇,黑金,今天,0.8394,0.8332,0.8325
首饰盒,最爱,这个,0.9289,0.7626,0.6729
晚安,三岁,心态,0.803,0.795,0.7285
房间,很酷,床,0.752,0.6415,0.6106
每天,爱,我,0.8306,0.7837,0.7515
体验,还要,下次,0.707,0.6843,0.6711
进入状态,进入,到,0.6544,0.5361,0.4602
了,再,别,0.6042,0.5785,0.5697
一起,鸭,和,0.7555,0.6181,0.5727
圣诞,一起,公主,0.8552,0.7573,0.7477
闪现,啊啊啊,胖,0.8589,0.7832,0.7819
美梦,仙子,善良,0.9013,0.8903,0.8414
酒店,可爱,的,0.922,0.1007,0.0366
房费,住宿,星级,0.7319,0.6591,0.3596
真的,吃饭,照顾,0.4406,0.3646,0.3103
拜拜,了,唐老鸭,0.8859,0.5337,0.4699
加油,今天,明天,0.9156,0.8249,0.8236
下山,山后,烟花,0.7657,0.7612,0.7225
很美,漫长,烟花,0.8121,0.8062,0.7816
五顿,吃,目标,0.7235,0.6608,0.4646
圆满结束,圆满,明天,0.9066,0.8521,0.7341
酒店,乐园,住,0.8091,0.5411,0.4465
酒店,乐园,今晚,0.8953,0.4987,0.0074
说走就走,旅行,憧憬,0.9367,0.8132,0.4815
迪斯尼,早餐,。,0.8691,0.8059,0.5106
浪漫,夜晚,一个,0.8337,0.8217,0.6503
小帅哥,知道,休假,0.8461,0.7826,0.5598
陌生,走近,个人,0.8792,0.7636,0.5587
圣诞老人,与,晚宴,0.754,0.502,0.4156
就是,不出,走走,0.7379,0.7089,0.5467
吃饭,坐在,烟花,0.9016,0.0009,-0.0032
上海,下雪,了,0.7496,0.6349,0.5377
生日快乐,迪士尼,上海,0.8451,0.6813,0.4855
度假,迪士尼,度假区,0.7551,0.7096,0.6956
栏杆,滤镜,站,0.5629,0.5134,0.2052
天真无邪,一世,你们,0.8863,0.7413,0.655
排队,小孩,一天,0.8357,0.4251,0.2681
节目,最爱,房间,0.8353,0.3719,0.2572
相机,忘记,全景,0.8758,0.6914,0.6829
酒店,餐厅,店客,0.855,0.6626,0.1045
乐园,景观,了,0.7943,0.5769,0.3378
来来来,追,我们,0.8129,0.7672,0.762
酒店,乐园,第十八个,0.9142,0.429,0.0901
度假区,老板娘,哈哈哈,0.5647,0.4291,0.4121
晚安,宝贝,我,0.9051,0.8804,0.7341
米奇,真好,童年,0.8804,0.8269,0.8146
艰难,生如,鸭,0.7793,0.7439,0.5957
机场,开好,宝贝儿,0.7737,0.7078,0.5045
厨房,早餐,小朋友,0.5971,0.5278,0.4284
迪士尼,园,入,0.707,0.5348,0.4896
餐厅,烩饭,很厚,0.6492,0.5353,0.2543
不稳固,手拉手,壁橱,0.7805,0.7381,0.5835
极致,精致,，,0.9103,0.8674,0.5104
童话世界,出其不意,惊喜,0.871,0.8672,0.7815
明天,道明,天气,0.8109,0.7613,0.7418
吐血,花钱,迪士尼,0.7555,0.355,0.3208
不骄不躁,坚定,初心,0.9406,0.8917,0.8435
酒店,城堡,迪士尼,0.883,0.2972,0.2833
妈妈,生日,明显,0.7892,0.7051,0.7002
