Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
浓妆艳抹,真是,月,0.868,0.7322,0.4908
玩物丧志,再见,事,0.7574,0.5523,0.261
三天,开学,放假,0.7431,0.7193,0.7173
烤鱼,煲,毕业,0.624,0.4333,0.4263
学年,长学,真不愧是,0.7033,0.6982,0.642
愁,枫,渔火,0.7053,0.6897,0.6507
一趟,学校,多么,0.6376,0.6232,0.4386
长头,居然,忙,0.8613,0.6989,0.5065
临港,明天,见,0.9236,0.5098,0.2418
沉沦,结婚,走,0.8381,0.8082,0.4581
空无一人,大街,的,0.7412,0.7234,0.3443
冻死,早起,周六,0.7246,0.6873,0.6592
阿德尔,大哥,德尔,0.917,0.7904,0.7344
不会,自己,大脑,0.7439,0.7366,0.6967
滴水,阵阵,湖畔,0.8236,0.7181,0.7054
滴水,明早,湖畔,0.8351,0.7636,0.7437
上次,大学,的,0.7534,0.411,0.288
服务中心,行政,老爷,0.7729,0.6502,0.4281
粽子,快乐,节,0.8678,0.81,0.4977
一天,有点,官方,0.7295,0.6915,0.5939
书局,第一天,假日,0.7509,0.6367,0.4772
滴水,湖,车节,0.8726,0.5758,0.5514
节目表,开心,表演,0.6834,0.6469,0.5878
可爱,告白,第一次,0.8778,0.8585,0.6373
阳光,音乐节,音乐,0.8612,0.7924,0.768
一不小心,上榜,心上,0.8476,0.8325,0.7022
现场,干杯,感染力,0.7403,0.628,0.5871
售楼处,现场,一大,0.8802,0.4486,0.2827
好多,活动,附近,0.7448,0.5345,0.4965
地铁,半小时,拍摄,0.7125,0.67,0.4573
毕,中,筹备,0.5518,0.5454,0.486
到,先,暴发户,0.7254,0.4709,0.3363
现场,音乐节,发布,0.7684,0.6862,0.604
走走停停,停靠,这里,0.9331,0.8424,0.4697
滴水,风,湖,0.8241,0.7226,0.5859
每天,歌,饭,0.6642,0.531,0.4043
再来,完全,不同,0.8829,0.5205,0.4609
华晨,激动,宇,0.8329,0.8292,0.7284
四十岁,身体,修行,0.8423,0.7625,0.7365
怎么,谁,这里,0.7967,0.7173,0.709
出发,鼓掌,，,0.8707,0.4647,0.4059
短暂,轻松,一切,0.8287,0.8111,0.7991
加油,宝贝,凡,0.917,0.8168,0.6197
心痛,排,队,0.4325,0.327,0.2834
新城,临港,管委会,0.8006,0.5199,0.5139
滴水,湖,日,0.8897,0.6477,0.4226
公益,滴水,社团,0.6776,0.6368,0.3064
完美,一天,今天,0.8879,0.8664,0.8613
调皮,华晨,五一,0.8457,0.7595,0.7121
我,满意,这个,0.7064,0.6926,0.6913
美颜,盛世,球,0.8828,0.7743,0.5812
半小时,车位,找,0.7861,0.7697,0.639
温柔,今天,走,0.8591,0.7813,0.4024
孑然一身,心不变,坦然,0.9298,0.9015,0.8721
回家,大城,崩溃,0.8989,0.791,0.3865
去,再,吹风,0.7944,0.6252,0.4963
西岛,欢呼,到,0.7112,0.6724,0.3239
打掉,手机,后面,0.7209,0.6506,0.6084
深夜,一组,图,0.8016,0.7022,0.5829
欢乐,回家,出来,0.7293,0.7245,0.6646
要命,滴水,跑,0.7707,0.7222,0.544
伤痕,固执,习惯,0.8178,0.8015,0.7715
现场版,听到,付出,0.8159,0.7128,0.6835
书店,味道,新装修,0.9238,0.2865,0.2762
一年,开始,新,0.7856,0.6838,0.6725
一日游,滴水,湖,0.838,0.6104,0.4957
滴水,湖,溜,0.6117,0.5706,0.5191
静夜,夜静,思,0.9,0.8955,0.5722
十公里,滴水,湖,0.8049,0.551,0.3753
点评,：,我,0.6444,0.4666,0.4125
歌迷会,齐天大圣,分会,0.8348,0.7495,0.5856
火锅,喝,单位,0.7536,0.3966,0.1775
胳膊,疯狂,老,0.8049,0.7695,0.5955
老师,彩排,毛,0.597,0.4047,0.2016
回家,累,我,0.945,0.4524,0.3756
喜欢,华晨,小时,0.7757,0.7028,0.383
海洋公园,门票,猜猜猜,0.9007,0.502,0.2887
钢琴,好久不见,你好,0.774,0.6731,0.6169
好听,兔子,》,0.8943,0.7553,0.5807
要死,真的,，,0.6798,0.5831,0.2924
碧空,风光,新城,0.8405,0.815,0.6213
滴水,湖,日,0.8897,0.6477,0.4226
摄影师,自带,全程,0.8873,0.4667,0.3638
加班,财务,睡觉,0.8899,0.7583,0.4613
滴水,滴滴,湖,0.8798,0.6399,0.5407
生存,第一张,点名,0.7561,0.6913,0.5328
车站,紧张,啦,0.7755,0.4524,0.4029
歌迷会,分会,全球,0.87,0.6434,0.6415
湖边,公里,即使,0.6946,0.5209,0.4752
滴水,湖,日,0.8897,0.6477,0.4226
音乐节,舞台,机场,0.599,0.5506,0.4128
漂亮,真的,，,0.9357,0.8842,0.4077
来,一次,滴水,0.6797,0.665,0.5495
环湖,徒步,一起,0.8762,0.8041,0.5884
嘛,恰,饭,0.7666,0.7457,0.6014
没油,怎样,便车,0.8841,0.6787,0.5526
说谎,何必,没有,0.8882,0.8243,0.7306
老师,小括号,，,0.861,0.3696,0.1901
人工湖,公益,去,0.5984,0.4195,0.2915
大哥,迷人,身后,0.849,0.8265,0.7076
音乐节,湖,不易,0.7731,0.6491,0.548
夏天,五月天,诞生,0.8769,0.8231,0.7602
滴水,一日游,湖,0.732,0.6692,0.5764
乐团,首歌,脱掉,0.8457,0.7712,0.68
跑马,第一次,马拉松,0.8281,0.7555,0.6683
肿,消停,脸,0.7644,0.585,0.5475
翻山越岭,上海,这里,0.848,0.7979,0.5697
服老,不服,为了,0.7234,0.6845,0.568
青春,南征北战,主题曲,0.7829,0.7073,0.691
上班,一万个,的,0.8533,0.6468,0.3989
西餐厅,烤,椰子树,0.7088,0.5352,0.2012
西岛,湖,转悠,0.5954,0.5049,0.3646
很美,汗,出身,0.7705,0.6393,0.3908
滴水,吹,湖,0.8496,0.7652,0.6073
甜甜的,谁,》,0.816,0.7189,0.683
滴水,湖,日,0.8897,0.6477,0.4226
毕业,关注点,看,0.7171,0.6652,0.5386
了解,乐队,南征北战,0.7614,0.7521,0.6917
会去,演唱会,话费,0.6435,0.6178,0.4776
寝室,心疼,伴奏,0.7569,0.4149,0.3824
单车,湖,到,0.7268,0.4887,0.4149
刘若英,影后,辜负,0.8542,0.7679,0.7549
博物馆,景区,贝加尔湖,0.7724,0.6441,0.2697
想要,自行车,湖,0.7644,0.7549,0.5838
音乐节,说谎,大学,0.8368,0.623,0.5058
歌迷会,分会,太好了,0.8405,0.6273,0.6115
店面,氛围,。,0.9286,0.15,0.1057
演唱会,现场,赶来,0.666,0.5214,0.5104
论文,书局,临港,0.6756,0.454,0.248
合唱,台上,唐人街,0.7349,0.6276,0.4815
眉,燕,无,0.7345,0.6204,0.3753
临港,百,团,0.8542,0.5578,0.4804
不好受,热,果然,0.8834,0.7326,0.6838
个里,啷,个,0.7248,0.694,0.4252
很美,不错,过来,0.8539,0.7698,0.4757
歌曲,最爱,全场,0.765,0.6979,0.5659
地铁,感人,本学期,0.768,0.6233,0.5589
赴约,不多,话,0.8871,0.7523,0.6941
了,值,0.5347,0.3788,,
今天天气,真不错,天气,0.9421,0.8208,0.7804
好久没,唱,现场,0.7527,0.5939,0.5107
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,星星,：,0.5504,0.5301,0.4917
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
睡衣,讨厌,对了,0.8269,0.74,0.5768
吃饭,超市,啃起来,0.6982,0.398,0.3349
点评,：,我,0.6444,0.4666,0.4125
点评,星星,：,0.5504,0.5301,0.4917
点评,星星,：,0.5504,0.5301,0.4917
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,星星,：,0.5504,0.5301,0.4917
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,星星,：,0.5504,0.5301,0.4917
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
点评,：,我,0.6444,0.4666,0.4125
华为,想买,爽歪歪,0.7094,0.6241,0.6108
研究,偶像,在家,0.8991,0.3595,0.1481
伴,老样子,动车,0.7571,0.7266,0.5196
好好,不能,还,0.7636,0.6159,0.5176
公演,兄弟姐妹,系,0.7202,0.623,0.5471
物业费,毒瘤,起诉,0.7227,0.5823,0.4766
不容,车子,服役,0.7448,0.7329,0.574
研究,捉迷藏,街道,0.879,0.3953,0.1504
睡觉,老婆,等,0.851,0.8152,0.4543
一箱,京东,不错,0.7397,0.7168,0.6822
烧烤,老街,无证无照,0.6333,0.4737,0.3479
领养,养女,美好,0.7837,0.7346,0.6858
灯光,舞台,住,0.6926,0.6288,0.3082
别墅,多少钱,门口,0.7449,0.4113,0.314
太美,丹丹,张,0.89,0.8339,0.6161
剧院,周年,三月份,0.7514,0.4171,0.3077
抽烟,烟感,足足,0.8019,0.7964,0.764
手机号,喜欢,删除,0.8135,0.7704,0.6417
结婚照,哥哥,身下,0.8427,0.8088,0.671
很多歌,老哥,台,0.8484,0.805,0.5282
初心,歌曲,支队,0.7275,0.5919,0.4798
公演,直播,看,0.7811,0.6582,0.5577
展览馆,世博,去过,0.8019,0.5455,0.1188
公演,会演,今年,0.7354,0.6736,0.6071
看场,演出,舞姿,0.659,0.6126,0.4876
不错,逼,牛,0.7801,0.7365,0.7123
演唱会,终身大事,哥哥,0.8052,0.7767,0.7309
剧院,周年,一直,0.7481,0.4781,0.2861
冲动,两辆,买,0.7686,0.6647,0.5875
寿比南山,发财,男朋友,0.8338,0.7843,0.7037
酒吧,迪厅,节日快乐,0.7841,0.4774,0.2377
孤独,沧桑,情,0.8327,0.7722,0.769
无关紧要,一点很多,忙,0.8989,0.8855,0.578
驯兽,外观,宣传,0.8373,0.5913,0.5111
短裤,花环,诉说着,0.8844,0.6704,0.5816
索尼克,电视,儿科,0.7555,0.6368,0.1575
坚强,一切,没事,0.8818,0.8029,0.7159
伤心,果断,性格,0.825,0.8243,0.7439
傲江湖,温柔,公测,0.8706,0.813,0.754
生日快乐,生命,即使,0.9059,0.7295,0.6792
性感,毛衣,拜拜,0.8809,0.8752,0.3562
打电话,有事,以后,0.8188,0.7326,0.6588
越来越,刀,启示录,0.8044,0.664,0.6081
明白,痛彻,终于,0.8056,0.5766,0.532
一辈子,没关系,爱情,0.8902,0.8637,0.8441
