Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
教学,哈哈哈哈,舞蹈,0.8673,0.5877,0.5345
医院,拍戏,苏州,0.8532,0.4422,0.3542
灵动,毛衣,高级,0.6731,0.4673,0.3864
摔倒,后台,痛哭,0.539,0.538,0.527
但愿,再来,一切,0.6898,0.6427,0.6055
好不好,自己,取决于,0.7018,0.6429,0.634
轮回,戒律,自称为,0.6715,0.5892,0.5667
阳光灿烂,雨蒙蒙,不论是,0.8258,0.7025,0.5377
演唱会,作揖,掉落,0.7574,0.6178,0.4521
自由选择,幸福,评判,0.7487,0.6676,0.4025
寂寞,回忆,通向,0.7671,0.6974,0.6343
夜班,简直,干旱,0.7928,0.4674,0.3635
老爸,亲自出马,黑帮,0.6945,0.6917,0.6796
明知,歌词,我们,0.7261,0.6932,0.6233
眼泪,原来,如果,0.6253,0.6059,0.4717
最后,变成,痛,0.6236,0.4483,0.4317
天蝎座,恶狠狠,妥协,0.7591,0.7298,0.6804
签到,星星,围观,0.7424,0.7143,0.5691
阅览室,走开,书,0.8227,0.5075,0.3593
学校,拿得起,赶不上,0.7,0.6518,0.5698
狭隘,他人,做事,0.7244,0.6705,0.5849
抽血,癫狂,午夜,0.7014,0.5993,0.5138
无人不知,娱乐圈,大人物,0.7668,0.6533,0.6432
小窍门,单调,鞋带,0.7372,0.6282,0.5408
公益,公交车,翻出来,0.7101,0.6824,0.5719
不会,所爱,走,0.648,0.6179,0.3949
咖啡,一杯,下肚,0.8928,0.4695,0.2167
见面,收获,责任,0.7511,0.622,0.4536
坐火车,旁边,帅哥,0.8946,0.4965,0.4759
看过,哭,：,0.6169,0.5637,0.3586
飞船,举世无双,继续,0.7829,0.5881,0.5464
静静地,心仪,花开,0.8307,0.6773,0.5743
白菜,辛辛苦苦,支付宝,0.8723,0.4037,0.3841
女人味,优雅,上衣,0.6935,0.6921,0.6256
离场,落井下石,奔跑,0.6685,0.6375,0.6139
宿舍,女朋友,发烧,0.7523,0.6315,0.5648
任性,坚强,本事,0.7199,0.6712,0.4653
住院,上班,可不可以,0.7889,0.5203,0.4827
伤害,自己,善良,0.7094,0.6077,0.6014
相离,全世界,隧道,0.7041,0.6408,0.5165
上班,好好,，,0.892,0.4162,0.2713
真的,经典,这段,0.5576,0.5481,0.4629
疼,害怕,主动,0.6082,0.5557,0.54
事故现场,太坏,现场,0.718,0.6117,0.5562
课间操,天生,本年度,0.919,0.3894,0.3212
不夜城,一路,乐团,0.7372,0.6903,0.5626
通讯部,双子座,操作,0.7321,0.5776,0.4769
奶茶,默默无闻,，,0.817,0.3745,0.1442
双人舞,过目不忘,意想不到,0.7494,0.741,0.6494
自卑,不停,假装,0.6739,0.6679,0.6333
编导,舍得,智力,0.6256,0.5575,0.4195
沉默,心净,有时,0.7097,0.6455,0.533
打造,成都,全省,0.7123,0.6349,0.4893
可爱,猫猫,？？,0.6853,0.6695,0.5266
让座,起来,你,0.8728,0.4929,0.4383
用心,有用,人才,0.7422,0.4946,0.4388
抱有偏见,阻塞,运送,0.6549,0.6129,0.5563
房间,当然,漂流,0.8956,0.3265,0.2912
人间烟火,只在乎,家长里短,0.8287,0.7963,0.7311
女鬼,命运,非常,0.6901,0.6678,0.6209
美好,真的,日子,0.7894,0.6763,0.6737
一起,做事,學,0.7206,0.5579,0.3139
安全气囊,行路难,车型,0.7572,0.7071,0.5763
野战排,永远,结束,0.6863,0.6544,0.5816
学校,马上,下雨,0.7752,0.4642,0.3849
艺术,教会,白酒,0.7568,0.5538,0.405
甜甜的,女儿,采访,0.7221,0.6027,0.5796
回首,往前走,坚持,0.7518,0.7275,0.6859
不弃,李小璐,清者自清,0.7404,0.6241,0.6154
教科书,教科,憧憬,0.9123,0.8681,0.4722
幡然醒悟,挑逗,生物,0.6753,0.633,0.3665
球鞋,结了婚,看看,0.6075,0.5955,0.4434
无时无刻,讨厌,你,0.8576,0.6587,0.5777
路过,悔过,一天,0.7345,0.6742,0.6382
教学,哈哈哈哈,舞蹈,0.8673,0.5877,0.5345
永远,血液,走兽,0.6868,0.5728,0.427
炒锅,调味料,麻辣,0.7134,0.6515,0.6215
一辈子,读本,身上,0.7966,0.5395,0.4625
随便,女生,玩儿,0.7248,0.6267,0.5186
医生,认真,取出,0.7981,0.463,0.373
重新认识,好听,歌手,0.7817,0.7772,0.6047
音乐盛典,送祝福,西装,0.7813,0.6655,0.5821
起床,折磨,未来,0.7191,0.6116,0.6067
开房,第一次,紧张,0.8275,0.7394,0.5903
小毛病,得罪人,敬业,0.8565,0.5415,0.4527
那边,好多好多,不会,0.6879,0.672,0.6465
医院,肺炎,礼拜,0.8393,0.8276,0.3744
酸牛奶,面包,全麦,0.8077,0.709,0.6706
先生,可爱,表情,0.6633,0.6583,0.6457
气质,李冰冰,视频,0.6424,0.5561,0.5017
郊外,垂钓,柴可夫斯基,0.7148,0.6545,0.5879
距离,听,游戏,0.5508,0.4933,0.4704
看不见,乐声,微风,0.7795,0.6388,0.6217
