Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
易车网,编制,那位,0.5495,0.5438,0.5382
拥抱,拒绝,疗伤,0.7259,0.6577,0.6169
漏油,必不可少,爱车,0.6956,0.645,0.5632
拜拜,老婆,守护,0.7849,0.6924,0.6195
集团,再创新高,演唱会,0.6577,0.588,0.5598
性感,内衣,草泥马,0.644,0.6046,0.5913
亲爱,浪费,基础,0.6706,0.6585,0.5096
耍大牌,白开水,白酒,0.7046,0.6897,0.5738
静静的,浪漫,主题曲,0.7684,0.724,0.671
看球,球迷,你,0.8068,0.719,0.3865
真真切切,闹钟,第二天,0.8308,0.6927,0.661
再见,青涩,微黄,0.8215,0.7163,0.5925
思念,某年某月,伤口,0.7626,0.6755,0.4408
追求,流泪,享受,0.7074,0.6214,0.5098
鱼缸,小时,吃到,0.7024,0.4199,0.2617
父爱,如山,啊,0.8387,0.691,0.5595
艺术作品,作品,巧夺天工,0.9191,0.4438,0.3654
淡淡的,等待,跳动,0.7972,0.6643,0.4577
真心,没什么,骗子,0.746,0.7099,0.6237
好好,住,环境,0.6191,0.5081,0.4607
甜言蜜语,不由自主,夕阳,0.7315,0.7291,0.6243
瞧不起,女人,追求,0.6789,0.6678,0.6541
静静地,吉他,古典,0.7966,0.7184,0.6139
同学,说完,一位,0.7857,0.6188,0.4719
肉馅,猪肉,儿子,0.7041,0.6259,0.4508
茜茜公主,乐器,猜猜,0.6743,0.6623,0.5869
异地,精神支柱,享受,0.7541,0.6549,0.3485
说不出口,远途,旅行,0.7796,0.6658,0.5381
苏州,空气,面膜,0.6518,0.6279,0.5666
庸人自扰,花开花落,放弃,0.8427,0.7395,0.703
好想你,晚安,五月天,0.8553,0.8064,0.6917
耿耿于怀,橡皮擦,浪费,0.8353,0.7633,0.6336
延续下去,边境,商大,0.6394,0.5984,0.2941
一言为定,梅花鹿,老虎,0.7576,0.7077,0.626
绝缘,重拾,竟然,0.7607,0.7043,0.5527
工作,发动机,空气滤清,0.7382,0.6377,0.5951
秋老虎,高温,接连,0.6658,0.5733,0.5562
女司机,一路,念经,0.9334,0.6517,0.4339
人才,市场,连着,0.723,0.4649,0.431
草船借箭,草船,今天,0.9387,0.8241,0.4669
韭菜花,菜花,鸡精,0.9212,0.9029,0.3048
继续前进,专注,唯一,0.7933,0.7474,0.7083
秘书,上门来,冷下来,0.828,0.6114,0.5623
坦荡,受得住,取决于,0.7341,0.7297,0.5495
竭尽全力,麦穗,更好,0.8504,0.6355,0.6174
灯泡,从今,回答,0.6976,0.6236,0.5997
千疮百孔,示范,搭配,0.7325,0.7012,0.5405
景色,海拔,半小时,0.7784,0.6522,0.5581
狗命,真的,世界,0.7629,0.711,0.529
麻醉,麻醉剂,心灰意冷,0.7665,0.7515,0.7124
一心多用,双子座,特质,0.8317,0.6959,0.6726
斯人,遇上,彩虹,0.754,0.7145,0.6292
友情,别人,必要,0.6991,0.6821,0.5971
视而不见,抱怨,外人,0.8169,0.6833,0.6765
五月天,约定,一起,0.7433,0.6925,0.69
绿色植物,植物,浇灭,0.862,0.7401,0.2297
海军陆战队,班长,奔命,0.7583,0.6634,0.5429
一辈子,告诉,才学,0.8041,0.6909,0.5738
扫地,招待所,头疼脑热,0.6946,0.5536,0.505
考试,写字,最近,0.6031,0.5218,0.4837
呢喃,机器人,总动员,0.7293,0.6747,0.5334
脾气,我,最大,0.6313,0.5918,0.4136
武大郎,名门闺秀,知府,0.6155,0.5964,0.578
日语,必要,。。。,0.6358,0.5955,0.5429
医者,格格不入,扩散,0.768,0.5683,0.3898
充实,种子,土地,0.6307,0.5377,0.528
男人,你好,一百块,0.6549,0.5786,0.5128
老板,汇报,努力,0.8145,0.6914,0.4489
同学,挑拨离间,偷看,0.7162,0.6373,0.5697
铁道部,发言人,定会,0.7582,0.6279,0.4949
