Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
失去,害怕,不会,0.7357,0.6611,0.6522
喝下去,奶瓶,没有,0.7655,0.7076,0.4951
阳澄湖,大闸蟹,旅,0.6327,0.5724,0.4505
保湿,洗脸,衰老,0.7342,0.7259,0.5509
看起来,疲惫,乌鸦,0.6796,0.6632,0.6203
心房,华丽,住,0.5736,0.4272,0.3593
菜,品尝,小园,0.7842,0.5571,0.1818
分手,沉默,证明,0.7663,0.6681,0.4766
天壤之别,死亡,诗社,0.7748,0.5915,0.4229
得过且过,情人节,难过,0.8353,0.8199,0.7514
回不去,模糊不清,浪费,0.8558,0.7856,0.6447
不帅,女人,机会,0.7287,0.6894,0.6607
评弹,唱,方言,0.7133,0.6273,0.6249
患难,刻意,握手,0.685,0.6464,0.6458
温泉,生态村,玻璃屋,0.7655,0.744,0.417
无理取闹,慷慨,为什么,0.8267,0.6711,0.4964
睡过去,不经意,小猫,0.7996,0.7573,0.6484
悦耳,学识,伤害,0.6136,0.5902,0.5576
放不下,爱情,距离,0.8721,0.6535,0.5872
求医,打电话,体育锻炼,0.6866,0.4992,0.4933
哈哈哈哈,精本,戏,0.7914,0.4541,0.4489
点评,我,：,0.6052,0.5745,0.4775
一辈子,大江东去,佳境,0.8039,0.7405,0.5974
我会,不管怎样,开心,0.7449,0.7417,0.6297
火车票,票贩子,卖出去,0.9096,0.6703,0.2957
秋风,痒,起,0.5199,0.4749,0.3802
时代广场,下班,圆融,0.8754,0.5072,0.4285
运动,大二,拍片,0.6096,0.5412,0.4822
风景,细腻,心情,0.7628,0.5074,0.3763
生物学家,慢慢,血清素,0.7146,0.5941,0.572
一辈子,呈现,剧里,0.7157,0.5348,0.4815
演唱会,录音室,匆匆,0.7766,0.6968,0.513
工地,一个,星期,0.8403,0.3503,0.3379
苏州园林,留园,安静,0.8665,0.7113,0.4752
粗暴,娃娃,自己,0.7235,0.6052,0.5547
疏远,衣服,行头,0.6095,0.5785,0.4247
很多很多,喜欢,如果,0.7511,0.6148,0.5278
说完,抱怨,自己,0.6713,0.6699,0.6079
冷,大家,吃,0.448,0.4055,0.3523
有氧,仙女,快点,0.827,0.4842,0.4538
一生一世,孩子,祈祷,0.8682,0.6875,0.6444
书店,心,我们,0.9368,0.1535,0.149
茶,喝,听说,0.6879,0.4041,0.3041
难得糊涂,世态,公正,0.8553,0.5989,0.5811
小伙伴,坚持,活动,0.7016,0.6183,0.5603
相信,未来,乐观,0.7407,0.7191,0.6225
抓不住,到头来,无止尽,0.7776,0.7719,0.7686
超市,赔钱货,泰铢,0.7722,0.5979,0.4648
幽默感,饭量,功利,0.7052,0.6834,0.6458
毕业,读书,遥不可及,0.7811,0.6969,0.626
告一段落,情绪低落,破口大骂,0.801,0.7691,0.7528
猝不及防,不语,弯,0.8237,0.6775,0.4469
动画片,导演,氤氲,0.7008,0.5966,0.5709
演员,自我,修养,0.6968,0.4925,0.4785
挽留,回头,烈酒,0.7573,0.7553,0.5182
祈福,礼佛,生日,0.7805,0.7009,0.678
放弃,过弯,可怕,0.7268,0.5813,0.5139
淋浴,犯嘀咕,女人,0.6777,0.6045,0.5856
心累,姑娘,日常,0.7329,0.7247,0.6429
客船,寒山寺,到,0.8609,0.3305,0.3161
百年孤独,百年,。,0.974,0.7002,0.2988
露营,海边,不想,0.8459,0.7109,0.4135
雨伞,无情,就算,0.6851,0.674,0.5143
阳澄湖,苏州,走起,0.802,0.6643,0.526
你,梦,啦,0.6557,0.5229,0.4692
反反复复,不累,反复,0.8805,0.7266,0.6636
旅,吃惊,冬,0.5619,0.3594,0.3554
风景,路过,大多数,0.8558,0.4969,0.4069
很久很久,摩天轮,一岁,0.7787,0.7745,0.4861
微雨,榴花,今日,0.6925,0.6758,0.6144
看得出来,跳绳,折腾,0.6549,0.6456,0.6102
技术,姐姐,长进,0.6175,0.6101,0.5557
献身,一天,今天,0.7355,0.6646,0.6617
宝宝,痛,听力,0.6661,0.5056,0.4754
情歌,天上,眼睛,0.702,0.5663,0.5512
顿饭,油腻,肉,0.7368,0.5073,0.4699
慢慢,可怕,歌曲,0.7475,0.5686,0.5501
绿茵茵,亲密,密接,0.7956,0.6323,0.461
相信,爱情,无论是,0.7236,0.6441,0.6026
男人,离婚,妻子,0.7344,0.7081,0.6904
第三天,打卡,石湖,0.5344,0.5131,0.4702
沙雕,哈哈哈哈,欢乐,0.6976,0.6455,0.6157
今天,配色,绝,0.6931,0.6507,0.4545
演示,队友,奶,0.7299,0.5914,0.3569
知道,双面,前面,0.6366,0.564,0.5514
好听,昨晚,唱,0.8343,0.6566,0.5388
春游,孩子,一帮,0.6878,0.4528,0.376
加薪,三思而后行,私事,0.7374,0.688,0.4629
心花怒放,你,竹子,0.8571,0.5532,0.5259
忐忑,吐舌头,个性,0.7018,0.6605,0.4939
