Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
猎头,时间,微,0.7226,0.4456,0.3946
离合器,高速运转,内部,0.7881,0.6608,0.4153
唯一,秘密,城堡,0.7339,0.6841,0.6485
拍摄,嘻嘻,角度,0.7236,0.5488,0.5374
专辑,封面,一个,0.8183,0.7333,0.5215
南方人,话题,进入,0.603,0.4163,0.4003
退一步海,海阔天空,的哥,0.7809,0.6776,0.5659
身边,就算,走遍,0.7311,0.534,0.4679
排出去,很远,试试,0.7466,0.666,0.5515
指缝间,承诺,爱情,0.806,0.6462,0.6447
菜,晚上,吃,0.7545,0.3359,0.2561
學,加美,商,0.5053,0.4647,0.2671
苏州,气象,地上,0.5945,0.578,0.51
我会,努力,更加,0.7635,0.7424,0.5435
心疼,摩羯座,生活费,0.7129,0.5768,0.5411
跟着,别人,父母,0.6716,0.6324,0.5301
夏天,期待,真的,0.7041,0.6566,0.6024
店,龙虾肉,打卡,0.7429,0.5584,0.1942
多少次,转身,鲜花,0.7059,0.652,0.6341
老师,分享,拍,0.6817,0.4683,0.4548
一发,前来,之前,0.7062,0.4913,0.489
背心,舒服,直接,0.5939,0.5494,0.4796
吃完饭,做饭,买菜,0.7059,0.6871,0.6038
旅行,念念不忘,辣椒,0.6903,0.5044,0.4776
奔放,舞蹈,丰富,0.7624,0.6189,0.5058
水果摊,风景,红绿灯,0.782,0.5666,0.5164
对不起,眼前,预知,0.8684,0.713,0.5953
咖啡豆,店里,不过如此,0.8234,0.4583,0.4053
购物狂,苏州,剧组,0.7966,0.7015,0.435
勤奋好学,伸出,房梁,0.8199,0.5835,0.4217
珍惜,更远,戏剧,0.6663,0.6015,0.4373
放过,影片,竹子,0.7242,0.578,0.5544
谢谢你们,我们,一切,0.8902,0.6507,0.6363
下雨天,雨伞,出来,0.7816,0.6917,0.477
老师,师专,今天下午,0.8636,0.7234,0.616
心疼,我,，,0.8815,0.4006,0.1581
吃喝,出远门,拍,0.6741,0.647,0.582
放不下,过目不忘,人生感,0.8422,0.8345,0.582
茶店,奶茶,表白,0.8553,0.776,0.2672
幸福,意味着,兴奋,0.6674,0.5743,0.517
不要紧,思考,方向,0.7486,0.5696,0.5477
风景,留不住,画面,0.8081,0.5998,0.3924
纠缠,小人,不痛,0.7109,0.6372,0.5007
好看,真的,笑,0.7352,0.6137,0.3646
挥金如土,逃避现实,双鱼座,0.801,0.7778,0.6694
浓浓的,喜欢,人生感,0.7956,0.6213,0.5506
船上,接待,餐厅,0.6162,0.5682,0.5285
店铺,房间,西门,0.7307,0.4423,0.3644
说话,自闭症,患,0.7293,0.6463,0.5044
苏州,中心,来苏,0.6165,0.5299,0.4184
思念,不会,记忆,0.8093,0.6943,0.6899
随意,烧热,油炒,0.5917,0.5828,0.4802
孩子,开心,梦想,0.6708,0.5906,0.5487
扮演着,电影,人生,0.7272,0.5701,0.5637
一辈子,天使,贵族,0.8073,0.6656,0.5023
设备,呼吸,甲醛,0.6201,0.5529,0.5402
艺术,视觉,大理石,0.8449,0.5378,0.5123
树下,乘凉,男人,0.8156,0.7349,0.5506
特莱斯,香香,座椅,0.5017,0.4455,0.4226
车尘马足,豪杰墓,花酒,0.653,0.6133,0.5511
唯一,忽视,如果,0.7118,0.6865,0.5187
疼痛,休养,公斤,0.8271,0.5664,0.3032
热闹,来,噶,0.7547,0.4621,0.3432
逛逛,妹妹,城,0.7764,0.4208,0.2778
一起,喜欢,一切,0.7603,0.7122,0.6809
领导,献爱心,演员,0.8202,0.4755,0.4732
上课,上班,无聊,0.7963,0.5944,0.5069
丰田,目标,助推,0.6547,0.5792,0.4985
天天,鸡,吃,0.8017,0.5577,0.5264
宜家,败家,一楼,0.8613,0.5201,0.3333
悲观,无知,来自,0.7047,0.6713,0.53
不想,文案,写,0.67,0.568,0.3918
驻足,你,。。。,0.6651,0.6505,0.5811
休息,汽车行业,舒心,0.7294,0.5613,0.4943
手包,黑色,字母,0.774,0.6667,0.5381
倾诉,认真,别人,0.7521,0.7254,0.6151
葡萄酒,骨头汤,降血压,0.7422,0.6233,0.493
来到,城市,还是,0.5291,0.5217,0.4541
防晒,番茄,胡萝卜素,0.6895,0.6489,0.6224
热呼呼,下雨天,饭,0.7829,0.6578,0.5469
自给自足,婚后,晋升,0.7232,0.4931,0.3612
心疼,爱不释手,车款,0.6094,0.5676,0.4463
得不到,永远,小哥,0.8103,0.7068,0.5942
难受,可否,明示,0.7042,0.4944,0.3549
不紧不慢,枯叶,香果,0.7622,0.5429,0.415
执子之手,老,子,0.9651,0.4468,0.2672
观前街,逛,一顿,0.722,0.6028,0.3547
咖啡,一阵风,，,0.8653,0.3324,0.1413
激动,心里,有点,0.6496,0.595,0.5554
匆匆,路上,老大,0.6597,0.6123,0.6008
营养,暴食,贪嘴,0.6674,0.5928,0.4582
餐厅,量身定做,不适,0.6951,0.4395,0.2852
夜夜,。,0.8806,0.2964,,
展示,办公室,物理,0.7993,0.5922,0.3277
哈哈,满足,小,0.7847,0.6373,0.5272
上课,就业,网吧,0.8493,0.7066,0.4679
真诚,专注,温度,0.7735,0.62,0.4569
谎言,誓言,最大,0.6941,0.6749,0.344
书,回家,这些,0.462,0.4492,0.4112
运动鞋,高跟鞋,貌美如花,0.8127,0.615,0.5593
孤单,单影,雨,0.8917,0.6834,0.4577
给予,只是,生存,0.6478,0.5867,0.4753
