Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
起身,鲁智深,拍拍,0.6631,0.5999,0.4082
动物,日晒雨淋,卡车,0.8041,0.3626,0.2878
天蝎座,苦日子,疲于奔命,0.7074,0.6871,0.666
工作,左右为难,本周,0.8147,0.4907,0.4706
继续,收拾,心情,0.6755,0.6729,0.5968
答,，,。,0.7032,0.4786,0.4243
一辈子,漂亮,男孩儿,0.8392,0.6561,0.6453
丰衣足食,动手,自己,0.7484,0.6088,0.4987
愁,火,漁,0.3502,0.2766,0.2204
酒店,餐厅,健康,0.8732,0.5889,0.2059
无可救药,安全感,凉鞋,0.7629,0.6306,0.3927
小伙伴,回家,今年春节,0.6855,0.6697,0.6399
社区活动,组成员,美味,0.8282,0.4559,0.3851
放走,努力,自己,0.7771,0.637,0.6164
一直,朋友,假装,0.7423,0.7168,0.6581
舍弃,知道,经过,0.6757,0.647,0.4476
同事,来得及,接电话,0.8078,0.6159,0.5993
运动,个人爱好,沁人心脾,0.7473,0.6726,0.5728
烦躁,心烦,好心,0.813,0.8033,0.6208
野菜,好吃,上桌,0.8518,0.7327,0.2892
死去活来,毫无保留,征兆,0.8604,0.8549,0.4216
风帆,理想,无用,0.7344,0.6207,0.5784
概念车,汽车集团,发动机,0.7275,0.7074,0.6909
发动机,轿车,噪音控制,0.6992,0.6597,0.6212
回眸一笑,香水,是因为,0.7929,0.6335,0.4513
首富,西,市,0.6029,0.5645,0.5374
卫生巾,交通,输血,0.8774,0.3773,0.2322
砍树,围着,怒骂,0.6345,0.5554,0.5021
加油,海洋,体验,0.9066,0.3124,0.2504
园子,喜欢,看,0.7824,0.3984,0.2399
做饭,聚在一起,吃饭,0.8457,0.6671,0.6096
表演艺术家,领导,一堂,0.7468,0.5615,0.3382
裙摆,很美,层次感,0.6263,0.5998,0.5952
睡着,第五天,孩子,0.777,0.7381,0.6528
干什么,我,什么,0.8402,0.5195,0.4093
男朋友,分手,回复,0.8078,0.7731,0.605
每一寸,进口车,下滑,0.7089,0.5963,0.579
收管,没人,出差,0.7224,0.6694,0.4906
高跟鞋,漂亮,拍摄,0.763,0.7119,0.5833
啊,热,，,0.605,0.5672,0.3999
感觉得到,遥远,繁华,0.7876,0.7186,0.586
健康,好心,开端,0.6431,0.4861,0.4148
真心,一起,如果,0.7441,0.7048,0.5145
令人烦恼,吞咽,肌肉,0.8086,0.6224,0.5951
五星级,公司,走走,0.7973,0.4328,0.4189
脏东西,朋友,牙齿,0.6693,0.6665,0.6643
努力,将来,收获,0.7089,0.6909,0.6507
指甲油,想买,浪费,0.6584,0.5594,0.5534
夜深人静,百感交集,有时候,0.8529,0.7704,0.6799
终点站,相伴,不管怎样,0.7319,0.7304,0.6957
肉体,亲吻,床上,0.7371,0.7263,0.5399
好莱坞,在所难免,华莱士,0.7445,0.7145,0.6605
再见,成熟,打转,0.8252,0.6685,0.5958
深深,悦耳,香水,0.6622,0.66,0.637
认真,真的,珍珠,0.7668,0.6448,0.5662
