Keyword1,Keyword2,Keyword3,Weight1,Weight2,Weight3
哥们,松手,重物,0.6863,0.5935,0.5507
首饰,衣服,二奶,0.6355,0.6016,0.5532
看不见,农妇,路途,0.734,0.5793,0.5691
感觉,国庆,堵,0.5617,0.5083,0.3607
乘务员,乘务,害羞,0.9084,0.8463,0.5186
伴侣,何处,自由,0.7508,0.6246,0.4539
第一股,比亚迪,喟叹,0.6495,0.628,0.4568
眼前,清晰,残酷,0.7226,0.6542,0.6096
放任自流,审时度势,兔,0.777,0.6974,0.4655
辣椒面,切片,固定,0.7063,0.4639,0.3461
班上,敬而远之,导演,0.742,0.6741,0.5412
做到,自己,发扬,0.674,0.6218,0.5236
不知不觉,和睦相处,耐心,0.835,0.7118,0.6596
每一秒,倒计时,过去,0.8032,0.7515,0.6235
难过,跑过来,看到,0.7711,0.7225,0.5515
感觉,重要,屏幕,0.5779,0.5733,0.5594
温暖,荣华富贵,安康,0.7506,0.6107,0.5745
化妆棉,说一说,茶水,0.5763,0.5595,0.4782
吵架,吃饭,晚上,0.785,0.7545,0.6647
淘宝,省略,路,0.7642,0.4913,0.3973
战舰,无情,视频,0.6033,0.469,0.4507
顺其自然,一笑而过,每天,0.8249,0.8063,0.5941
床上,否则,挣钱,0.7617,0.5091,0.4848
相聚,桌子,生活,0.6923,0.6607,0.4929
一起,晦暗,微笑,0.6962,0.6819,0.6384
南京,啊,，,0.7414,0.5122,0.3366
这样的话,以毒攻毒,支配,0.7577,0.7499,0.6474
心怀鬼胎,帅气,特务,0.7186,0.6222,0.5489
人在江湖,手机,电话,0.724,0.6217,0.6083
男演员,丢掉,波兰,0.6612,0.5751,0.498
唯美,收听,惊喜,0.6803,0.6583,0.6369
奔涌,担心,如果,0.6943,0.5134,0.4602
遥远,不再,梦想,0.8356,0.7569,0.6418
越来越,不想,虚假,0.7798,0.7096,0.6246
滚滚向前,转角,音律,0.8301,0.7265,0.5541
总有一天,背叛,孤独,0.7764,0.6984,0.6536
原谅,凯歌,幼稚,0.7091,0.548,0.5183
中药,一念之间,水温,0.7229,0.5393,0.3579
休息,朋友,小时,0.7802,0.5354,0.4628
教,每天,鹦鹉,0.665,0.4855,0.4783
睡不着,花园,性感,0.6233,0.6185,0.5723
幸福,一根,自己,0.6549,0.5948,0.5729
经不住,诱惑,小三,0.7626,0.7517,0.7329
干什么,电话,我,0.7465,0.6406,0.5333
哈哈哈,回来,我,0.7486,0.6884,0.5728
柏拉图,崇高,立马,0.6756,0.6218,0.5298
爱人,揭穿,如果,0.6989,0.5625,0.5289
短裤,帅气,牛津,0.7148,0.6753,0.4528
始发站,检票口,眼神儿,0.8636,0.8558,0.4475
一瞬间,我们,班,0.6965,0.5693,0.4699
笑一笑,有些,；,0.7907,0.4452,0.3799
动人,冥想,昆虫,0.6907,0.5652,0.4464
男生,母亲,退婚,0.675,0.5892,0.557
无法无天,那么,个人,0.7058,0.4671,0.3376
回不来,人来人往,生命,0.8673,0.7864,0.5056
小动画,讲道理,英国,0.724,0.7068,0.5251
工作,团团转,行星,0.8214,0.4116,0.3324
公里,方圆,听,0.6921,0.4911,0.4762
再见,七月,溜,0.8565,0.5115,0.2946
点评,我,：,0.6052,0.5745,0.4775
处女,天秤座,人情世故,0.7279,0.7218,0.6328
宾馆,半价,高原,0.8693,0.4675,0.3959
