Keyword1,Weight1
火锅,462.983
店,416.5164
好吃,321.2596
吃饭,269.9836
菜,206.5824
吃,194.6641
餐厅,171.7017
吃火锅,141.6583
爱情,135.0857
咖啡,133.4278
排队,131.967
真的,129.8505
男人,119.2041
幸福,107.6526
快乐,105.9286
喜欢,105.3052
烤肉,102.5169
生日快乐,95.3909
努力,91.9769
开心,91.1573
坚强,89.7061
老师,84.8797
打卡,83.4847
美好,79.4356
越来越,64.5089
烧烤,59.9812
奶茶,58.4081
减肥,56.3025
感觉,54.7183
火锅店,54.4857
上海,52.2368
完美,51.2407
健康,50.3789
连衣裙,49.5089
店里,48.4883
回家,48.4737
温暖,48.1418
美食,46.7922
吃到,45.327
菜品,44.876
美的,44.3703
学校,42.7646
川菜,42.5394
人生感,39.4606
菜单,38.0932
好看,37.8471
不在乎,37.347
点评,37.1189
处女座,36.5355
下午茶,35.8292
拔草,35.4366
上班,35.0866
一顿,35.035000000000004
牛肉,34.9432
无所谓,34.8615
烦恼,34.5753
这家,34.4092
衣服,34.3466
咖啡店,33.8158
年轻,33.5859
味道,33.5534
没什么,33.4388
粤菜,33.259
勇敢,33.1917
烤鸭,32.9707
伤害,32.8741
性感,32.7024
老板,32.591499999999996
好喝,32.3349
浪漫,32.0359
泰国菜,31.076
短裤,29.9845
简单,29.9616
聚餐,29.9422
喝酒,29.7384
今日,29.5472
道菜,29.5005
咖啡馆,29.436
饭,28.7673
酒店,28.761400000000002
放不下,28.3821
难过,28.2565
微笑,27.3142
真心,27.0243
温柔,26.9037
痛苦,26.5189
锅,26.2039
米其林,26.0261
不错,25.9326
一生,25.5702
小店,25.4476
真爱,25.4206
食堂,25.2503
身体健康,25.2379
寂寞,25.193
火车,25.0655
安全感,24.6365
吃货,24.4846
回来,24.4565
面馆,24.22
