Keyword1,Weight1
医院,1665.4305
医生,486.8593
手术,385.6925
生病,358.3862
看病,313.3195
急诊,270.7315
真的,264.54269999999997
住院,235.0032
吃饭,228.0458
健康,212.8219
挂号,209.865
体检,177.5291
血,170.8176
老师,158.8813
门诊,155.8199
衣服,147.2966
开心,138.7098
抽血,137.5483
夜班,135.441
手术室,130.4406
越来越,129.8016
睡觉,124.8909
出院,123.8914
上班,122.5108
病房,121.2384
努力,117.6128
排队,117.173
病,114.807
身体健康,108.0457
儿童医院,105.29299999999999
学习,105.1639
病人,104.7388
美好,96.6795
下班,94.7605
宝宝,94.6614
回家,94.3704
喜欢,90.70439999999999
爱情,89.8584
鼻涕,89.3636
简单,89.03750000000001
白血病,84.7225
学校,80.1286
值班,77.769
护士,77.1421
找对象,76.5347
华山医院,76.028
咖啡,75.9712
坚强,74.8855
打针,74.6366
难受,73.7531
不顺,70.3178
火锅,69.9656
男人,69.2789
幸福,68.9691
院,68.8388
奥特曼,68.379
输液,67.0553
减肥,66.9169
加班,64.7035
点评,63.6192
嘻嘻,63.5252
快乐,60.2682
失眠,60.2374
瑞金医院,59.0114
麻痹,58.3799
再见,58.0979
烦恼,57.7253
中奖,56.532000000000004
作业,55.1795
术后,55.1337
智齿,55.0279
疼,54.961
星光,53.991
店,53.9425
旅行,52.4066
头破血流,51.2062
化疗,50.8804
昨天,50.792100000000005
发烧,50.4806
做手术,50.2377
牙,49.9532
打卡,49.6586
等待,49.11
高跟鞋,49.0359
感觉,48.9171
早日康复,48.6768
检查,48.4751
运动,48.463300000000004
新年快乐,48.3351
冬天,48.2466
温柔,47.4956
不好,47.4319
演艺,47.3675
疼痛,46.842
魅力,46.6287
神经病,46.609
吃,46.4495
好吃,46.3574
励志,45.6817
勇敢,45.4962
