Keyword1,Weight1
演唱会,342.5562
打卡,302.0558
加班,246.0717
上班,220.1321
店,189.279
下班,166.4709
老师,155.4633
真的,154.2975
现场,148.5858
喜欢,139.5243
工作,131.1209
公司,127.6052
努力,126.1864
上海,125.4509
开心,124.9466
回家,114.5727
咖啡,104.8287
点评,98.5472
吃饭,97.9811
学习,91.2043
爱情,89.6477
快乐,85.9172
幸福,83.4626
好看,81.73010000000001
美好,79.9569
再见,79.8619
男人,76.0635
感觉,71.4304
博物馆,71.3869
拍照,67.7939
办公,67.2809
今晚,64.2868
拍摄,63.5049
学校,60.7305
越来越,60.1584
大学,56.6202
坚强,56.1404
运动,55.5051
小姐姐,54.4298
生日快乐,54.0124
同事,51.8514
乐园,51.1147
舞台,49.4967
衣服,46.8321
旅行,46.5559
小店,45.3412
完美,44.1458
今日,43.2723
好听,42.3634
可爱,42.2009
健康,41.2507
温暖,40.9591
好吃,39.5753
勇敢,38.8619
美的,38.1055
微笑,37.7845
直播,37.6023
减肥,37.5036
公园,36.8658
法院,35.8207
夏天,35.555
拍戏,35.4218
拍,34.4965
剧组,34.027499999999996
温柔,33.7148
老板,33.6263
菜,33.5338
下雪,33.3932
票,33.2201
生病,33.057
早安,33.0273
园区,32.9231
店里,32.8636
火锅,32.4524
时装周,32.4196
开会,32.1886
周杰伦,32.0871
人生感,32.0723
年轻,31.5446
面试,31.4363
林俊杰,31.1452
食堂,30.6827
摄影师,30.4258
周末,30.3345
排队,30.0031
婚礼,29.6142
走步,28.952099999999998
简单,28.8043
昨天,28.7225
巡回演唱,28.4857
酒店,28.4422
吃,28.223
烦恼,28.1455
弄堂,27.9396
奶茶,27.9343
展,27.8158
冬天,27.3886
青春,27.2476
开庭,27.1237
泳池,27.1221
