Keyword1,Weight1
努力,1230.4232
真的,1159.6279
喜欢,1044.4705
开心,942.8817
运动,897.4299
吃饭,869.0596
学习,753.6408
生日快乐,734.105
快乐,682.6254
好看,623.6159
回家,623.4134
健康,605.5317
减肥,598.3748
爱情,518.7428
美好,499.1919
幸福,494.4365
男人,490.2316
感觉,472.8731
走步,467.2843
上海,451.9654
宝宝,414.1569
加班,394.1431
坚强,390.001
打卡,377.2871
店,376.6992
可爱,375.675
再见,373.9987
学校,363.8975
好吃,353.2733
衣服,351.8587
菜,351.0864
睡不着,346.9026
温暖,317.8332
头条,317.3008
睡觉,316.0499
火锅,310.4654
手机,307.1052
宝贝,301.7241
作业,297.4057
美的,289.949
下雨,285.581
公园,282.9931
失眠,278.9079
难过,269.1081
生病,264.7354
下班,262.9141
医院,260.9649
微笑,257.6306
咖啡,254.7343
星光,250.4967
温柔,245.0923
年轻,240.4376
下雪,239.6273
不好,236.8587
小姐姐,236.1079
简单,235.0711
世界杯,228.9217
点评,227.4877
早安,225.2291
表态,225.0965
勇敢,221.2614
完美,220.2917
自信,214.944
医生,210.1649
旅行,206.0605
吃,194.5614
健身,194.1383
酒店,192.6016
瘦,190.5348
没什么,186.7487
清宫,186.1254
厉害,182.2861
今晚,178.8497
冬天,177.2462
地铁,177.0666
大学,176.3932
夏天,174.8925
朋友圈,173.0289
新鲜事,171.3173
明天,169.0745
漂亮,166.8811
感冒,166.2319
昨天,165.0804
男朋友,164.2473
教育,163.6114
回来,162.2453
身体健康,161.2538
孩子,161.2054
心情,160.1096
放不下,158.7988
这辈子,155.96
一个月,155.0114
安全感,153.3956
面膜,152.0181
今日,151.5411
痛苦,151.1885
