Keyword1,Weight1
店,1620.4822
吃饭,1129.4551
火锅,771.7192
开心,694.1303
好吃,667.2803
打卡,646.7717
真的,629.8635
咖啡,558.7333
广场,542.2657
喜欢,516.0203
回家,502.0598
老师,497.0534
好看,497.0459
上海,496.8427
上班,488.2763
排队,464.826
吃,463.4473
快乐,398.4442
生日快乐,393.7549
书店,384.289
努力,382.0366
菜,381.2855
减肥,374.6687
宜家,369.6757
衣服,360.6106
奶茶,348.2032
加班,341.2026
下班,332.2848
商场,313.7669
逛街,296.8779
小姐姐,278.0049
可爱,277.9274
餐厅,277.2669
好喝,274.6311
越来越,273.6102
美好,260.1047
学习,258.19350000000003
店里,250.3014
工作,246.983
吃火锅,244.7035
感觉,224.9022
再见,222.2365
幸福,212.8988
爱情,210.8026
学校,205.7564
健康,204.89
点评,195.0343
超市,193.0751
今日,188.2549
烤肉,185.8496
酒店,181.3658
男人,180.8015
下午茶,180.7231
简单,177.9938
生病,176.7068
圣诞,176.1497
公司,175.4249
拍照,170.7589
宝宝,164.7995
周末,163.9751
微笑,162.8372
馋嘴,158.7138
喝,153.9974
睡觉,153.0091
针灸,150.5845
现场,148.9074
买,137.9614
夏天,136.465
出门,136.4134
大学,134.9276
坚强,131.9949
健身,131.5013
美的,129.9954
美食,129.7176
不好,128.3968
老板,127.8992
冬天,126.3325
地铁,124.7323
手机,124.7
冰淇淋,124.1516
和服,122.2575
昨天,121.3612
电影院,120.9621
旅行,119.8601
苏宁,118.8214
嘻嘻,118.4005
逛,118.2253
医院,117.5524
完美,116.384
小哥,113.8184
血,113.4955
下雨,110.1525
作业,109.4075
温暖,109.0327
外滩,108.6909
店员,107.119
公园,106.5541
情人节,106.1253
城隍庙,105.6956
茶,105.4176
