Keyword1,Weight1
酒店,2698.7366
博物馆,1624.46
美术馆,1017.3525
上海博物馆,501.6131
上海,429.1639
老师,341.2507
打卡,251.7499
展,251.5242
开心,230.6775
真的,218.8239
展览,212.5686
吃饭,199.9441
学习,198.1732
双年展,187.6121
点评,181.8603
喜欢,181.2976
剧院,174.2106
回家,166.4379
快乐,164.9024
生日快乐,161.3264
努力,157.033
艺术,153.4062
幸福,148.2854
大酒店,146.2496
现场,139.1813
外滩,136.1649
下午茶,134.4568
餐厅,129.8025
好看,128.9466
美好,128.306
出厂,128.1644
咖啡,119.3205
婚礼,117.4183
艺术家,117.2023
个展,116.9793
爱情,116.5101
工作,115.3378
当代艺术,114.5497
店,112.3068
音乐会,111.37950000000001
排队,108.4766
再见,106.5666
上班,106.5
音乐剧,100.2599
男人,99.4583
出差,97.3952
感觉,96.6221
拍照,95.2904
馆,94.279
艺术展,94.0227
宾馆,93.7155
今晚,88.6352
越来越,88.0229
加班,86.7173
学校,86.248
自助餐,86.2218
可爱,85.171
吃,83.9643
历史博物馆,81.7595
旅行,81.6378
今日,79.965
圣诞,77.0843
小姐姐,76.6833
菜,76.3136
好吃,74.6233
周末,73.4878
培训,72.5821
完美,69.8425
美的,67.5894
衣服,66.6565
演出,63.3373
演唱会,63.1262
房间,62.897
明天,62.4031
下班,62.3834
老板,61.9671
发布会,61.9277
展品,61.7994
火锅,61.644
展厅,61.533500000000004
音乐,60.233
坚强,58.1142
健康,57.3593
艺术馆,57.0282
睡觉,56.7598
舞台,56.4274
减肥,56.03
早餐,55.6506
终于,54.269800000000004
微笑,53.8973
时装周,53.8142
酒吧,53.6602
浪漫,53.5822
公司,53.3969
昨天,53.0863
下雨,52.4992
简单,51.0963
期待,49.8445
开会,48.5727
夏天,48.0306
