Keyword1,Weight1
火车,683.0255
回家,644.6447
地铁,584.7835
高铁,393.0305
再见,358.8645
真的,324.9051
吃饭,288.3572
上海,283.2618
出发,255.2428
出差,230.8325
生病,220.6981
虹桥,201.7265
回来,198.8521
上班,183.5216
衣服,182.4207
开心,168.3003
睡觉,155.8874
春运,143.3246
学校,140.3762
点评,137.53
喜欢,133.7362
越来越,128.6303
下班,127.7732
健康,119.336
爱情,115.10549999999999
努力,113.1101
店,109.54560000000001
简单,107.3524
血,106.9939
嘻嘻,105.5549
旅行,104.5184
复兴号,104.2351
身体健康,102.6091
拜拜,100.3612
火锅,97.8468
加班,97.7827
医院,97.0816
出门,96.6123
咖啡,94.0463
老师,92.7959
坚强,89.1396
找对象,89.0131
男人,87.1902
不顺,86.6444
幸福,86.515
美好,85.8117
奥特曼,85.6545
烦恼,84.92699999999999
感觉,84.0149
白血病,81.0587
回去,80.7522
失眠,78.3548
快乐,78.2597
离开,74.3392
鼻涕,72.841
火车站,70.3045
麻痹,69.9035
作业,67.9007
学习,67.5964
票,66.9607
坐地铁,66.33709999999999
安检,66.2489
检票,66.2245
魅力,63.8189
打卡,63.2798
励志,63.124500000000005
动车,62.8232
疼痛,62.8071
说走就走,62.7709
拿到,62.2876
神经病,62.033
不自禁,61.9258
难受,61.854
减肥,61.8257
公司,61.5567
路上,61.362700000000004
杭州,61.2115
坐,60.3397
昨天,60.1877
赶上,59.6
好看,59.0724
吃,58.0929
不好,56.4128
头破血流,55.4812
冬天,55.0836
终于,54.812
泡菜,54.7318
秘密,54.193599999999996
大学,53.5029
情人节,53.218900000000005
高跟鞋,53.1162
列车,52.9098
工作,52.5553
好吃,52.2877
香水,52.2311
支付宝,51.8803
教上,51.112
辛苦,50.5253
微笑,50.0934
今晚,50.0718
