Keyword1,Weight1
咖啡,875.2888
菜,790.6543
蔬菜,343.6258
身边,321.1055
幸福,314.345
温暖,273.96
忘记,264.8286
不想,243.1998
越来越,236.9045
吃饭,228.0622
男人,222.8021
疼,222.1519
休闲,221.734
放手,212.763
放不下,211.8424
难过,208.7841
回头,191.2628
思念,189.8554
拥抱,185.5925
分手,185.5916
遇见,179.3781
陌生人,176.0173
奶茶,170.9807
不在乎,163.9642
动物,159.8182
顺其自然,157.6928
摩羯座,155.4951
孤单,154.907
朋友,153.3364
告诉,151.9896
疼痛,150.7196
艺术,149.7908
温柔,149.5915
浪漫,149.5552
放下,148.5452
展示,146.5268
错过,146.3139
得不到,142.9494
总有一天,141.8616
连衣裙,139.6643
相遇,139.07
再见,137.5457
明天,135.4042
烧烤,321.11
我会,131.9235
淡淡的,128.9838
从来不,125.1194
领导,124.374
饭菜,124.1245
谈恋爱,123.9202
青菜,123.9002
买菜,122.1385
白菜,120.0048
想念,119.4778
咖啡厅,118.7224
舍不得,118.6949
香菜,115.6058
真心,114.9953
运动,112.1964
菠菜,111.8561
长久,111.5352
美好,111.2895
这辈子,110.6098
一瞬间,110.2066
妈妈,110.1588
过不去,110.099
医生,109.5675
刻骨铭心,108.8548
店,108.0971
喝咖啡,107.4071
生病,107.1511
做菜,106.9454
伤心,106.2079
道菜,103.6386
情人节,103.6041
早安,101.3262
说话,99.9417
旅途,99.4106
遗忘,98.6258
射手座,98.509
喜欢,97.9558
房间,97.8926
后悔,96.8289
好听,96.6124
做饭,96.4618
回不去,96.213
男朋友,94.4814
天长地久,94.1521
回忆,92.9183
