Keyword1,Weight1
医院,421.8185
工作,274.4894
老师,239.0789
风景,179.4787
心疼,143.8098
星星,123.6311
送给,123.238
医生,121.0837
笑笑,118.37910000000001
小学生,117.05409999999999
教学,109.0938
疼,107.7043
老板,104.3624
约会,102.92020000000001
司机,101.5752
教练,99.8375
课间操,99.6224
上班,99.2855
幸福,98.7086
生病,98.4155
小伙子,96.7656
温暖,94.0437
结婚,92.854
逛街,92.7463
身边,91.5215
停不下来,88.3995
忘记,87.1554
寂寞,86.9355
让座,86.8464
慢慢,86.6918
配音,86.4321
动物,84.5856
放下,84.2144
演唱会,83.9212
拍照,83.0385
好听,81.8987
不想,81.6794
男友,81.18350000000001
笑哈哈,80.9143
放不下,77.70100000000001
好几遍,77.5118
男朋友,75.8377
有时候,75.7214
越来越,75.499
公司,74.4122
宿舍,73.3419
同事,72.972
难过,72.8741
神经病,72.7753
老婆,72.6854
另一半,71.3725
冬天,71.0739
男人,70.309
休闲,68.1076
女朋友,67.6093
相遇,66.7903
礼物,66.1461
回头,66.0723
展示,65.071
离不开,62.9989
可爱,62.9683
陌生人,62.8518
骨子里,62.8104
声优,62.725699999999996
夜班,61.721
遇见,60.684
爱情,60.1839
做饭,59.932700000000004
厨房,59.6195
厕所,58.9478
浪漫,58.5711
尴尬,58.527499999999996
老公,57.682500000000005
思念,56.8319
卫生纸,56.771499999999996
工作面,56.6544
分手,55.5919
朋友,55.3404
散步,55.2395
咖啡,54.7879
节目,54.7417
恶作剧,53.8018
观众,53.7086
广告,53.6732
明天,53.605199999999996
告诉,53.5775
女司机,53.5756
舞台,53.4338
继续前进,53.231
不在乎,53.1364
路过,52.8594
放手,52.7959
下班,52.3872
孤单,51.8494
一言不合,51.593999999999994
买菜,51.5408
告白,51.4655
吵架,51.2559
吃饭,51.2177
打针,51.0531
