Keyword1,Weight1
工作,289.2884
上班,178.5682
公司,139.6144
加班,133.2199
同事,91.0772
老板,83.7825
老师,82.67699999999999
演唱会,79.3794
点评,76.189
下班,76.069
身边,73.3264
温暖,65.1734
慢慢,64.4915
心疼,63.5362
不想,63.0705
忘记,61.8562
越来越,60.7535
五月天,60.6806
寂寞,59.6588
咖啡,57.1165
再见,56.1117
遇见,55.6195
吃饭,54.8167
疼,53.1384
幸福,52.9809
男人,52.6594
难过,51.4808
办公室,51.4305
有时候,51.1673
回头,48.6441
放不下,48.1278
温柔,47.5218
朋友,44.8106
思念,44.2193
顺其自然,42.1672
放手,40.4741
领导,39.9998
想念,39.9056
拥抱,39.8232
动物,39.5531
明天,39.5316
陌生人,38.5284
运动,38.1999
苏州,37.7693
艺术,37.4469
疼痛,37.2468
错过,36.9272
分手,36.5616
浪漫,36.1366
休闲,35.4248
我会,35.0445
学习,34.4463
过不去,34.2551
摩羯座,33.5976
展示,32.2357
星星,32.1399
休息,31.4143
得不到,30.9406
早安,30.8345
放下,30.4372
总有一天,30.3781
淡淡的,30.2502
孤单,30.1743
好想你,29.8425
这辈子,29.7412
一瞬间,29.5666
真心,29.3656
回不去,29.3124
后悔,29.19
上课,29.1426
告诉,28.4774
相遇,28.2299
情人节,28.1621
伤心,28.0738
不在乎,26.8631
菜,26.2794
男朋友,26.2369
从来不,26.105
旅行,26.0145
安全感,25.9758
相爱,25.9758
喜欢,25.8984
火车,25.8853
送给,25.8436
回家,25.4379
射手座,25.3355
未来,25.1003
发现自己,25.0733
说话,24.9106
连衣裙,24.6029
宿舍,24.211
一首歌,24.0335
生日快乐,24.0079
一无所有,23.7996
爱情,23.5717
长久,23.1542
飞机,22.8683
遗忘,22.7786
努力,22.6583
