Keyword1,Weight1
书店,650.605
苏州,601.2389
店,371.6127
茶,240.3832
奶茶,200.4596
咖啡,191.6965
打卡,160.9281
拍照,154.1223
逛街,152.3894
好吃,148.6605
菜,131.5521
生日快乐,128.4322
吃饭,125.8654
同事,113.3335
疼,108.9581
下班,102.0913
再见,101.6859
好看,100.2335
苏宁,100.0438
心疼,99.2305
喜欢,96.3219
温暖,95.2233
星星,93.2708
开心,92.4871
遇见,92.4638
美食,90.411
宜家,89.6798
不想,87.5867
回家,87.5173
慢慢,84.3025
酒店,84.0813
下午茶,83.5745
幸福,83.2503
观前街,78.2729
早安,78.0908
加班,75.5951
逛,73.0868
难过,72.4175
温柔,72.4099
身边,72.2192
可爱,72.0337
商场,71.9448
点评,71.8574
衣服,70.2697
店里,69.8791
小姐姐,69.8197
真好,68.834
看书,67.5919
寂寞,67.0392
放不下,66.609
上课,66.4868
动物,66.0778
吃火锅,64.8435
有时候,64.7928
超市,64.7695
减肥,62.3582
第一次,61.1608
学习,60.8365
休息,60.6686
美好,60.4367
艺术,59.0091
旅行,58.2735
房间,57.5837
回头,56.6949
水果,56.2024
运动,56.1284
读书,55.573
领导,55.1723
摄影,54.5862
休闲,54.5496
朋友,54.537
明天,54.4534
地铁,54.3497
睡觉,52.0157
真的,51.9059
忘记,51.6671
错过,51.3244
拥抱,51.1801
餐厅,50.5177
拍,50.4232
偶遇,49.9208
火车,49.6505
办公室,49.1956
广场,48.7576
毕业,47.9583
顺其自然,47.7923
放手,47.466
孤独,47.0842
生病,47.0486
男人,46.7856
想念,46.6367
医院,46.5082
