Keyword1,Weight1
博物馆,1010.2591
拙政园,442.0327
酒店,406.648
风景,361.9312
苏州,178.7676
苏州园林,177.0396
慢慢,150.3892
心疼,145.2914
艺术,140.2477
温暖,134.0448
身边,132.4666
幸福,129.1977
休闲,127.8108
寂寞,124.3838
同事,121.1827
有时候,120.9434
不想,109.4439
园林,107.6323
忘记,107.2395
疼,107.1157
房间,106.555
难过,96.6957
回头,95.3855
拍照,95.0588
再见,92.5752
遇见,91.9429
男人,89.5345
陌生人,89.3116
放不下,88.8854
动物,85.4665
咖啡,80.7627
明天,79.161
放手,77.9327
吃饭,77.64
领导,77.2672
美术馆,76.5609
总有一天,73.8362
顺其自然,73.35
菜,72.7942
展示,72.2999
朋友,72.2463
早安,71.9169
演唱会,71.8593
疼痛,71.2666
点评,70.83449999999999
分手,69.1006
拥抱,68.5265
温柔,68.3063
不在乎,66.9043
摩羯座,66.3841
思念,64.4561
景区,64.3515
孤单,64.05330000000001
浪漫,61.4291
错过,61.3735
告诉,61.32
运动,59.5383
旅行,58.4682
淡淡的,58.4508
得不到,58.3556
过不去,58.0152
喜欢,57.6975
回忆,57.1773
星星,56.5444
从来不,55.709
学习,55.3265
舍不得,55.0898
相遇,53.6297
伤心,53.4377
连衣裙,53.4246
放下,53.3614
好听,52.6306
生病,52.602
我会,52.166
谈恋爱,50.8144
医生,50.5797
茶,50.5613
美好,50.222
说话,49.7168
回不去,49.3028
下班,49.078
一瞬间,48.9611
景色,48.9372
飞机,48.7828
火车,48.7019
民宿,48.6222
真心,48.3537
想念,48.037
古镇,47.9959
没心没肺,47.9042
长久,47.743
妈妈,47.5631
旅途,47.312
这辈子,47.1728
