Keyword1,Weight1
再见,268.8124
火车站,227.6707
高铁,224.3901
火车,169.1402
心疼,166.9766
温暖,163.4786
慢慢,155.9413
寂寞,155.7459
身边,155.0286
有时候,154.4222
不想,153.2531
幸福,152.1118
回家,148.4819
忘记,140.7899
放不下,137.0134
同事,136.9236
疼,134.8484
难过,131.2762
星星,129.2251
苏州,128.0055
男人,125.65
遇见,123.0999
休闲,119.7613
放手,116.8649
分手,112.1963
回头,110.2046
朋友,109.5585
错过,101.966
陌生人,96.895
放下,96.8423
顺其自然,96.5793
车站,96.2061
出发,93.1859
动物,92.8464
相遇,91.1027
告诉,89.9968
这辈子,88.5923
思念,88.5235
咖啡,87.9409
不在乎,87.4692
拥抱,87.0823
疼痛,86.615
司机,86.4462
温柔,85.4062
领导,82.7959
总有一天,81.6594
旅途,80.3449
回不去,75.7536
浪漫,75.7202
明天,75.7006
想念,75.6522
得不到,75.1853
飞机,74.9503
孤单,74.9272
我会,74.1336
下班,73.3102
伤心,72.5077
吃饭,72.3747
运动,70.7406
真心,69.8951
旅行,69.6596
艺术,67.7776
动车,67.1674
上课,66.9345
从来不,66.8367
上海,66.5427
遗忘,66.0191
房间,65.1948
展示,64.9181
喜欢,64.916
舍不得,63.9857
摩羯座,63.2719
生病,62.511
好听,61.9892
男朋友,61.9357
菜,61.3236
淡淡的,61.2825
刻骨铭心,60.9307
过不去,60.5179
早安,59.7086
连衣裙,59.2053
谈恋爱,58.2925
妈妈,58.1871
射手座,57.9565
美好,57.5782
学校,57.0252
天长地久,55.2521
一瞬间,54.3363
爱上你,53.7659
女朋友,53.3067
脆弱,53.2897
真诚,52.787
列车,52.7503
