Keyword1,Weight1
School,2881.2873
Teacher,2077.2941
Learning,1654.0104
University,1036.7979
Graduation,1023.5904
Campus,1016.2968
Really?,1011.1618
Happy,939.512
Papers,870.2374
Job,812.6197
Laboratory,705.8928
Work hard,695.0187
Let's eat,661.9318
Accommodation,634.3227
It's nice,619.1292
Home,603.7007
Yes,602.1646
Library,586.9672
Postgraduate studies,532.6447000000001
Cafeteria,521.1672
Hit the card,461.2804
Classrooms,459.8075
Big deal,451.354
Colleges,440.0112
Happy,431.2319
Tutor,430.7524
Backhammer,423.2498
University of the United Kingdom of Great Britain and Northern Ireland,419.5293
Classes,416.163
Review,413.8185
Happy birthday,407.8936
Experiment,399.6479
Bye,399.3157
Bedroom,377.9374
Study,372.176
University of Gangan,369.2624
I'm with you,357.6738
More and more,356.8253
Shanghai Transport University,350.4283
Examinations,345.7603
♪ Feel ♪,326.7456
Huadong Teacher Training University,321.67
Roommate,316.1398
The playground,315.3867
Shanghai,311.9038
Hotpot,302.9581
Cute,299.8784
Little sister,292.8502
Fatty,292.5223
Clothes,291.6411
Study hard,285.7726
It's delicious,263.4539
It's beautiful,260.5754
Today,247.6499
Master Hua,247.4749
Coffee,245.7537
Training,241.8536
Research,238.2397
Learning,228.4882
Scientific research,225.1976
I'm sick,223.8182
Milk tea,219.4276
Smile,218.9569
Academic,218.3289
Happiness,214.8489
Sleep,212.9235
Come back here,209.7935
Mother's school,209.5819
Snow,207.6476
Term,200.8487
Work,198.1944
Work,197.5561
Aoi!,195.7183
Vegetables,192.9149
I can't sleep,190.5952
Winter,189.9109
School starts,187.7893
Classmate,187.6278
Insomnia,185.8887
Overtime,184.4264
Simple,181.1991
The store,181.0755
Health,175.462
It's raining,173.3211
Teaching,170.4546
Cell phone,170.4371
Eat the hot pot,166.9825
It's human,166.7509
Interview,163.9327
Summer,159.1281
Classes,158.9885
Love,156.5349
Eat,155.4895
Boyfriend,152.0469
Let's play,150.36
Tonight,149.5841
Yesterday,145.3187
OBLIGATIONS,141.9601
Right of reply,141.6698
Test,141.301
