Keyword1,Weight1
Park,2398.7795
Musical,265.2613
Square,252.4292
Forest park,237.0884
Really?,233.0447
Shanghai,220.7814
Teacher,218.3613
Happy,214.8552
Comments,206.3082
People's Square,199.7031
Let's eat,184.8353
Yes,161.831
Hit the card,159.1345
It's beautiful,134.243
Work hard,133.6948
Spring,130.4068
Going to the park,129.0625
Work,128.0178
Sports,123.9916
Rusin Park,123.7465
Happy,119.5593
Home,117.024
Barbecue,108.3679
It's nice,102.9943
The sculptor park,102.9857
Museums,99.8434
Outer beach,95.9273
The store,95.1096
Coffee,94.1214
Happiness,89.7414
More and more,86.3425
On-site,85.228
I'm sick,84.1972
Health,83.9637
Love,83.4256
cherry blossoms,81.9067
It's beautiful,81.4602
Bye,80.6366
School,79.3224
Happy birthday,78.36580000000001
Clothes,77.5586
Nakayama Park,76.1389
The stage,75.5112
Learning,75.3519
Autumn,74.7909
♪ Feel ♪,72.5652
I'm off duty,71.4953
Men,68.6939
Starlight,68.3118
Overtime,68.0903
Travel,67.6446
Line up,66.5702
Summer,66.3831
Work,65.2657
Cute,65.1845
Hotpot,65.1356
Simple,61.6489
Take a picture,61.5573
The breeze,59.9574
Little sister,58.8413
Tickets,57.3767
Sites,56.7257
The White Bridge,54.9308
Tulip,53.7878
♪ The spring blooms ♪,53.7533
Weekend,53.1295
Hospital,52.4851
Good morning,51.5069
Music Festival,51.2873
Hotel,51.2243
Cell phone,51.2041
Music,50.3057
Beautiful,50.1161
Fatty,49.616
Spring swim,49.6054
Job,49.4623
Let's go,49.0195
Sunshine,48.9437
It's delicious,48.741
Vegetables,48.144
A concert,47.8322
Today,47.4363
Perfect,46.9108
Smile,46.5012
Strong,46.4091
Yesterday,46.2827
Warm,45.7267
Gently,45.5658
A day's trip,45.2978
That's nice,44.9384
A picnic,44.4116
The subway,44.1697
It's raining,44.0224
Autumn swim,43.3491
Baby,43.0161
Ha ha ha!,42.8175
Memorial,42.7534
Eat,42.5412
"Hey, kid",42.2481
Winter,42.1642
