Keyword1,Weight1
Work,723.7802
Teacher,682.5084
School,442.349
Library,352.1465
Accommodation,349.6554
Graduation,343.3415
Classes,321.2052
Learning,296.5182
Cafeteria,247.1463
"No, I don't",232.6031
♪ By the side ♪,232.2989
Warm,227.3057
It hurts,226.1085
Happiness,221.3151
University,211.2931
I'm sorry,193.9979
I can't,192.6185
Men,191.183
Leisure,187.5591
Forget it,183.9822
Colleges,182.9004
Yes,180.4619
Bye,178.777
Let's eat,172.7036
Suzhou University,165.7575
Turn around,165.4881
Animals,165.2724
Gently,161.1366
Job,161.1032
Let go of me!,159.8023
Tomorrow,159.7322
Friends,158.0746
Campus,155.6872
Yes,151.0425
Capricorn,143.9982
Coffee,143.3875
Breaking up,142.0203
Classes,140.4112
Happy birthday,140.2083
Tell me,139.9466
Sports,138.2697
Hug,132.0415
I miss it,131.5146
Arts,129.8112
In love,127.8195
I can't get it,126.5623
Classrooms,126.4033
Vegetables,126.3491
Stranger,125.3757
Work hard,124.3917
Romantic,121.6537
Miss,120.4666
I'm sick,120.237
Let it happen,119.4729
Meeting,119.4172
It's beautiful,117.0119
Suzhou,116.5708
For the rest of my life,114.5072
Put it down,114.4456
Classmate,113.5265
Take a picture,113.4912
I miss you,113.2009
Someday,112.7628
It's nice,112.4526
Pain,112.0684
Milk tea,111.4765
Boyfriend,110.5328
Happy,110.3465
In bed,109.4839
Leadership,106.8883
I can't go back,105.5551
Sad,105.452
Alone,104.7607
I don't care,103.8482
Presentation,103.7169
That's nice,103.3559
Clothes,103.3385
I will,102.6574
Good morning,101.4489
A dress,100.635
Reading,100.1985
Roommate,100.0454
Hit the card,99.4701
Driver,99.3001
I mean it,99.2936
Loneliness,98.4913
That's nice,97.0598
Mom,96.0576
Examinations,94.9273
Sleep,94.2945
