Keyword1,Weight1
Passenger ship,499.2625
View,367.3233
The Temple of the Cold Mountain,357.5515
Park,263.8814
Sunshine Lake,198.4876
Suzhou,155.5638
♪ Big gate crabs ♪,144.0379
Tai Hu,134.9796
Take a picture,112.0513
Good morning,107.3758
Fountain,102.4537
Warm,102.413
It hurts,99.2181
More and more,95.7073
Slowly,95.6287
Bye,91.4595
"No, I don't",91.3784
Stay in the park,91.0951
Happiness,86.6966
♪ By the side ♪,86.3361
Gardening,84.923
Sports,83.4267
Colleagues,82.2248
Leisure,80.0431
It hurts,77.972
Let's eat,76.5338
Yes,75.1311
Loneliness,74.0133
Stars,72.7887
Animals,71.3364
Suzhou Gardens,71.3306
Run,69.8535
The view,69.1769
Forget it,68.48479999999999
Hit the card,68.4091
Take a walk,66.4493
Gently,66.3842
The scenery,66.0001
Sometimes,65.0297
I can't,64.7781
Coffee,64.1331
Gusu!,63.5236
I'm sorry,62.2733
It's beautiful,62.0665
Mountain climbing,61.7667
Vegetables,61.707
Barbecue,61.3063
I'm off duty,61.1714
Happy,59.8307
Tomorrow,59.6379
Golden Chicken Lake,59.5584
View,59.2481
Stranger,58.9621
Hug,58.9509
Men,57.0647
Paradise,56.778
Comments,56.3503
Breaking up,55.9788
Romantic,55.8719
Rest,55.6087
Driver,54.8845
Put it down,54.5117
Meeting,52.8691
Let go of me!,52.6527
Hotel,52.544
Yes,52.4238
Zoo,52.2196
I don't care,52.0126
Alone,51.2638
Pain,51.1538
Nam No-mi,51.0049
Friends,49.7267
Leadership,48.6966
Let it happen,48.5538
Happy birthday,48.3597
Learning,48.0109
Home,47.7843
I'm sick,47.7169
Photography,47.3133
Turn around,47.248
Xi Xien Temple,47.1422
♪ The End of the Wave ♪,46.7017
Times Square,46.463
Capricorn,46.0954
I can't get it,45.6976
Arts,44.7322
Travel,44.0017
That's nice,43.9616
I will,43.9407
I miss you,43.2065
I miss it,43.1961
The lake,42.4384
Tell me,42.0914
Presentation,41.8241
Mom,41.5024
