Keyword1,Weight1
It hurts,245.9827
Warm,244.5748
Suzhou,231.3324
Good morning,225.7143
It hurts,220.5495
Happiness,211.2467
Colleagues,200.177
Slowly,198.4756
"No, I don't",196.5576
♪ By the side ♪,190.5185
Bye,182.4961
I'm sorry,182.2612
I can't,181.1228
Loneliness,178.2755
Sometimes,176.4399
Yes,173.1334
Sports,170.3387
Forget it,169.2825
Happy birthday,165.0249
Coffee,163.4002
Men,161.3768
Leisure,161.1105
Turn around,157.7065
Let's eat,157.4789
Vegetables,152.9756
Gently,144.8602
I'm off duty,144.2876
Friends,140.8265
Let go of me!,140.1412
Tomorrow,136.5186
Animals,131.4662
Yes,130.04
Overtime,128.7135
Learning,126.2053
Comments,125.8578
Mom,124.7563
I can't sleep,121.9837
Tell me,121.7671
It's beautiful,118.9336
Leadership,118.6806
Stranger,117.205
Work hard,117.069
Pain,115.6444
Breaking up,115.5542
I miss it,114.1327
Rest,112.3701
I can't get it,111.9442
Hug,111.7531
Arts,110.808
Let it happen,109.367
Clothes,106.6912
I'm sick,106.6867
Hotpot,106.3948
Miss,106.0639
Stars,105.4539
Sleep,105.0324
Put it down,103.9948
Milk tea,103.4437
Presentation,102.8023
Someday,102.6854
Classes,102.2044
The store,102.1613
Get up,101.375
Cooking,100.9901
I don't care,100.3813
Take a picture,98.8121
I miss you,97.9637
Zone,97.929
Office,97.6636
Alone,97.5403
Run,95.9206
In bed,95.5541
Room,95.4365
I will,94.2499
Happy,93.9484
Romantic,93.8597
Loneliness,92.5604
In love,92.4976
Hotel,92.2198
That's nice,92.2132
Home,91.2495
Boyfriend,90.3147
For the rest of my life,90.0666
Capricorn,89.2653
Fruit,88.3664
Hospital,88.319
A dress,85.8639
Doctor,85.8528
Meeting,85.7371
Travel,84.3234
Bookshop,84.2042
I'm sorry,83.8152
