text,poiid
上次坐绿皮车应该是十年之前了，坐在车厢里，听着车厢里播放着的九十年代的音乐，有种恍如隔世的感觉。改革开放四十年，中国经济的快速发展，生产力、生产水平不断提高，要不了多少年绿皮火车也会像那些带有时间印记的事物一样，退出历史舞台吧。  ​​​,B2094655D36CA2F44598
人人人，到处都是人，火车站了一路，地铁都是黑压压的人头，感觉要爆炸了，突然好想逃离,B2094655D36CA2F44598
今天在上海火车站附近过马路时，因为我避让了要右转的车，所以离路口还有1/4的时候红灯亮了没来得及过去，然后我就过去了，马路旁边的交警叔叔就给我记过了还给我警告，我真的好难过啊，真的可以这样吗？而且我过的时候他也不提醒我让我别动，直接就让我出示身份证了给我登记了。我从小都没有闯过红灯，也没有被记过，今天心里真的很不舒服，请问在路中间红灯亮了是要过还是不过呢？@警民直通车-上海  @警民直通车-静安  @上海交警  @中国警察网  [泪],B2094655D36CA2F44598
希望苏大的银杏美到下面的事都值得:1.7点起床2.坐两个半小时的地铁3.提前1小时到火车站4.坐火车去苏州5.坐地铁去苏大6.坐高铁回上海,B2094655D36CA2F44598
掐指一算，人生中还是第一次没赶上火车。感谢好心的阿姨带我一程！到了竟然发现其实能赶上~无奈手太快，已经改签了,B2094655D36CA2F44693
上海火车站负一楼的厕所，不知道是属于火车站管理还是地铁站管理，这灯光是要吓死人么@上海火车站@上海地铁站,B2094655D36CA2F44598
火车缓缓徐行，就祝假期愉快吧🎈  ​​​​,B2094655D36CA2F44598
请教下上海熟悉路线的朋友，我从海伦路到唐山路再到火车站，为什么是走延安高架转南北高架，我看地图海宁路就可以直接到，还是有什么约定俗成，我们外乡人实在看不懂司机为什么是这样开的呢，也不想恶意揣测[思考],B2094655D36CA2F44598
回家[爱你][污],B2094655D36CA2F44598
伟大的祖国，生日快乐呀[爱你]候车室等车中……,B2094655D36CA2F44598
欢乐喜剧人：农民工贾冰高铁上处处小心怕歧视，却一不小心被暖到，人间处处有真情啊！,B2094655D36CA2F44598
原标题：捡小票偷水果 准研究生被拘本报讯（记者 王天淇）准研究生一时贪婪，从水果超市捡拾别人遗弃的购物小票，冒充自己的结账单，连续十余天... ,B2094655D36CA2F44598
一千公里无座的绿皮车带我回家👏👏👏,B2094654D564AAF44098
以前暑假赶紧回家，现在暑假想着赶紧回来,B2094655D36CA2F44598
在火车站的肯德基点一杯拿铁☕️，慢慢等薇薇来。,B2094654D564AAF44098
不作不会死，感冒还没好。,B2094654D564AAF44098
自从12306网上售票开启后，我就没坐过与火车高铁动车相关的这类交通工具～想体验尝新一下，但被告知要先去火车站售票窗口进行身份认证～好吧，今天，我来了～走出地铁口远远的就闻到了火车站特有的人的气味，好浓郁～,B2094654D564AAF44098
纪念沪港高铁开通；国家成立69周年[兔子] 国庆回家啦[可爱],B2094655D36CA2F44598
现在气温25°，好热。我对面的绿皮车，现在很难见到一次啊。在车上手机没电，又想听歌，可是手机只有一个接口的怎么破,B2094654D564AAF44098
来也匆匆，去也匆匆。去年和女儿在金桥公园分别。今早妻子有空，我们结伴又去转了一趟。说起家里的气候，她说；反正你怕冷，不如给你找份工作别回家，在这里过冬，我说；我不敢，我没有那胆量。她知道我所惧怕的是谁，她只有默然的笑了。,B2094655D36CA2F44598
抢完票在酒店嚎了半天，为自己手慢为自己脑子笨，没能抢到更好的位置。结果基友们问了一圈下来，好吧，能进就满足了。最后这场太凶残了也,B2094655D36CA2F44598
夜上海 想回家。,B2094655D36CA2F44598
很久没有在高铁上啃包子了...一个早餐 一个午餐。,B2094655D36CA2F44598
真的是跟时间在赛跑,B2094654D564AAF44098
2018.11.12在上海火车站准备打道回府上海公交车语音播报器有三种语言依次是:普通话、上海话、英语上海地铁有点复杂，不看清容易上错车我们俩第一天就上错了车！兴致勃勃想去看看进博会，到了发现没有工作证没有票，也是怎么会让普通老百姓随便进呢南京步行街很繁华外滩跟想象中不太一样人很多，拍一张照片很不容易去了依萍跳河的大桥，好奇她是如何爬上去的外滩对街的建筑真是美极了去了1933打卡，没太大感觉甜爱路和多伦多路，我们俩可能是太挑剔了也没啥感觉，很喜欢田子坊不过巷子有点小，城隍庙的小吃很一般，有点想回邢台。还有上海到处都是外国人，到处！这里真的过于繁华，过于让我想回学校回到小申旁边@大牙猪啊,B2094655D36CA2F44598
说实话上海站进站口的巨长蛇形排队用的围栏每次我都觉得毫无用处，还影响上车时间，完全就是耽误行程，你可以弄小一点的，搞那么长完全就是在绕路，一点用的没有，希望真的可以解决一下@上海火车站,B2094655D36CA2F44598
