text,poiid
“读书改变命运”之歌响彻云霄，孩子的家长便在歌声中，抱着为孩子改变命运的闪光愿望，竭尽全力为孩子读书铺平道路。富人，用钱打开所有的通道，为孩子挑选再挑选，优秀和优越是选择的终极目标。穷人，没钱，可孩子读书需要钱，这就得不顾一切去挣钱，吃苦，受累 ，遭罪，都无怨无恨 ，因为美好愿望是他们拼命挣钱的唯一慰籍。其实，穷人的孩子凭借读书改变命运的又能有几人？要说通过读书，比自己的父母生活的好些，这也许无疑，而真正能光宗耀祖，那可能是难于上青天。穷人家的孩子没有经济资本，没有厚实的人际关系，没有随机应变的能力，他们所拥有的就是单纯。除非，运气恩赐，要么遇到官员择婿或者择媳，而摇身大变；要么碰到真正的爱才惜才的恩人，而有声有色，可这样的运气恩赐又能有几人享有？即使他们努力再努力，一旦碰壁，可能就是头破血流，再无努力之力。也许，此时，他们的唯一想法，恐怕就是不如当初不读书。穷人的孩子，不读书，难，读书，也难。,B2094655D26CA5FC4798
终于到货啦，嘿嘿嘿，美味，现在都已经缺货了哦,B2094757D068A3FD489F
明天不知道下不下雨,B2094655D26DA5F8489D
很有哲理,B2094655D268A1FC489C
换个想法去对待，抱怨的时候；换个角度……世界就是另外的样子！一辈子不长[皮],B2094757D068A2FE4898
肯塔基猫头鹰公园|这个项目将耗资1.5亿美元，其中包括老化的厂房，一个装瓶中心和一个先进的酿酒厂。每栋建筑都将采用独特的结构形式，融合了当地波本威士忌制作过程的视觉元素。规划中的三个金字塔位于场地中心，是园区最具特色的建筑。,B2094757D069A3F8429B
小个子的小姐姐可以选择,B2094757D068A1F8489E
有些事你说了，他不上心，你反复说了他听了反而一笑而过，这是不屑还是觉得这没什么大不了的,B2094655D265A2FF4798
【你孤独吗？据调查在澳大利亚，圣诞节感到孤独的人群有200多万！】据 委托开展的一项调查显示，超过200万澳大利亚人在节日期间感到孤单。莫纳什大学的 -表示，人们会在一年中的任何时候忽然感到孤独，向周围的人表达出自己的兴趣是很有用的，可以邀请他们和你一起做这些事情。对于那些在圣诞节无所事事或感到孤独的人，许多教堂会提供聚会和聚餐。 澳洲电信（）在节日期间还提供免费的付费电话服务以及一些公共-热点，供希望与亲人取得联系的人使用。,B2094655D26FA6F94899
我们曾如此渴望命运的波澜：能有多少，青年迷恋爱情。到最后才发现；少年贪玩……竟是内心的淡定与从容、暮年自安于自欺欺人：人生最曼妙的风景。,B2094753DA6EA5FC4493
吹皱一池春水。今年有点遗憾，没有记录到楼下白玉兰的一夜绽放，每年它都在那，一个固定的时节，像是要告诉我什么,B2094753DA6EA2FF449E
吃完饭，接下水道管道,B2094655D26CA0FA449A
看了一期圆桌派，觉得还不错诶,B2094654DA69A7FA4192
很多人都说3主角欺诈不能原谅，但后来想想也无可厚非。如果不站在枫的视角体会她为大家着想一心打败黑白熊的心，这个角色的人格魅力很难在短短序章加第一章的时间内展现出来。（枫的很多想法和计谋都是自己想的，没有告诉任何人）但如果一开始以最原作为主角宣传，枫的死又会失去冲击力变成意料之内的情节，难以给予玩家震撼和感动。取消枫在第一章的死亡，这个角色又缺少其在这个系列里的独特性和爆点（那样估计就是第二个七海），最原作为男主的成长也没有了开端。所以，我是理解小高和的做法的。,B2094757D065A7FB489B
喝一天醉两天,B2094655D26CAAF8429C
