text,poiid
第一天上班，打个卡,B2094654D56BA5F9439F
今天太了！年会中了三个奖！我爱老板！我爱公司！我爱同事！希望把传给我所爱的人们[心]  🏮,B2094654D56BA5F9439F
加班记录不断被刷破…差不多只剩下清洁阿姨和安保人员了刚到家,B2094757D06FA1FD4392
巨忙的一周后回来上班翻开日程本发现竟然本周无事，略奇幻,B2094757D06FA1FD4392
我爱工作，工作爱我。,B2094757D06FA1FD4392
手机卡，电脑卡，脑子卡，网速也渣渣的不行感觉熬过去这两周我要废了。,B2094757D06FA1FD4392
纪念一下，我也算是在陶氏化学上过三天班的人了（收获三瓶快乐水愉快下班了）,B2094757D06FA1FD4392
啧啧啧，真的是好久没来公司了。。。,B2094757D06FA1FD4392
处女面终于结束了，我这颗阿姨心蓬蓬蓬……但愿能过。英文要提高了,B2094757D06FA1FD4392
开了一天会…泪,B2094757D06FA1FD4392
溜了溜了,B2094757D06FA1FD4392
三个月边哭边准备边面试 现在只想哭一场 除了感谢上帝还能说啥呢    .神为爱祂的人预备的，是眼未看见，耳未听见，人心也未曾想到的,B2094757D06FA1FD4392
一早看了下自己桌上的口粮。。。,B2094757D06FA1FD4392
2018，撸起袖子加油干,B2094757D06FA1FD4392
"实习六周，真的是加班五周了，，终于快要结束了，也罢，也罢，也好，,&;&;现在心情平静的不行不行的，真的一切都看淡了~ 一切都是最好的安排",B2094757D06FA1FD4392
和白老师互动的直播栏目“1057生活有道”，听众格外积极的参与到节目中来，听外场导播说电话都被打爆啦[机智]下次再约[奸笑]@阿基米德,B2094654D56BABFE4499
谢谢喻清邀请，899都市广播《清清下午茶》今日下午的电台直播，人生中的又一个小成就达成✅,B2094654D56BABFE4499
下午再做个广播直播，讲讲植物考察和植物旅行,B2094654D56BABFE4499
人生圆满了！啊啊！对我笑了！爱你！亲手签的啊！@毛不易,B2094654D56BABFE4499
上海广播电视台 (第二季）舞蹈形体雕塑  !,B2094654D56BABFE4499
每年回上海都要和林枫姐姐见一面然后分享一下旅游心得和逗比趣事899驾车调频《枫景客》这次聊聊非常佛性的古巴之旅🇨🇺其实每次做节目并不单是分享，更是为自己留住曾经旅行的记忆…,B2094654D56BABFE4499
上海·上海人民广播大厦[地点],B2094654D56BABFE4499
广播大厦电梯里遇到一位老先生。。看过他演过的电影的，才真的是暴露年龄。,B2094654D56BABFE4499
余老师说，你是第一位把腿绕到后面的主播,B2094654D56BABFE4499
⚽客串一回体育节目，看来运动真的要开始打卡了！感谢二位大佬@强强中的刘阳 @张莉瑩_莉宝,B2094654D56BABFE4499
夏永康偷拍张曼玉，花样年华[阴险],B2094654D56BABFE4499
889【今天吃什么？】上菜啦……1小时的节目秒过 与主持人 @臻臻小厨娘 聊得好开心，答应以后会常来,B2094654D56BABFE4499
《今天吃什么》89.9正在直播中，接下来听我继续说……,B2094654D56BABFE4499
早直播…今天来说说“你看着就觉得冷的事。”冬天早上6点多起床，想想要离开被窝，就觉得冷,B2094654D56BABFE4499
&#627;毛不易  冲呀人生第一次签售人生第一张专辑 @毛不易,B2094654D56BABFE4499
音乐剧《信》卡司见面会,B2094654D56BABFE4499
今天接到小荧星艺校的电话，通过考试选拔，被录取了！9月份，就要开始到上海最知名的艺校培训，记录。,B2094654D56BABFE4499
哈哈哈 新歌发布会明星见面会变成了吃货交流会我的天 全场沸腾了唱歌什么的 吃完再说吧,B2094654D56BABFE4499
第一次来到录制朗诵,B2094654D56BABFE4499
这是我今天的工作，拿着手卡，今晚要第一次露脸主持，感觉比弹一场音乐会还紧张，今晚抱紧辰哥了@947-马辰,B2094654D56BABFE4499
