text,poiid
给弟弟去医院排明天早上的队取号，路上看到两个姐姐蹲在路边，还有个抱着旁边男生的腿，天桥上的小姐姐喊着帅哥是渣男。多好的年纪啊。别栽在这些事儿上啊。,B2094655D26DA7F94092
听个胎心要乱动，你以为有用吗？张天天同学，我跟你说，护士姐姐还是会来逮住你哒。,B2094654D565A5F9429F
恳请社会爱心人士和好心人帮助我的宝宝度过难关，宝宝在重症监护室已经17天了，医生说不知道什么时候可以出院，对于农村出来的我们已经很无助了,B2094753D064ABFD429A
医院从来都不是一个讲人情的地方。,B2094757DB6CA4FC4193
[泪][生病],B2094655D26DA3F9449E
每次在医院抽血的时候都发誓多运动不熬夜😷三天跑了三个医院,B2094654D564A4FA499C
求医道路上 所有的等待… ​​​,B2094757D06EAAF4439D
孩子终于出重症了转到呼吸科，可当我接过孩子的时候忍不住哭了，孩子这一个多月你到底是受了多少罪？咋就瘦成这样啊，真的没办法接受,B2094654DA69A6F8409B
仁济又来了,B2094654DA69A6FF4992
虽然医院睡不好，但这是妈妈手术后我睡的最踏实最安心的觉 千斤重的石头终于落下了,B2094654D564A4FA499C
疼到睡不着每个假期都要来医院老年人了老年人了,B2094751D469A7FA409F
中山医院边上便利店门口遇到店长？不怕人 近距离接触[吃瓜],B2094655D26CA7F4429B
终于理解为什么在医院看到的病人都是抱团来的，一个人看病真的太忐忑啦希望好好的～,B2094654DA6EA2F4499A
腰酸，肚子疼，头沉沉的，不知道是不是自己眼睛也坏了，看到自己吐出来一口血，感觉身上的背包千金重似的，今天无论多贵我都要打车回家,B2094757D069A0FE4998
急诊预检门口有一个穿着波西米亚风的潮人大叔，每天6点多我到医院他总是坐在预检胸痛那里的平车上，也不干嘛就坐那儿看着路过人来人往。去了抢救室才知道，他日日来就是为了看他的妻子，已经在抢救室躺了好几年，脑瘤并发感染。大叔其实是个演员，曾经拍过《济公》，现在也会经常各地飞拍戏。但只要在上海他就一定会在医院，隔着抢救室的门，和他的妻子在一起。我很好奇他的妻子年轻时究竟是怎样一个美人，即使现在病魔摧残已经不成人样，大叔每日看她的时候，依旧是眼神温柔，定时给她带来鼻饲液，探视的时间总是握着她的手，摸摸她的头。（讲道理但是打鼻饲的时候我觉得好香！好好吃！见得多了其实现在觉得，这种爱情才是最可贵的吧,B2094654DA6FAAF5479E
来医院蹭电视看,B2094654DA68A7FE4398
