text,poiid
18.09.29_4 雕塑公园里换了一批新雕塑，姐弟俩对这只黑豹子情有独钟。,B2094757D06FA2FC439F
我在人民广场 吃着 炸鸡,B2094757D069A1F4479A
大宁公园郁金香花展——高贵典雅单瓣及多瓣紫色郁金香🌷、玫红星空郁金香🌷、锯齿花瓣淡紫色郁金香🌷,B2094654DB6AABFC409B
有没有上海城市规划的人员?为啥上海的公园都没有健身放松的器材?  无语了。,B2094654DB6BA7FF439B
10/14号晨跑，早上赶时间只跑了13公里，10点半世纪公园跑几圈，跑完心率有点高，看来大中午的不适合跑步🏃🏻,B2094654DA69A1FB419B
好天气公园逛一圈,B2094757D06FA4FD489A
# 1905#“健康的饮品，低糖低脂又美味的”谁不爱？连意大利驻沪新总领事 都忍不住过来给法布芮打了，你们还在等什么！河马最后一天，还没吃过的，已经心动的，别忘了今天赶早地点：世博公园10意大馆 1905法布芮展台！,B2094757D06EAAF4409D
昨天中午份的襄阳公园，你的微笑旁边是我的背影…等一个接头暗号,B2094757D06FA2FD4999
晨光 • 中山公园&;&;​​​,B2094654D565A5FA4492
今天这一天过得有点懵的。本来昨晚看游戏王一点多才睡，所以想着明天就睡一天吧，反正休息然后早上7点多太阳🌞就给我照醒了，然后这么好的阳光，我躺着是不是太浪费，就爬起来了，顺便把被单被套扔了洗衣机，晒晒被子，就出门了去爬佘山了。一看有点远啊，到了佘山快2个小时了，不过，呼吸呼吸新鲜空气啥都是值得的。然后1点多准备回来，发现中途路过七宝，想想来都来了，下来去七宝老街逛逛吧。巷子很小，人很多，刚进去就被挤出来了。逛老街失败，跑到七宝万科美食广场吃了一堆东西。到家已经4点了，把被子收了，换了个被套，准备睡觉💤。等我醒了，心想这特么肯定11点了吧，梦里面做梦孩纸都有了，然后一看5点半。不行不行这样早，我常去球场的伙伴们需要我啊，秉着我不去他们玩得不开心的不要脸心态，就爬起来了，换上装备出门。6点半才到球场，表现还行吧，没有周二那天怎么投怎么有。然后再到家已经10点了，有点饿，但也不知道吃啥，回家煮泡面吧吃俩口就觉得不好吃，倒了倒了。继续看游戏王吧，顺便学学小情歌弹唱。最后还想出去吃火锅。最后最后我的想发言下，他表示要累死掉了。,B2094757D16CA3F8439E
世纪公园太阳花 孩儿脸 巴掌脸 也许这就是张艺谋导演认可的美,B2094654DA69A1FB419B
上海真是个很无趣的城市，一个公园周末都能这么多人,B2094654D565A5FA4492
我在人民广场,B2094757D06FA3FC409B
最后一个假日，晒肉，去公园，还买了一个腮红  ​​​​,B2094654DB65A1FE489B
2018.3.11今天阳光正好和馨儿姐姐约了大宁灵石公园兜兜晒晒太阳 看看花哟,B2094654DB6AABFC409B
长风公园，父亲以前爱唱爱听的歌曲，让我的脚步停了下来。,B2094654DB6BA7FF439B
桂林公园,B2094757D06FA3F44798
上班间隙逛下公园⛲️,B2094757DB6CA5F9449A
49:这两天刷屏的满世界人山人海，我在这里享受包下的大公园,B2094654DA69A1FB419B
10.3科创嘉年华十一期间，除了堵高速、塞景点和蹲家里之外，还有没有更好的选择？那必须是上海科创嘉年华！由上海科学技术委员会、上海市委宣传部和上海市旅游局等主办，作为“上海市旅游节”重点项目，10.1-10.7于上海世博公园盛大举行。今日，主委会特邀上海纺织博物馆蒋昌宁名誉馆长在“明日之城”为市民朋友带来一场别开生面的“明日论坛”——神奇的芳砜纶纤维。芳砜纶是我国唯一具有自主知识产权的高性能阻燃高温纤维，其阻燃防护性能优异，可有效阻隔火焰和热量对人体的伤害。讲解环节，从航空、航天、军工领域到居家民防的科普，引人入胜。互动环节，覆盖在座每家、每户、团体都参与上台问答，高潮迭起。现场听众不仅认识到现代纺织技术的科学高度，更对民用消防有了更前沿的了解。,B2094757D06EAAF4409D
第二次来上汽文化广场，「乱世佳人」跨年，哈哈嘿嘿,B2094654DB65A1FE4298
在公园里上赶着投怀送抱 您作为喵的尊严在哪里？？,B2094757DB6CA5F9449A
"出门看春，赴一场樱花盛事！
———静安雕塑公园",B2094757D06FA2FC439F
我在人民广场喂鸽子！没有看到炸鸡  ​​​​,B2094757D069A1F4479A
春暖花开，莫负好时光。静安雕塑公园,B2094757D06FA2FC439F
绕走公园，年前瘦6斤,B2094655D26FA7FD4192
自己来桂林公园逛逛，多少个中秋没回家了,B2094757D06FA3F44798
有趣的灵魂血里带风不畏浮生 桂林公园,B2094757D06FA3F44798
《狼尾草》隐身欲盖笑弥彰，尾竖朝天划猎场。虫语风言何戒备？花丛埋伏竟豺狼！&;（2018.10.25@四平散人&;&;摄于沪上四平科技公园。）,B2094757D065A3F54293
国外的草坪是用来坐的，中国的草坪是用来看的诺大的中山公园空白的地方都用来做绿化了，除了草坪和门口的些许参天大树，整个公园⛲️就只剩下人行道了，这体验一点儿也不愉快,B2094654D565A5FA4492
灵石公园晒太阳。,B2094654DB6AABFC409B
跟老杨来和平公园也没有看到传说中的世界可能是没有找到对的地方吧！,B2094655D26FA7FD4192
徐汇公园广场舞天团，实力强大！不服来战！,B2094654DB65A1FE489B
原来公园相亲大会是真的，简单看了一下，基本都是高学历高收入，需要的抓紧了仅此一天,B2094757D06FABFC449F
每天上班要路过的公园,B2094654DB6BA7FF439B
公园遇到…想带回家,B2094757D06FA6F8429D
听着公园里的街头艺人唱着歌，有点点难过吧 一群人的狂欢是一个人的孤独，但没想到中山公园其实比想象中的好玩,B2094654D565A5FA4492
∗⁎∗⁎∗ᴡɪɴᴛᴇʀ⁎∗⁎∗⁎▹天气越来越冷啦▹马上就要变成毛茸茸的球了▹被小红书骗来世纪公园，没有好看的银杏叶,B2094654DA69A1FB419B
漫步人民广场～江阴路历史街区。上海市公路零公里标志✅,B2094757D069A1F4479A
上海 | 静安公园春色 • 阳光 • 猫咪 • 雪人⛄️冰淇淋,B2094757DB6CA5F9449A
今天的日子有点好，小区旁边的公园里不是结婚的就是拍婚纱照的不过公园的风景逛多少遍还是很美的,B2094654DB6AABFC409B
4月6日下午，先在黄兴公园里踏青，偶然发现一些科学实验装置，再到妈妈学校打打羽毛球。,B2094654D56FA6F5489D
没事情去前滩公园逛逛[赞啊],B209445CD46DA6F8439E
杭州溪西湿地公园,B2094757D169A2F94692
麻雀越喂越多 你们有空就去喂喂吧 你能想到的都可以喂 它们最爱吃龙华寺的桃酥饼（手指碾碎）上海徐家汇公园 2018 10.23九月初十五霜降,B2094654DB65A1FE489B
鲁迅公园的樱花盛开了，淡淡的粉色🌸🌸,B2094757D06EAAF94498
谁能想到我俩坐在公园的路崖上已经呆了一个小时了他是出门就想回家我们真是不适合集体出游,B2094654DB6BA7FF439B
昨天和小白去大宁公园忙碌了一天，等正片,B2094654DB6AABFC409B
可以带宠物🐶的超大公园旁边就是欢乐谷啦好多好多小朋友想去野营搭帐篷～,B2094757D16EA6FD449C
第二次的世纪公园,B2094654DA69A1FB419B
