text,poiid
第19天 @英语教书匠何绍攀 早睡早起养身体工作和我没关系,B2094654DB65A3F9409F
情景模拟教学,B2094654DA68A4F9409B
2/23.1 新学期第一天，一进门就有惊喜，园长李老师在门口给每个小朋友都发了红包，里面装了两块美味的巧克力。姐姐回家后第一时间就与弟弟一起分享了~ @静安区新闸路幼儿园,B2094757D164A1F9449D
我们商学院真的是很优越了为我们准备了熬夜通宵改论文的新大楼作为一个将近24小时没睡过觉的女孩子我的研究生真的读得太惨了,B2094655D264ABFB409D
裁判帮了森林狼一把，心疼约老师，又被挡在季后赛门外,B2094654DB65A5F9469C
来到你曾经学习生活过的地方@邓伦,B2094750D26DA6F5489F
"我的吗啊 今天早上上课的男老师 
身上的香水味太好闻了8",B2094550DB6CA0FA4498
今天报到的老弟，由老妈亲自卖出，结果老妈打电话来说老弟在学校一直说想跟我一起吃饭，心情有点好。,B2094654D56BA4FA439C
搞定，喜欢赶紧收藏哦~~……教大家做一朵可爱布小花。,B2094757D06FA5F5439C
失踪人口回归复旦操场，只是这么冷的天，跑得汗水鼻涕一直流不大符合美好生活的遐想,B2094757D06FA6FD4893
好久没认真写作业了，谨以此缅怀.，赐予我力量,B2094654D56BA4FA439C
"人们只想到怎样保护他们的孩子,这是不够的。应该教他成人后怎样保护他自己,教他经受得住命运的打击,教他不要把豪华和贫困看在眼里,教他在必要的时候,在冰岛的冰天雪地里或者马耳他岛的灼热的岩石上也能够生活。你劳心费力地想使他不致于死去,那是枉然的,他终归是要死的。那时候,虽说他的死不是由于你的操心照料而造成,但是你所费的这一番苦心是可能被误解的。所以,问题不在于防他死去,而在于教他如何生活。——卢梭《爱弥儿》",B2094655D26EA0FC4098
早安！该马不停蹄地学习了，最后一礼拜，加油(ง •̀_•́)ง,B2094654D56BA4FA439C
我们孔老师“有趣的灵魂万里挑一”，嬉笑调侃，皆成文章，欢笑课堂。,B2094757D06FA7F8429A
今天微博互关了几个数二班活跃的大神虫子虽然自己今天学习状态不是很好，但也是很开心的了。希望接下来的25天我们可以继续跟着良哥燕儿妈一起加油！@想换个长一点的名字&;&;@轩酱是不能吃的酱&;&;,B2094655D26DA5FF489D
感谢相遇 再见复附毕老师暂时下线了,B2094654D56EAAFB419C
来学校之后睡的最香的午觉，竟然梦到了..（一个给我温暖的人 温暖的话语，温暖的微笑）,B2094655D26EA0FC4098
搓衣板这种东西我是不会作死带到新家的，叫它留下来和塔和图书馆和教授公寓的教授们作伴吧&;&;​​​,B2094450DA6BA1F5419B
计算中心的我来打卡了（说好的可以校内打卡）@复旦大学 用我旦校名书签🔖贴钢化膜成就然后就拿当背景拍照了📷哈哈～坐等翻牌假装我是认真学习的好孩子,B2094757D06AA7F84992
老师一个王之夺命 吓得我赶紧跑来工作室 结果！让我改本科生作业[二哈],B2094757D06FA3FE4993
在学校的日子[心],B2094654DB65A3F9409F
考完的好好放松一下哦，安安心心等成绩。20考研的建议先看看教材呢，各科笔记还要修订，尤其是法综部分，由于题型变化了，会加大法条的内容,B2094655D26CAAF5489D
跟着许教练，重返校园。,B2094654D56EA7FE409C
二医的氛围很好，盘忘在桌上了一顿中饭后顺利找回。下午接受培训，看着一个个主任级别的老师，因为坐哪里的小问题被医管处的人像孙子似的赶来赶去太尴尬了,B2094757D66EA7FC499F
开始学习了哦！,B2094654DB65A3F9409F
来自藏地的他有着民族的灵魂，也有着摇滚的心脏。来自口腔医学院的丹增罗培微我哦们带来的是百听不厌的歌曲《王妃》。正当观众们沉浸在夹杂着悠扬的笛声与风铃声的前奏之时他却瞬间用狂放不羁的歌喉让观众瞬间沸腾。在红与白，白与紫的耀眼光芒之下，歌曲在一次次狂野的嘶吼之中逐渐走向高潮，整个大礼堂，都化作热烈的红。,B2094654DB65A3F9409F
"也许我真的更适合做一只妮妮老师~
未来，因为未知未被定义，也具有了无数种可能。回顾走过的路，真的感谢一路跋涉的自己，从未停息，个中苦乐，如人饮水，冷暖自知。
越来越透彻，越来越独立而又自知自制，原来不从外界获得依赖和期待，真的是对自己最大的善待。",B2094654D56BA4FA439C
&#627;上海音乐学院 祝您91岁生日快乐,B2094654DB6BA4FD4592
两个神经病，写不完作业在这发自拍,B2094655D26EA0FC4098
学校天台&;我的裙子,B2094751D465A7F94592
河西食堂二楼黄焖鸡旁边的桂林米粉，发现不明虫子一只，求我心里的阴影大面积@华东师范大学  @华东师范大学研究生会  @华东师范大学学生会,B2094654D56BA4FA439C
所谓假期便是换个地方学习偶遇大学自习室午间乏到困顿不已恍惚间觉得若一觉睡醒重回大学课堂是否会以全新的心态面对大学生活想毕……也不尽然  ​​​​,B2094654D56EA0F5489A
"学习使我快乐
嗯
考华师",B2094654D56BA4FA439C
继在支教时摸索出最好吃的火锅底料后，在上海重新探究出最好吃的速冻水饺及馄饨[伤心]幸好我是一个对每天重复吃同一样食物不厌烦的人,B2094757D06FA0FE4993
见见世面，以球会友上中真的是学习又好，羽毛球又打的超棒第一次见到这么多热爱羽毛球的人聚集在一个地方很神奇的体验有很多俱乐部的和专业的选手就算是看上去只有十岁的小孩子也超厉害一个个跟磕了药一样希望自己多加加油吧 提升空间还蛮大的感谢所有的老师＆队友＆对手,B2094654DB6CA1F54193
来生想在学校里做一只小猫咪冬天晒晒太阳  夏天躲躲阴凉我躺到哪里 哪里就是我的家🐱,B2094751D465A7F94592
&#0;上学高峰时段环卫工人清扫路面飞絮满天，要求... @长宁教育 @上海长宁区文明办 @长宁区公共卫生 @长宁区青联,B2094654D56AAAFA4898
鳇呔子哈哈哈哈哈，北老师居老师真是我近期的快乐源泉！一点也不傻叼，多么青春洋溢阳光灿烂,B2094654DB65A3F9409F
了解一下，关键是我两个室友长得还好看。大家的目标好像是一致的，研究生脱单,B2094655D26DA5FF489D
春·第十三天～第十五天周一是汉堡王！周二去了学校中午吃了学校的饭菜，下午吃了可爱多傲娇碟，晚饭吃了猪肝面！回来还有柯戴珊的水果🍇今天早饭吃了克里斯丁的蛋挞，中饭吃了酱鸭腿（真爱了），晚饭吃了关东煮+肉夹馍🥙。🍢发生了一件极让我尴尬和不愉快的事情,B2094654D56BA4FA439C
今天教学嘻嘻嘻嘻嘻男神老师👨🏫[好喜欢],B2094751D465A7F94592
大家都在学习没有人和我先回去我就开始了自拍加滤镜&;&;​​​,B2094654D56BA4FA439C
"为什么研究生还要体测
痛恨体测，永远担心不及格",B2094655D26DA5FF489D
学习一下,B2094655D26DA7FD499D
老友感叹：学校的餐饮确实价廉物美，两份（携其子）下午茶才（约合）一杯星巴克的钱。,B2094654DB65A3F9409F
