text,poiid
与东方明珠塔一路之隔的浦东丽思卡尔顿因地制宜的把这面房间命名为明珠房，窗外就是川流不息的黄浦江和璀璨夺目的明珠塔，但再好的外围风景也无法掩盖丽思卡尔顿的自带芳华，唯有不了解的是退房离开酒店在电梯里的男男女女为何都带个口罩把自己包的严严实实，上海的空气质量挺好啊。,B2094757D06FABF54292
今天放学直接去博物馆了，步行6100步，脚有吃力的感觉,B2094451D469ABF5429C
这个世界，有靠近就有疏离，有喜欢就有不喜欢。与吸引自己的人或事在一起，方能长久。据说酒店大堂这幅画一个多亿，来给我招招财,B209445DD065A3F5439F
从海岛回到大都市就为这个晚宴！我们九月太阳湾见@ @三亚太阳湾柏悦酒店,B2094654DB6AA6F84799
这酒店的细节设计真是叫绝,B2094757D569A3F9469A
一个人也要好好住，这次来上海订的酒店是【外滩茂悦大酒店】可以看到东方明珠跟半个外滩黄浦江的房间，连住三晚，每晚1500元左右的均价，小贵但风景挺好的。出来杭州上课半个多月都住亲戚家，过来上海浪就好好放松下！😌我目前在上海住过的“世茂皇家艾美酒店”“奕邻66酒店公寓”“外滩郁锦香新亚酒店”“龙之梦万丽酒店”都算是上海值得推荐的酒店，单价从七八百一晚到一千五六一晚，丰俭由人，各有各的好！,B2094654DB6AA6F8409C
上海宝华万豪酒店,B2094454D264A3FC429D
开心，这里不用怎么排队，上海博物馆排队排了好几圈,B2094654DA68A3FD479F
每个国家的退休人员的活法，都是按照自己国家的社会状况来决定的。并没有可比性。可比的是财富分配。从改革开放前的生活指数到40年后的今天，人民所创造的财富与你所分配到的财物成正比吗？可想而知，我们的幸福指数是成反比的！所以，我们国家的状况就只能继承光荣传统为儿女带孙儿，并发扬光大之跳广场舞了。,B2094757D66DA7F4469B
咖啡有胶囊，现在茶也有了。窗外一天雨，饭后一杯茶，柠檬配生姜，温和且养胃。贴心的酒店，每一个细节都让人感动。,B2094550DB6FA5FB479C
@新浪酒店 @上海四季酒店_浦西 牛排馆的商务套餐真是赞👍🏻我与家人体验的两套套餐分别是8+级澳洲和牛汉堡配橙味巧克力摩斯蛋糕、欧芹冰岛鳕鱼配红枣布丁蛋糕，味道真是赞，其中巧克力摩斯蛋糕甜蜜得让我幸福感爆棚赠饮的蜂蜜柚子茶也是好味得很呢。餐厅服务同样赞，不愧是奢牌四季酒店的待客之道三道式套餐还包括自助式前菜，真是超值划算得很🎉🎉🎉,B2094655D26EA1F4449E
《平凡的荣耀》剧组来到我们实习的酒店拍摄啦！！很激动呢，像个花痴的少女看完了白敬亭和魏大勋演戏的全过程。哈哈哈,B2094551D168A6FE439D
来上海，住我家。上海民宿力荐，地铁步行3分钟，近田子坊，琉璃房博物馆，绍兴路文化街。哥老官不等位 @玩乐上海  @马蜂窝旅游攻略,B2094654DA6DA5FE419C
一个五星酒店不该犯的错误。@上海外滩茂悦大酒店&;&;@上海&;&;@世茂  ​​​​,B2094654DB6AA6F8409C
今天住的酒店离南京路很近，步行去了外滩，坐海底隧道去看东方明珠塔，当买上票后才得知要排四个小时的队都不一定能上去，于是撇了700多块钱，放弃了东方明珠塔，拖着疲惫的身体，去吃了心心念念的德兴馆的上海菜，对于草头圈子这道菜我老公想了三年,B2094757D06FA7FF489E
从酒店的布置来看，上海人是真讲究 细致 周到 体贴，嗯,B2094654DB65A4FD469F
終於還是屏不住了～喉嚨痛～準備睡覺時開始咳嗽了⋯⋯不得已還是換酒店了⋯⋯,B2094757D06EAAFE409F
这是一趟酒店控的拔草之旅，下一站：宝格丽,B2094550D065A0FA419A
累炸爹了，才到酒店,B2094757D065ABFB439D
下次要带芒果去哥伦比亚公园&;&;​​​,B2094551D76FA0FD449F
小孩的才艺智商和毅力造梦者  拥有“梦幻神器”称号的气球，可以瞬间消失变出一瓶香醇的红酒，斟一杯美酒细细品位；拿出一条丝巾，将其一点一点塞入手中，轻吹一口气，丝巾居然会凭空消失，随手一张白纸，通过反复对折，神迹似的能变为一张崭新的百元大钞。平日里阅读的报纸，可以将其撕碎，整理，居然也能够奇迹般的“破镜重圆”，甚至可以变成公司的海报……这些你想到了吗？当然，更意想不到的还在后面～大家平时常见的易拉宝展示架，你能想象出，它有着超凡脱俗，艳惊四座的魔力吗？公司年会、生日舞会、朋友聚会、等舞台策划，为你们所敬佩的量身定制，打造一个霸气十足的完美登场。随着的闪亮登场，全场飘起满天飞雪，如梦如幻～～@爱菊小学少先队 @爱搞笑的大膽哥 @昂立少儿教育 @爱乐游- @贝多芬国际少儿艺术中心 @超话社区 @春晚 @迪智青少儿教育 @达钮少儿英语 @蛋说无妨 @哈哈儿童网 @更娱乐 @管弄新村小学 @沪江小学部 @乐高中国 @好灵童少儿俱乐部@蜂趣一站式儿童宴会派对 @高端儿童摄影 @电商报  @探店分享录- @财新网 @超话社区     @凤凰周刊 @更娱乐 @虎牙直播-5 @橘子娱乐 @二十九派_创意派对 @视频匠 @手工客 @上海儿童博物馆 @生活家 @视频热搜令,B2094757D66DA7F4469B
烂酒店，马上就拜拜了,B2094654DB6AA6F84692
太无聊了在酒店呆吧,B2094757D06EABF54998
真的挺喜欢这个酒店哒！,B2094757D06EAAFA479C
到酒店 住不进去 坐等哈,B2094655D26BA0FD479D
☀️超舒服的天气☁️ 是我最爱的秋🍁超的人们超棒的酒店. 全部满分 满分🧡,B209445DD464A5F8499F
2010年7月28日，历经三年修缮，耗资5亿港元，已有百年历史的上海滩标志性建筑、曾有“远东第一楼”之称的和平饭店正式恢复营业。翻新后的饭店虽然中文名称保留了“和平饭店”，但英文名称却更改为“  ”（费尔蒙和平饭店）。装潢典雅的客房及套房将现代化科技和最为奢华舒适的住宿设施相结合，为您呈现无与伦比的酒店之旅。奢华套房或极品套房可尽览黄浦江及外滩万国建筑美景；闻名遐迩的九国特色套房记录了旧和平饭店的不朽传奇；另外，位于顶楼的沙逊总统套房，曾经是饭店原创始人 居住过的地方。,B2094654DB6BABFD469C
每次吃到喜爱的餐厅，总忍不住发出大上海真美好，人生真幸福的感叹啊～&#627;上海美食推荐 前两天来到@光与盐 旗下的 的   ，刚获得米其林餐盘奖，有点为它不平，食物出品和餐厅环境完全不输星星餐厅啊。坐落在瑞金洲际酒店里，环境清幽舒适；餐品的摆盘精致，特别特别好拍照！特别推荐这个寒露菜单—“寻味东方”，犬牙鱼和伊比利亚猪肉卷，中式，特别有新意。澳洲和牛米饭，油香飘飘，粒粒回味～爱上❤️最后的朗姆蛋糕配香草冰淇淋，压得正正好👌更有趣的是这套是 ，其中几道菜能喝到芬芳扑鼻的正山小种还有特别解腻的乌龙！新午市套餐好像397起～准备相约好朋友再来刷一次！,B2094757D06FA2FE4799
乐逢法甜专业班第一周学习结束，人生第一次在酒店吃自己做的下午茶，后面的课程要继续加油啊，感谢认真负责严谨专业的老师@学院派喜大厨_乐逢,B2094750D56CA4F9459E
终于去了昆仑酒店新开的鲜筵拔草，在1楼尽然还有如此秀美精致的园林景观，别有洞天啊。那么美的景让美食都升华啦✨纸巾都别有一番风味，据说上面是西厢记的故事哦！松茸鸡汤，清甜不腻。悬丝鸭，我们戏称它是走钢丝的烤鸭。枣香酥烤鸭的脆香，配上哈密瓜或者糖别有一番滋味。最后还可以选做泡饭或者椒盐。强力推荐泡饭！好好吃💕活拨的皮皮虾，魯菜。功夫菜啊！还有秘制的烤羊排！里面的陪花生是主厨秘制哦！甜品杨枝甘露，不甜不酸，口感正好。吃的饱饱的我，出门还不忘去门口的圣诞屋买一杯姜味热可可。正好在飘雪花❄️好浪漫🌹,B2094551D369A0FF469B
酒店不错，跟图片基本一致！这个大床今天是我一个人的了到了上海老大就带我去吃好吃的，晚上酒局我应该不用去了吧路过这个免税店，私藏一下，就是没有阿玛尼，没有，有2，有雅诗兰黛，有还有好多没太注意看，要买的小伙伴一定记得带护照哦，没护照不让买，而且一个护照还有购买金额上限,B2094550D56CAAF5449B
你想要过上更好的人生，就得先成为更好的自己。中午工作完，去网红店吃完蟹黄金面，顺道溜去国民老公的酒店下午茶，吃饱喝足逛商场买了几件精致的小玩意。然后再去做个按摩＆艾灸……过完美好的既工作赚钱又充实享受的一天有感。,B209445DD065A3F5439F
定好的酒店嫌太小，直接拎包定个大的有钱任性啊 希望明天一切顺利,B2094655D26DA2FF469E
听到匆匆那年这个店名的时候，不禁对过往有些回忆，因为离酒店近，所以就选择了这家。排了一小会儿队，环境不错，菜品挺新意，口感也不错，微信买单还有折扣。,B2094655D26FAAF84693
上海建业里，石库门房子改造的酒店，感觉不错,B2094550D36BABFD429F
博物馆啊,B2094451D469ABF5429C
四行仓库抗战纪念馆,B2094554D064A2F9409C
黄道婆纪念馆随拍,B2094654DB6CA1F8489F
她偶尔也会一个人来公园走一走、”：有时候假装蹲下来，“还有什么心愿吗。忽然就窜出去……每次走几步就嘟嘴。（❤百度搜索微博哥测试网..)趣味测。两年前他得了重病住院……“背我；等她准备上来了……,B2094757D16CA0F94492
静安公园流浪歌手[赞][][鲜花],B2094655D269ABFD469B
我现在跟何老师 王俊凯 延禧攻略的主演还有一些明星们呼吸着同一丝空气 他们都在君悦大酒店😂  ​​​​,B2094654DB6AA6FF459C
细雨蒙蒙中的上海革命历史博物馆,B2094551D664A1FF419A
换中生活方式，在市中心找家酒店住下🏨！换了装备在淮海路上逛👫。无心插柳柳成荫，昔日排巨队的网红店几乎空无一人，少女心爆棚的我欢欣鼓舞，虽然张先生对此颇有不解，但也能相当配合的帮着拍照📷！这里是心理治愈系的好地方～感谢生活中的不经意，浪漫难忘🌹！,B2094654D564AAFD4492
体验酒店。,B2094550D065A0FA419A
这次行程不错滴，酒店的自助都一样，只有一碗骨汤面还行，跟着会吃的同事，这几天都晚餐有口福,B2094757DB6EABFC439E
到上海自然博物馆来学习下,B2094451D469ABF5429C
"网红游泳池 走一个 
早餐对不起这个价格 评价完毕 
住的酒店不多但早餐实属品种少又难吃 
下午茶逼格还是有的 你们去吧去吧 毕竟抖音都火过了",B2094750D66FA4F44999
房间不用打扫吗？@长寿路亚新生活广场和颐酒店,B2094557D46DA7F9419E
酒店拜神，新年开门红。业主和管理层给酒店员工发红包啦！[小狗]年[發][红包],B2094757D569A0FC449E
娃们玩的很嗨。以后经常出来放松一下得。晚上还碰到赵薇，聂远一些明星住在同一酒店，难怪人那么多。,B2094654DB6AA6F84799
昨天晚上初体验赞到爆。运气极好。提前一周也买到票。六点四十到酒店居然拿到了一号牌。被丝袜小哥哥？带进去小黑屋，被壁咚，被两个丝袜小哥哥一起亲了脸脸（面具）。太酷了酷到无以言表。希望以后来上海都可以看，求求这个戏不要停…麦克白打班柯的片段帅死了。孕妇跳舞的片段好看死了。还有一个是祭祀的片段？灯光闪瞎但是超炫，恐怖片即视感。去了一个不知道是谁的房间，没人，衣柜里挂了两具动物尸体。虽然人物剧情完全没有理清楚但是还是觉得沉浸式体验超棒,B209445DD76AA2F94598
上海最高的酒店 85层&;&;这次62层 期待下次的85层视野就是不错&;&;窗外的外滩夜景&;&;简直太美了,B2094654DB6AA6FF459C
有那么一瞬间是多么希望自己的专业是酒店管理。就有机会去五星级大酒店工作了。我真的觉得那种感觉 真好 真的很好很好。,B2094655D26AA0FD489C
本来这次活动我们定的是丽思卡尔顿的全景套房，结果到了酒店，我就和前台说了一句这两天有许多客人要来，结果对方直接告诉我“那我把房间给您升级为卡尔顿套房吧，直面东方明珠和黄浦江，这样客人心情更好！”。这…房价可是差一倍不止啊。虽说我之前也住过好几家丽思，这么豪爽的前台还真是第一次见啊！,B2094757D06FABF54292
逛博物馆的一天,B2094654DB64ABF9439A
再探邬达克旧居，屋顶的白鸽真假难辨。站在寂静的大门前，秋风扫过，树上的黄叶纷纷飘落，陡然有了萧瑟感#2018.11#,B2094753D068A7FF4793
打卡上海。在你要备上最野的衣服，要有时刻举杯的醒悟，还要有自己是全酒店最能喝最闪亮的崽的感觉。打卡了那么多，感觉最的还是国内的广州，但能让我从洗脸台吐到洗手间的，只有上海。,B2094550D065A0FA419A
