text,poiid
旅游前去逛门店@68-68 专程买了一些旅游出去可以穿的👙(内衣)和睡衣 风格真的超级心水惹人爱穿上立马洒欢我在818广场购买的哟各城市都有很多分店,B2094757D16CA6F8409F
哄我入睡 听到店里放的电台歌曲是▹哄我入睡爬墙逾半年的博爱狗想我们陈主唱了啦,B2094757D06FA6F4429B
虽然只是个便利店但依旧很想打卡哈哈哈哈哈红烧牛腩便当🍱好好吃白饭都想吃得一粒不剩,B2094757D06AA6FB489B
为什么7-11的店员都不会开新鲜屋,B2094757D069A0FF449A
约饭又回到当初住的地方，那年年轻的我们一起压过的马路，吃过的龙虾店，一起加过的班，满是回忆，都安好就好。,B2094757D06FA3F4499F
倒霉的一天，本以为85的红丝绒能治愈我，没想到，能把红丝绒做成这个味道，我也是醉了，85告诉我没有最倒霉，只有更倒霉&;&;​​​@85度中国 上海·85度(宜山路二店)[地点],B2094757D06FA7F5499E
店打卡！！的实在太少了,B209475CD669A7FF4393
感觉今天来店里逛的妹子十个有五个是来参加见面会的粉😂,B209475CD669A7FF4393
没有电，叫不了车，像我这样在苹果店给手机吊仙气的，发现真不止我一个,B2094757D06EAAFF459D
种草一家奶茶店，清淡，不腻！重要的是每次来买的这个是真心好吃，坐在店门口吹吹风，好舒服,B2094757D06EAAFF459D
我竟然在苹果店上了一小时的画画课其实我只是手机没电了想去充个电画的 简直无法直视上次在迪士尼画的-也是，丑陋至极正巧我今天穿的是 的系列我是有多爱超级英雄,B2094757D06EAAFF459D
蛮喜欢上海这种烟雨朦胧的天气的。希望大西安也能尽快开一家零售店。,B2094757D06EAAFF459D
大家去苹果店听过课么？碰巧听了一节，获益匪浅。,B2094757D06EAAFF459D
刚去上海旗舰店看了下 人山人海 都围着 买单者众多  铝合金中框手感确实廉价 可是我口袋一摸发现我手上的在不锈钢套着的磨砂手感壳中框是啥材质不重要了 颜色还是黑色 红色 好看 黄色也好看就是太骚了我怕驾驭不了  手感跟其他的磨砂手感不一样感觉是光面的。突然期待起来公司发个做公务机了，还支持双卡，自己的可以下岗了,B2094757D06EAAFF459D
预约好了去换手机电池 一点四十五开始排队 排到两点五十终于到我了 刚坐下就跟我说“你的手机进过水不能单换任何一个零件的 只能花2000多块换新机” 当时打电话预约的时候明明说过手机进过水 还让我去换 现在苹果售后都这么不专业了吗？？还在专卖店目睹了一场及其不专业的碰瓷 看来苹果的服务人员都是厉害的不要不要的,B2094757D06EAAFF459D
你选择决定结束的那天那对坏了一只耳朵直到昨晚就连外壳也坏了，想着去修一修吧来到这家店，店员告诉我还在一年保修期内可以换新的，我说：“好啊，那就换只新的吧，至少还有一只没坏的还在。。”……店员说：“嗯，107天内你还可以来免费修！”时间过的真快，这就快一年了,B2094757D06EAAFF459D
@南京东路苹果直营店 准备让我跑几次才能解决问题。,B2094757D06EAAF84992
南京路苹果专卖店永远人多,B2094757D06EAAF84992
上海今年的这场雪不得了，下班顺手在店门口拍一个@五月天 @阿信 @冠佑 @瑪莎 @五月天_怪獸 @五月天有石,B2094757D06EAAF84992
早上去南京东路 店， 这大黑边，没法接受,B2094757D06EAAF84992
店员‘?名字很帅的嘛’呕了,B2094757D06EAAF84992
这么贵？家里有一个用东航积分兑换的一样的东东只是没苹果店里的容量大还没用过回家得拿出来用用了,B2094757D06EAAF84992
苹果店的设计真的简单好看啊。里面的小孩都在玩王者荣耀,B2094757D06EAAF84992
苹果的专卖店一直是超高逼格的，看着艺术气息和逼格都很高，用户体验超棒，你会需要它的！,B2094757D06EAAF84992
本拖延症晚期患者拖到倒数第二天，终于去换电池了，去直营店了解了，如果电池使用一年循环次数超过500次，可以延期到2019年1月以214元的价格更换电池哦，今天排队2小时，换电池要5小时,B2094757D06EAAF84992
镇店之宝，导盲犬，狗年希望你健健康康，其实你也很辛苦，每天陪伴小白8小时上班，偶尔关店没人的时候可以尽情撒欢。2018希望五大爷们也能健健康康，巡回顺顺利利，想跟你们约在见@五月天 @阿信 @五月天有石 @瑪莎 @冠佑 @五月天_怪獸,B2094757D06EAAF84992
陆家嘴要等7个工作日以上，在店长的推荐下又急急忙忙赶到南京东路旗舰店～，诶～长长的队伍望不到头～苹果呀，你是有多折腾人啊～下次买橘子～[流泪],B2094757D06EAAF84992
"菜市场！！！！
三家店加起来都没这么多人吧🌚🌚🌚
@南京某路菜市场 @_1117",B2094757D06EAAF84992
因为穷，只能给手机换电池板！结果没有在预约时间里到店！竟然和我说，超时10分钟就取消了！拜托～你里面根本没说，迟到是要被取消的！拿出平时处理客户的态度，找经理交涉！果然第一个回复就是，这个预约就像是你买了机票～您觉得迟到是对的嘛？天呐！当我3岁嘛？！以服务客户为本……你就应该帮我解决问题！不然我可不是白来了！,B2094757D06EAAF84992
9月21号晚上的官方直营店,B2094757D06EAAF84992
路过苹果店，看到这么多排队等着叫号的同学，我的肾开始隐隐作痛。。。（赶紧吃个生煎压压惊）,B2094757D06EAAF84992
苹果南京东路店  涂层脱落的维修期已经过去,B2094757D06EAAF84992
