text,poiid
人气很旺的米其林二星餐厅，喜粤8，粤菜馆！虾饺皮薄且透明韧劲十足，包着两只大虾，！肠粉里有脆脆的炸物！招牌叉烧肥瘦相间，不油不柴，我是搭配白米饭，貌似没有处理的太完美，有一口吃出了些许腥味，总体香甜。红豆沙有陈皮味，香香的。正常水平！应该好好计划，出远门尝尝正宗的粤菜[馋嘴],B209445DD664ABFF449C
云南菜走起～,B2094556D564A6FA4892
选择“宴遇”是因为名字，也因为是创意菜。享受一次美食 ，享受一种气氛。有免费的“毒药”饮品 有还形似杜蕾斯的湿纸巾。还有一颗树种满了水果朦胧的灯光 环境不错,B2094451DA65A5F8499E
早餐 中国：选择之一是遍地可见的便利店，选择颇多，包子饼豆浆米浆，想喝咖啡的也有咖啡。 欧洲：工作日的湖基本在家啃个面包，或者小卖部买个三明治，配咖啡或牛奶。,B2094757D06FA3FD4592
荠菜肉馄饨[],B2094453DB6AA4F94799
准备抽奖哒抽什么菜呢，大家有没有好建议呢但这次仅限上海地区的宝宝哦,B209445DD76CA0FD439D
新菜单，烤海鲜盛大拼盘，整只龙虾在里面，非常盛大哈哈哈！晚上来@万禾都市农场 吃吗？,B2094551D169AAFB4298
月圆火锅热气羊肉攻略地处上海大世界地铁站附近，云南路上。停车最好停在大世界停车场，离人民广场南京东路只有500米左右。店面经营至少超过十年了，老字号，基本都是本地上海宁来吃，回头客居多。羊肉为黑山羊肉，纯手工切，无膻味，肉质鲜美。最正宗的吃法：锅底为清汤锅底，其他锅底性价比不高且味道一般，荤菜建议只点羊肉，今年应当是110元每斤的羊肉，其他肉建议不要。小菜任个人喜好情况而定。酱建议点香辣酱，有点咸，可以分一半酱，然后用锅底的开水加入，咸味适中就好。唰羊肉的时候待锅底清水煮开之后再唰，最好一次只放够一次吃的量进清汤锅，一次放多的话，羊肉熟络的时间不一，容易部分肉紧部分肉嫩，影响口感。酒水建议喝小糊涂仙52度，价位适中，自带酒水好像不可以。另，正餐开始之前还可以在店面十字路口有一个新疆烧烤店来几串羊肉串作为餐前小吃，该店也有十几年的历史了，羊肉来自新疆，口感一流。如此就完美了。提醒，店面服务很一般，老字号你们都懂得,B2094757D06FA0FE429E
经过了一个非常繁忙的夏天，马不停蹄，又投入到紧张的新天地店的筹备，以及更重要的新一季冬季菜单的研发与创作，经过了无数次的测试、优化、取舍，我们终于把新一季菜单落实，与去年冬季一样，我们又要将大部分的产品变成暗黑色系，还有十多样全新研发的新品集体亮相，堪称 史上最黑、最强菜单，所以，又到了“我们一起黑黑黑”的时候啦！&;“黑”是这一季的关键词，很多产品要变身成为黑色，与即将到来的严冬相应，比如，我们的甜品：蓝色不二山、蓝色小药丸、白色的奶盖、白色的冰凌，都要变成黑色系列，同时创作了六款全新创意的黑色系列甜品，希望能够让您惊声尖叫~&;而饮品方面，绿色的抹茶在严冬也变成了黑色，我们的鸳鸯冰萃从两层裂变成了令人目瞪口呆的四层；不仅是颜色上的变“黑”，口味上也有很大的突破，诸如草鸡变态的芥末麻辣香啡会让您浑身每一个毛孔都喷出辣火，而甜品“火焰山”也会让你瞠目结舌。,B2094554D76BABFC459C
以前是麦当劳，肯德基，宜家。现在阿姨妈妈已经开始一大早占领星爸爸。什么都不点，带了自己的大茶水杯，居然还有用饭盒自带的小菜,B2094654DB69A4F8449A
这奇葩的上菜顺序 饭吃完了上菜 已经饱了好么,B2094550D364A6FF449C
静安区第一的粤菜，各方口碑都很好，香港龙凤楼。总店在巨鹿路，今天去的蒙自东路的分店，午时一点半去还是要等位，建议提前几天订，总店接受预定，蒙自东路这家不接受两人的预定。推荐龙虾泡饭好吃，雪梨雪耳炖海底椰配榴莲酥也不错。地址：蒙自东路75号(近丽园路),B2094753D26EA7F84798
我心悦你上海本帮菜,B2094453DB69A2FA4393
下雪天就吃火锅到现在咯,B209445DD164A0FF4292
午市的翠园真的是无敌棒棒好次了！！👏为笋尖鲜虾饺🥟龙凤大春卷🌮花胶瑶柱灌汤饺🍲蜜汁叉烧肠粉🍜汤浸百花酿鱼肚🍤碧绿带子菜苗饺🥗老娘菠萝包🍮101鲜果拿破仑🍰打！没有一道踩雷，比晚饭的菜好吃多了吧！ 芒果玛奇朵冰淇淋珍波椰🍡+柠檬绿椰果🍧 西瓜冰淇淋🍦 将军的泪🍵 腊味双拼煲仔饭+牛排🥩,B209475CD56BA2F44892
柳州吃的最好螺蛳粉才 7块，上海的可以卖36也是可以的，关键是沪菜的口味导致螺蛳粉不是很适合这里,B2094750D76DAAFB479B
34 靠天吃饭的行业,B2094551D565A5F94993
さいく！！！💕🔥さいく！💕🔥拍到全员手了！有一个人的手格外凉但不记得是谁了！其他吃完再说！但还是先说一下片片！画！眼！线！了！！！和一群工友聚餐中，待会再细[]感受一下为小民工安排的警力🔥另外上海夜生活太丰富了，武定路一群老外在酒吧，各大饭店都在营业，没想到这么多人这么晚吃饭，社会社会！,B209475CD36FAAFF449E
有时候……把温暖放进你孤单的心底、跟着奶奶一起采摘油菜花土称菜红子~；是我们自己想太多、我只是突然在这一刻！无论多久、我不知道该说什么！才让自己如此难受、那个人一定会出现……,B2094757D465ABFD489F
把肉言欢江浙菜代表，桂满陇,B2094554D36EA7F5439A
环境卫生有待加强，天气热吃火锅没装好空调，服务挺好的@薛之谦,B2094757DA6EAAFA4698
国庆第四天烫头，吃火锅，逛街～,B2094757D06EAAFE459C
菜美人更美，穿越八十年代的体验,B2094757D16CAAF8409C
火华学长决定认真转型美食博主的第一条微博~记录一下刚刚吃的一顿下午茶~🍛鲜虾云吞面★★★★云吞里面虾还是很多很大只的，很纯粹的感觉；面是云吞面标配的经典港式塑料丝面哈哈，是可以推荐的🍛黑金流沙包★★之前有广州朋友给我推荐过这种包包，对它满怀期待。长相还是很优秀的，有一个竟然瘪了.气气.甜甜咸咸蛋黄流沙馅有点少.而且没有趁热吃所以味道不算太好。但是拍出来效果真的棒，美食界的整容相机确认√🍛黑松露菌菇包★★★★★水晶皮薄而有弹性，香菇馅很多很香口感口味都很丰富！好看又好吃就是它了！🍛招牌鸳鸯★★★★★不太喜甜的火华要了无糖，惊喜的味道！咖啡味+浓郁茶香！但是喜甜的同学有点受不了无糖，加了两包糖还不怎么甜哈哈哈🍛滑蛋虾仁饭没★★一般般的套餐饭吧，其实是炒蛋虾仁饭，感觉不如食堂的滑蛋，不过两个饿死少女还是饿虎扑食😂🍛杨枝甘露★★★★因为碗好看所以看起来比满记的好吃诶！真是一个颜控...📍查厘士港式餐厅。下午茶套餐里点到的几个菜应该不是它的精品的菜吧，无功无过；想点“八仙蒸肴”，总体来说还不错叭,B2094454D26AAAFB409C
人山人海吃火锅,B2094450D165A5FD429C
外婆私房菜,B2094451D76AA6F84892
- 🍴美食种草&;&;分量足味道好的越南菜， 五🌟,B2094757D06FA3F94799
一个月下来口袋空空无几的日子 ，&;如果你已经厌恶了给人打工 上海·天香府•我家酸菜鱼(昌平路店),B2094453DB69A0F8479E
在上海遇到好吃的川菜不容易,B2094452D76DAAF5489A
这里我第一次来，给我的感觉很不好，这个点吃饭的人，不多，但是，我等了半个小时还不上餐，还好，仅此一次,B2094757D06BAAF84399
"“挪窝”就是换个地址喝奶茶，
看着一排新趣有意思的商户，
小心情，也会跟着发出光亮。
🌟✨💫",B2094757D06FA3FD4592
两个人吃火锅也要有仪式感～傲娇@凝,B2094757D06EAAFE459C
4月20日又是一个愉快的周末，一起吃烧烤喝点小酒开心,B2094655D26FABFE449C
非常非常正宗的潮汕打边炉！从豆瓣酱，凉茶到珍珠菜，无一不正宗。鱼很鲜，最后汤很好喝。今天点了鱼头锅，鱼下巴和鱼唇，鱼下巴一般，鱼唇很好。下次来吃鱼肚和鱼唇 妥妥的,B2094751D26BA5FA489A
真不容易～拿菜须慎重,B2094757D06FA3FD4592
早上的咖啡还没喝完 又被“赶”出来喝咖啡了 机智的我选择了茶   ：）,B2094554D564A3F84593
，味道还好吧！味碟自右向左依次为 辣酱，烤肉汁，柠檬海盐,B2094453DB6BA0F54792
实力作死最高境界——咽炎咳了多天的人满心欢喜来吃辣到爆的湘菜，太好吃，我也是没办法啊,B2094757D06FA1F9419F
为了晚上烧烤局而吃的养身午饭,B209475CD76BA0F9469E
@以赛亚_ @小囡滴麻麻 又来吃啦！就拍了五道菜…,B2094453DB68A4FF419B
三个人点菜真是点不出两天两只蟹吃好了,B2094757D065A6F5409E
一个让我拓展智力一个让我靠脸吃饭谢谢～～～爱你们最后我们在关二哥的见证下结义金兰并求了个平安,B209445DD269A6F8499B
这份虾酱生菜量这么多可以够一大家子吃了。。,B2094556D068A3FC4892
味道不错，颜值很高，就是这最后一道菜把……有了一种别样的体验,B2094551D36FA2FE499E
接了放假的妹妹，推着行李箱去云南辣府吃火锅，开森,B2094750DB64AAFC479C
枣子树素菜馆，仿荤菜做的真不错，人均100，推荐糖醋排骨，常长相思，咖喱鸡，三杯鸡，超超超好吃！,B2094757D06FA3F84399
见了很久没见的高中朋友 吃了一餐素食火烧云老板娘的菜真滴是拔草拔草又去了  这家店真滴很巴适,B2094556D569A0FF4293
就是特别喜欢一个人吃火锅,B2094757D06FA1FA409A
2018年的第一天，一年未见的室友@一宿舍吃货 请我吃上海网红店桂满陇嘿嘿嘿我要发条微博秀一下，馋一馋没来的另外两人@双皮奶闯天涯 @糯米紫团子 一个加班狗，一个走亲戚狗这家菜品好吃诶，环境也不错，啥时候家门口也开一家就好了,B209445DD66BA4FF4099
