text,poiid
乘务员小姐姐很赞啊害羞,B2094757D06EAAFB4893
这次回家我是怎么了。今天的车票。昨晚磨磨唧唧收拾到十一点多就算了。还把要带回来的睡衣给洗掉了。这也算了。因为中间的票不好买。买的始发站上海的。始发站是十点二十。但重点是我是在昆山上车啊。那时间就不是十点二十了啊。到了车站我竟然还天真的以为是高铁晚点了。我是吗。这也就算了。我竟然站错了检票口。泪眼神儿也不好使了。还好及时发现。要不家都回不去了。泪悲伤,B2094757D16CA3FC4798
如果不够大的话一般老板的办公桌要比员工大来增加气势：如此才为正确；要在旁边安置几个柜子：如此一来才能够顺利地指挥员工,B2094650D164A7FA429F
火车上跨年,B2094757D06EAAFB4893
看看，苏州高铁站出口怒，太少了抓狂,B2094757D06EAAFB4893
为什么每一次去火车站都要以奔跑的方式进行着，明明我已经计划好了的二哈,B2094757D06EAAFB4893
未来很美，一起向前回南京了。记录下你每一次的好，好留下来往后吵架能给你加分挖鼻昨天领着我去山姆店买买买，买了一千多的吃的，晚上又领着我去看夜场电影今天一早就给我把西柚剥好装袋子。可是下午因为一些事情我生气了，说了很多不好听的话，其实是我的口是心非。可你还要哄我开心才放心我坐上回去的火车。谢谢你,B2094757D06EAAFB4893
早上明明起来的很早然后边洗漱还边得瑟结果时间弄的很赶又遇到一个磨磨唧唧的滴滴司机结果就是刚冲到检票口就通知停止检票总结一下以后要按照赶飞机的时间来坐火车然后这个鬼车站居然不能站内改签又浪费了大把时间,B2094757D06EAAFB4893
每天点多起床去赶高铁上班够折腾允悲,B2094757D06EAAFB4893
不管是甜蜜的打骂，都是我最幸福的牵挂，与你在生命的旅途相遇相伴生,B2094650D064A1F84998
父母的恩。你个死娃儿投俩颗钙片是撒子意思，甚至还有游戏币的那个司机说、不要总嫌父母脏“老子开了年公交了。,B2094650D164A7F5449B
星星，我肯定是受到了坐过站诅咒允悲允悲这次是高铁酷,B2094757D16CA3FC4798
车站里全是拖着行李箱提着大包小包准备去上学的学生们有的兴奋有的烦躁有的不舍看得出来都被各种复杂的情绪包裹安检口站的全是陪送的家长人挤人挤人我想这一定是刚去外地上大学的新生吧记得去年这个时候我也还是学生也是这样等着去上学哦不对去年我是号就出去了因为要去看演唱会好像走的时候人不是很多出去的时候异常兴奋没有任何开学的焦虑感想想那个时候真好也真的开心现在我又在这大波的人群中等待着但是这一次已经没有任何的感觉只是很想念上学的时候很想念还是学生的感觉很想念还是小孩子的日子只是好像再也回不去了,B2094757D56AA3FC469A
衹為了掩饰受过哋伤；《花样年华》如果；你会不会跟我一起走：萫煙、我多一张船票生日快乐,B2094650D164A7FE409F
看到一家三口到苏州看病，在火车站吃泡面，想起了小时候爸妈去合肥看病，老百姓那种金钱和资源匮乏的无助感，那么普遍，希望能为老百姓做点实事，而不是停留在表面工程。虽大，百姓心无所依，何谈凝聚力，何谈,B2094757D06EAAFB4893
你勇敢的往前走吧娜姐加油最棒的。我永远都支持你第一个男士把苹果射中,B2094650D164A6F8479F
你们俩的结合就是两个家庭的结合，加油：他娶了你：她已经默认了：包括你的社会关系,B2094650D164A7F8469A
人之所以觉得累是因为总徘徊与坚持和放弃之间飞机,B2094650D164A0FD4192
他永远不知道有个女人默默等待他如正常人般。却自此失去记忆；结婚生子、全船覆没他归来的船发生意外，几十年前：她永远不知道他现在的生活,B2094650D164A0FA449F
成功不是将来才会有的，而是从决定去做的那一刻起，持续积累而成的加油加油,B2094757D06FA0F8479E
奔波儿灞和霸波尔奔加油努力,B2094757D06FA0F8479E
早晨想都没想就买了一张出差的车票，到了车站才知道选错车站了，庆幸还可以退票，接下来最早的班车也要近十点了，无奈，只有安心静等反思自己颓废、不思进取，连票都买错，真是可以退休打扫卫生了,B2094757D06EAAFB4893
他却可能窒息而死；就像你手里握着的一只小鸟：抓得紧；抓的松；《夕阳天使》：娜姐加油哦,B2094650D164A0F84298
曾经有一段美好的中学时光摆在我的面前五年以前、加油；我才追悔莫及我一定上清华如果上天还会再给我一次机会的话。到了现在；可是我却不知道珍惜。,B2094650D164A0F8439A
车站路人行色匆匆。,B2094757D06EAAFB4893
苏州印象湿热的天气让人汗流浃背，车站到处兜售园林门票的让人心烦，苏州博物馆人山人海的排队让人望而生畏，拙政园的人头攒动让人领略不到精致的园林之美荷花很美，双面绣很精致，各种扇子争奇斗艳古色古香的同里古镇交通方便，古镇船游终于有了一丝丝的悠闲自在，退思园的小精致让人很意外再见，苏州,B2094757D06EAAFB4893
外轮纸浆卸船。。嘻嘻,B2094650D064A4F84493
手机键了然后高铁卡在路上了（说没信号？？？）,B2094757D06BA1FC409D
兰烬落人语驿边桥夜船吹笛雨萧萧。,B2094650D164A0FB4192
对高铁的好印象在今天毁于一旦,B2094757D06EAAFB4893
他能溺爱我。只允许说三个字：烛，他能照顾我有的还为他加油鼓劲体贴我的不周到么么,B2094650D164A0FB409B
昨晚看直播梦里花一开口忍着眼泪，年前看着梦里花，台小巨蛋开场清唱，不知不觉年了，和这首歌一起成长，昨晚你的主持的梗都被剪了默默回看现场的观众的爆料点睡的，点多就醒了，我的意识毅力其实如此的厉害（都是因为你张韶涵），于是乎在地铁口等开地铁，在火车站等车，就为了不错过今晚，不浪费自己那么努力那么心塞的做的一切，不辜负送我票的涵亲，感恩一切玫瑰玫瑰我的最爱今晚见张韶涵,B2094757D06EAAFB4893
要么十点，要么点准时起床：《加油爱人》。我是什么：也不算是真正的活着了那他就算保持着呼吸心跳。如果一个人不能选择想过的生活,B2094650D164A0FC479F
原来上海虹桥到苏州其实也不远，才半小时耶，因为搭过小时的动车，表示有点恐惧症，在成都的时候有点后悔没带厚外套出门怕被冷，来到这边发现我的选择是没有错的，好像有点热馁。,B2094757D06FA3FC499C
苏州站：来去匆匆。抓拍到了这位陌生小姐姐独行的背影。乘务员问我这不是有座位吗怎么不去坐。这位查票的小姐姐超温柔，笑的时候我的心都快跟着化了,B2094757D06EAAFB4893
太狼狈了高铁差点儿坐过站电脑没关乱七八糟一股脑都倒进去好家伙这一杆子差点儿支到上海去,B2094757D06FA0F8479E
小的时候我所期望的长大就是这样艰辛困苦疑惑忧愁，生活中充满压力与心酸，我能做的只有含泪奔跑，因为我想过的好一点，也因为在忙碌的时候不会分心想一些有的没的，加油,B2094650D164A6FC4999
小兄弟顺势就把馅饼丢到了女孩头上：我一听：加油吧；只能帮你到这了,B2094650D164A6FD4793
英格兰加油，我先睡了。,B2094757D16BA1FE4898
读书真的是不错：在“开挂”国坐火车要注意被喷水，我很羡慕、我的朋友就爱读书,B2094650D164A0FB4599
两天就这么睡过去了，早上赶高铁去上海上班，真真是魔幻现实主义啦，寻麻疹难受,B2094757D06EAAFB4893
