text,poiid
贾乃亮在我们苏州新区科技城医院拍戏。嘻嘻,B209445DD264A6F84599
住院第七天，腿基本不肿了，这两天也不发烧了。明天医生上班可不可以让我赶紧出院啊,B209475CD568A3F5429E
有人说。有些事现在不做、我害怕过程会很疼：可你都有勇气走过那段过程：我害怕看见结果、退缩没有经历过主动的人生是不完整的逗左右,B2094650D16FA4F54792
你的肚皮上怎么有伤疤啊。“这是因为医生割了一刀，认真地问妈妈。才能把你从我肚子里取出来只是长大后,B2094650D16BAAFC4298
平均每个礼拜两次医院，棠心肺炎咳嗽刚好一些，自己眼睛又开始过敏了,B2094650D065A1FE459C
老了有儿子疼，男人啊，小时候听妈妈的话小时候有爸爸疼,B2094650D16DA1FA4299
患者因左侧腰痛三天，超均诊为左输尿管上段结石，左肾重度积水，肾分泌造影示左肾无功能这个病例再一次告诫我们：有结石，要早治,B2094650D168A3FA479A
扁桃体化脓了难怪会发烧了实在熬不住了只能来医院急诊了唉可怜的娃,B2094757D069ABF8429F
度加医院陪夜，酸爽的一晚上终于熬过去了，身心俱疲啊,B2094650D16BA7F8429F
现在去医院不吉利；上来就问“你挂什么科。要考试了,B2094650D16BA2F8419F
保佑我家金卫，微创手术一切顺利。,B2094650D164A7F8459D
听到学校打来的电话，背后一凉。就怕眼睛意外，看着哗啦啦的水从眼处流出，一路不敢问不敢说，冲到医院，测眼压、看眼底、做超万幸：眼球划伤，内部无碍。,B2094451DB65A2F9459F
年月日：分，生啦旺仔小姑娘，欢迎你，所有人都爱你心心感谢一直以来关心和照顾我的所有家人和朋友，我永远爱你们心心感谢母子医院的医生和护士，技术好好，生的超快没想到生了个元旦宝宝，哈哈以后生日都有假期啦嘻嘻嘻嘻,B2094650D164A7F8469B
每个月都要替我爷爷来看病,B2094757D064A0FB4493
邻班一听说了感觉很幸福：”；跑过去问护士。“送什么偷乐,B2094753D06DA0FF4492
动不动就会找你的茬真正的好男人，会疼老婆，爱老婆，把老婆捧在手心里，会处处为老婆着想，为老婆考虑，不会伤害老婆，不会让老婆不开心，你是他的唯一，是任何人都无法代替的，不管你做什么，他都会迁就你，从不会因为你的错误而批评你而一个“渣男”，只会对你好一段时间，等你没有了新鲜感，他就会看你不顺眼了，动不动就会找你的茬，不是这不行，就是那不对,B2094650D16BA7F8429F
我。我：也不小心点那么就驰骋在旷野郊外。但是。驰骋在网海真的很疼：有次骑摩托车摔了，这里连续三天都有摩托车在这里摔了。当你感到身心疲惫的时候,B2094650D065A1F4469A
何必要把自己伪装得那么坚强然后静下来时自己便笑话自己虽然有时候心疼得难以呼吸，却还是会笑着告诉所有人我没事的,B2094650D16AAAF54793
又来光顾这儿了，小毛病不断,B2094757D065A5FA4998
陪小伙伴来看病号可怕过年生病的人有点多昂,B2094650D16AABF84793
唱情歌时想起你；在心里装了一个你；我问它为什么不吃你、因为我只想忠于我自己的感情。我昨晚梦到我和你在海边散步“我怕生病,B2094650D16FABFD419C
跟着外婆来医院上班院长爷爷要不要也给我们发工资呀喝奶高兴的翘翘脚,B2094650D064A6FD469A
小小智齿发炎让我发现医院看病这么麻烦，挂号，侯诊，就医，缴费，取号，取药，楼上楼下跑和排队，好同情那些老人，还好医生都很好,B2094757D068A0FE4292
因为开水沸腾了肺疼啊，开水生了什么病、去挂了急诊你们猜：开水生病了,B2094757D66EA0FA4299
；毙人多爽被毙多疼啊就算曾经再爱对方；但都已经属于过去，倘若是用丁丁张的话来说；但前提是你能够狠得下心；别人就会对你狠心。,B2094753D16EAAFB4692
到医院就给我看这个害我这个点已经到公司了气死,B2094757D065A5FA4998
一个是开心的笑容一个是睡个饱觉。是最好的灵丹妙药；医书里说有两样东西,B2094757DA69A4FE429A
昨夜看球太晚今天体检差点没起得来，做超医生说你要少吃点荤菜多运动，有脂肪肝的风险；完了去餐厅自助餐已经没菜了，阿姨还把最后两个鸡蛋拿给我，嘴上说不吃不吃手倒是接的老快；去年嘌呤高建议少吃虾，不知道今年等拿到报告还会有什么新的建议。,B2094753D06DA1F8499E
一大早自行车坏在了半路上，迟到，然后继续教育卡莫名其妙的被我丢在了医院的某个角落笑我打算蒙上被子哭一会黑线,B2094650D164A7F8459D
真想吐槽一下这家医院，说好的小时呢,B2094650D064A1F44592
拖了一百年终于又被强拉到医院,B2094757D068A0FE4292
现在觉得一个人真的挺好，我不用去做自己不喜欢的事，别人也不用迁就我，也许哪天就能碰上跟我一样的奇葩呢，如果没有的话，那又怎样凌晨四点一个人打车去了医院，九点半回来，还买了最喜欢的芒果西米露，就是天气好冷，总算是挂了号看了病拿了药。你看，我一个人什么都可以。,B2094650D16BA0FF419C
那都是你自己的工作：奥修《莲心禅韵》、在宁静中受苦。无论你变成多么混乱就需要离开社会一段日子。你就会得到很好的医治、跟你自己在一起,B2094757D064A0FB4493
张爱玲晚年患“虱子恐惧症”孤独离世“生命是一袭华美的衣袍：仅仅是为了“躲虫子”、爬满了虱子”，她是患了严重的心理疾病。她随身携带着简易的行李、晚年张爱玲平均每个星期搬家一次,B2094650D168ABFB479E
