text,poiid
让所有人为之动容；考研。不孝的请举手没对象：据说新不孝有三黄英《映山红》一个没有经过专业训练，一路从山谷唱到城市、据说是学文。凭借一曲经典红歌“映山红”和她自己独创的“英声唱法”,B2094650D16DA7F9459F
年月日，你好。很充实的一天，上完课就去打球，然后回来洗个澡。吃完晚饭就去图书馆看一会书，不用瞎想也不用感伤。《离开前请叫醒我》得到的都是侥幸，逝去的都是人生。,B2094650D169A2FA409E
中秋佳节，还在正常上课的娃们未来你一定会感谢今天努力的自己,B2094752D165A1F9409B
图书馆的老鼠快发鼠灾了，据说已经灭了八只了,B2094757D06AA7F5469E
生活也是如此残酷；情感专家支招；游戏开始后，教你解读身边最熟悉的陌生人，是谁活到最后生活就像是一局穿越火线满月,B2094650D065A2FA469D
也不只意味着名位权势就是兼顾生活的方方面面找到属于你的平衡点、有工作也有休闲：有财富也有健康：真正的成功、在生活的任何两个极端中：炉石传说毕游侠萨满竞技场认真讲解竞技场教学篇,B2094650D16CA4F54099
美丽的校园，典型的苏州园林格局,B2094650D169A2FA409C
今天这期讲大姨妈的那些事上《美丽俏佳人》立马成了“微胖老师”。本来是微辣心理老师好欢乐。经常录这类节目会强化我减重决心的,B2094650D064A7FC479E
世界上最简单的事情就是放弃、可是放弃之后你就再也没坚持的理由：坚持下去你有放弃的权利；坚持学你会考上一个满意的大学、多么简单的一件事。不想爱了你可以立刻说分手然后潇洒的走掉：佚名。,B2094650D168A0FF4298
我刚刚在大学该不该要生活费？中，选择了该，你也快进入话题表态吧大学生该不该向家长要生活费？,B2094650D169A2FA409E
结果肌肤只好自行分泌更多的油分去滋润肌肤。还要做足保湿功课、油脂的分泌自然会减少,B2094650D169A7FA4792
负责任的小王老师下班后等公交啊等啊等,B2094650D064ABFE489C
暑假坚决不补课。只好一直纠结下去。恼死我了纠结的我遇到纠结的你纠结的我不知道如何解决纠结的事：问个我个纠结的事。快下班了还搞破相了、奶奶个熊,B2094757D069A7FB479E
（）喵星人都是深井冰。贤立法师应邀在本届文化周中国传统文化大讲堂上作题为“佛教与人生”的讲座；日下午：（）中国（大连）佛教文化周暨佛教与中国传统文化论坛于月日至日在大连星海会展中心举办龙泉寺监院贤立法师与贤伟法师出席：深井冰的猫咛各种带感,B2094757D168ABFA409B
：心情不好：只需走自己的路、、就去学校门口踢自行车；年送给自己的句话无须有过多的抱怨耶；只要把自己的事情做好,B2094650D16DA1FE419D
什么叫做大场面，为了表示我的诚意。同学们、所以我决定：今天这节课提前分钟下课：奔驰，（热烈的掌声响起）老师悍马车队都是浮云；下课时交卷,B2094650D168ABFA4399
高中的时候希望喜欢的人和自己一个学校，初中的时候希望喜欢的人和自己同班：这样你就不用悲伤：因为有客人点了爆炒龙虾：这天晚上龙虾死了。大学的时候希望喜欢的人和自己一个城市：你先走：小学的时候希望喜欢的人和自己同桌,B2094650D168A1FE449E
平江实小，古色古香的校园,B2094650D168A4FB499C
重返校园，重返不了岁,B2094757D06BA2F8499B
我的绘本《生气鸟》和我编写的《梦想儿歌集》在学校展出了谢谢妈咪的协助么么哒秦岑,B2094757D16FA5FC449F
师范生小丁出门见世面的一天话说，这些宣传各种创新式教学模式和方法的老师们，身负高考压力下的教学目标和任务，面对大批必背篇目和套真的会像他们说的那样做么,B2094650D164A7F9429A
是风雨中的相依相伴是平淡中的不离不弃最贴心的暖人总有脆弱的时候。老师在多媒体教室上课即使默默思念可能有人在下片儿；网速怎么那么慢,B2094751D56FA5FB4892
暑假啦，好想睡觉最近有点睡不醒最后一次课,B2094650D16DA0FB439B
