text,poiid
打卡新晋网红店就在大裤衩楼进门后少女心爆棚靠玻璃窗有个超梦幻海洋球池，女孩子能跳进去玩一整天还有各种摆拍得玩偶，每处角落都适合凹造型有三种卷可选，波龙、帝王蟹、深海虾仁卷波士顿龙虾卷用了整只龙虾肉和沙拉酱拌匀，塞进香脆的，一口满足了星港街东方之门北楼苏食苏州美食苏州吃货苏州,B2094757D164A2FE489F
说说今日苏州给我的感觉印象深的不是风景也不是美食而是斑马线附近让行的车辆和不多的红绿灯和到处巡逻的警察，让我觉得安全，节奏也不是很快对了，还有沿街到处水果摊点的拜访，整齐色彩鲜艳，但是苏州好像没有小蓝,B2094757D165AAFC4593
小日子，在台北。淡水河的自行车道，我们只是步行，阳光明媚过了头，镜头紧张着不能过爆，树荫下静静探望着近河远景，这是蒋老师诵经之后抬头看到窗外的河流。绕过楼梯天桥，跨过马路就是西门町，过于热闹，买了两颗轮椅爷爷的白兰花，系在拉链上被熏香了一整天，又回到了昨天公休的店铺，买了很多昨天橱窗里就决定带回家的小物，又逛了一天的富锦街，在手工包具店，和一个今天换休的小学生一起念了几张卡片学字，然后他回了房间，他的爸爸经营着包具店，敲敲打打，整个屋子都是有趣的东西，很是欢喜的一天。,B2094451D269A3FE4492
烘焙店的每一顿午饭一大碗白菜乱炖一个黑椒牛肉饭棒棒哒。,B209445DD66DABF8429E
大年初二人头攒动感觉苏州人都出来逛商场了捂脸星爸爸臻选店生意好到爆做手冲的小哥哥颜值还是蛮高滴,B2094550DA64ABF9459D
网红店丶古早味车轮饼。并不简单价格和口味还是比较的。吃瓜（不惊艳但是不贵怒骂但是排队两小时真的是。怒骂,B2094650D168A1FE4298
昨日朋友圈爆屏的张店五岁女孩失踪，疑似被拐卖，今天更有新料爆出,B2094450D569ABFE419D
一家苏州老院子风格的店,B2094757D165AAFC4593
“都准备好”是永远不存在的状态；：接受这个真相、“等我都准备好了再上班”“等我都准备好了再开店”“等我都准备好了再结婚”。很多事不开始做。“等我都准备好了再说”,B2094650D16DA7FD4798
盒马鲜生苏州湖东店开张。散步去轧闹猛,B2094757D06FA5FA449E
观前街拔草网红店,B2094650D168A1FE4298
今天这个店里突然又冷清了这淘宝也是搞不懂了流量忽高忽低心脏有点受不了算了不等了，该怎样怎样吧,B2094450D569ABFE419A
书店也是有撒狗粮的,B2094753D068A7FF449B
好久没有逛饰品店了嘻嘻,B2094753D068A7FF449B
确实是走累了回晚上再出来逛逛。对了，今天是茉沏晚上想要答案我觉得可以安排逛完拙政园还去旁边的苏州园林博物馆里面的隐形小书店打了个盹哈哈哈哈我好像对苏州的小吃没多大兴趣。。。下午找了一大圈，最后吃的沙县小吃好吃附上一张苏州地铁上的漂亮小姐姐嘘嘘可爱可爱嗯。。就觉得衣品不错哈哈污,B2094650D168A1FE4298
我希望说早安时我希望买的水果你永远觉得是甜的、我希望关灯时你正泛起困意：我希望点的每首歌都是你想唱的。你恰好想到我；我希望写的书是你欣赏的故事,B2094650D16BA1FA479D
苏舞联盟队员凤凰与观前店陆旭嘉同学受邀参加天津卫视《跨时代战书》节目录制的现场视频。点击下方视频链接看看他们的精彩表现吧其实，街舞带给我们的不仅仅只有快乐，健康、自信、时尚。更多的是能让我们有更强大的勇气去面对生活中更多的事苏舞联盟街舞连锁希望正在跳街舞、学街舞、准备接触街舞的你们能坚持下去让我们一起“让街舞无处不在”,B2094650D168A1FE4298
去了这家网红店，据说苏州好多假冒的,B2094753D065A7F9499B
苏州观前街道有让人放松的感觉。书店的留言薄上不知道那个小姐姐还是小哥哥字真的很好看。祝悄悄人镜的新人,B2094757D165AAFC4593
白砂糖混合：水果蛋挞鲜奶入预热好的烤箱中层烤制将蛋黄捞出；淡奶油、小火边加热边搅拌,B2094757D064A4F84992
诚品书店光影苏博,B2094753D068A7FF449B
我们在诚品书店有一个插画展，邀请你来参观。,B2094753D068A7FF449B
苏州诚品书店偶遇新东方俞敏洪讲座,B2094753D068A7FF449B
淘宝做的心累全心全意的服务，最低的价格，甚至亏本，还是有这种客户，真的心力交瘁难道真是这样店小被人欺，店大才欺客可惜世道炎凉，你给的再好，总有人不满意。算了，也不必为了这个差评不开心了世上上亿人，怎能都满意？做到问心无愧吧。,B2094450D569ABFE419A
补上昨天的留园和虎丘今日金鸡湖新光天地诚品书店今天好热啊期待明天杭州见,B2094451D268AAF9439F
诚品书店原来不仅仅是看书的地方抱紧我的小钱包微笑,B2094753D068A7FF449B
寻寻觅觅的复杂心境明天（二月七日周六）上午九点半。老鹰小师弟陈彦允为师兄毕书尽量身打造的励志歌曲《》，并现场回答听友提出的问题、应章丘市新华书店邀请、重节奏拍点不断冲击着心跳；道尽出道至今一路跌跌撞撞,B2094650D16DA1FC489F
诚品书店里的小读者,B2094757D164A2FE489F
印象城的美食店开了关关了开，今天吃这家,B2094757D06EAAF44398
今天小教考完整个人都虚脱了感觉脑细胞都死完了，好累呀二哈二哈。晚上去了期待已久的诚品书店，不过也没有想像中的兴奋。走的越远看的越多，我越知道自己想要的是什么，并会为此不断努力着加油。,B2094650D168A1FE4298
老公一件羽绒服穿了三年我带他去买衣服了。,B2094650D16BA2F9409A
诚品书店半日闲,B2094753D068A7FF449B
奥妙，最精彩的，永远不是建筑，也不是书，而是书店里的人，人内在的心灵。,B2094753D068A7FF449B
眼花缭乱的苏州中心里最吸引我的反而是一碗简单的越南粉。浓郁牛骨汤底可以先喝点暖暖胃，再一一品尝鲜嫩的牛肉片、弹牙的牛丸、劲道的牛肚和醇厚的牛腱，再加上的一小碗辣椒圈，淋上半个青柠，一股南洋风味油然而生，拌着滑爽的米粉，满足感爆棚。再夸一下店配乐是我喜欢的，提醒着大伙老板高端时尚圈的属性。東田越南粉李东田,B2094753D065A7F9499B
诚品书店十点前还没开门很多人聚在门口等东西超妙超贵逼格好高感觉可以逛一天,B2094753D068A7FF449B
高大上的书店喜欢这个兔子,B2094753D068A7FF449B
诚品书店一个可以消磨时间的地方,B2094650D168A0F9489A
店小了走路的步数总归会比以前少一些，虽然是一个借口，但是我接受了,B2094757DA69A4FF4293
新中式家具是一种中国文化的传承，永记古代圣人老子先生的《道德经》和孔子的《儒家学派》这两位圣人的思想美德影响了中国两千五百多年，是他们让中国人懂得人生的意义，懂得如何文明礼让的做人，让更多人成为高尚的君子,B2094450D569ABFE419E
最好别去店、不知道你什么品牌的车在这里。,B2094453D46EA6F54193
这家店不能来吃，一碗米粉烧了半个小时，肥牛才片，别说吃，已经气饱了,B2094757D065A0F4469D
不得不炫耀一下小伙伴走了不知道几家店买到了,B2094450D569ABFE419D
买了个凉席同时加上鸡蛋与蔬菜，煮面更易吸收水分最重要的是不要长期吃；怎样吃方便面最健康。先冲洗；吃完面把汤倒掉。在路上遇到个陌生人，买了筐鸡蛋喷,B2094757DA69A4F84699
这位美女我见过两次，特别漂亮。从单身、谈对象到结婚，经常来咱店里吃饭，一直有交流。今天她老公专门从苏州打包咱们真老陕自己蒸的凉皮回老家给她吃，幸福的媳妇真爱，就在真老陕,B2094551D36FABF9459F
暗合了整个空间怀旧的气氛条纹布艺则丰富了色彩和层次具有复古风格的家具和沙发碎花,B2094650D06BAAF54693
诚品书店负一聪记糯米糍白白胖胖的小崽已经啦图一的口味是热门但抱歉我不敢尝试,B2094753D068A7FF449B
拔草网红店,B2094757D164A2FE489F
托进博会的福可以连浪三天打卡心心念念的诚品书店兜了三圈老阿姨扎心了尼玛我就是文盲本盲不看书没文化,B2094753D068A7FF449B
“我在一家五星级饭店供职我就不信我农村葫芦娃干不过你城市的奥特曼；甲鱼对老鼠说；”,B2094453D468A3FD429C
松下在诚品一楼有快闪店哦林彦俊小哥哥好帅，产品也很多，欢迎大家来玩哦,B2094753D068A7FF449B
甲和乙去森林里被野人抓住了他们俩求饶”然后甲摘了个草莓回来吃到个的时候看见乙回来了就笑了结果甲被杀了到了天堂后天使问他你还差吃掉个草莓就能活了为什么要笑呢；野人说、“如果你们一人摘个水果全吃了并且不笑就放了你们笑了就杀了你们、甲无奈的说我看到乙拿了个西瓜回来,B2094650D16AA4F4419A
今天大润发对面那家鸡蛋饼里的里脊肉都是臭的这家店以后拉黑一辈子,B2094757D069A2FB469C
原来深夜的海底捞热闹的像菜市场,B2094457D36EABFA459C
